Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.013711,6.075,[13  2] ; [5 7],[10.  5.] ; [8. 4.],0
a6,1,0.040403,4.200882,[ 3 12] ; [7 5],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
n1,1,0.067278,3.348214,[4 3] ; [1 7],[2.33333333 4.66666667] ; [2.66666667 5.33333333],0
p10,1,0.084978,2.967033,[10  5] ; [4 8],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
a4,1,0.095045,2.786786,[ 2 13] ; [5 7],[ 3.88888889 11.11111111] ; [3.11111111 8.88888889],0
d4,1,0.187039,1.740789,[9 6] ; [10  2],[10.55555556  4.44444444] ; [8.44444444 3.55555556],0
n2,1,0.18883,1.726722,[5 2] ; [3 5],[3.73333333 3.26666667] ; [4.26666667 3.73333333],0
p4,1,0.212183,1.556471,[ 4 11] ; [6 6],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
d2,1,0.214193,1.542857,[ 2 13] ; [4 8],[ 3.33333333 11.66666667] ; [2.66666667 9.33333333],0
d1,1,0.214193,1.542857,[ 2 13] ; [4 8],[ 3.33333333 11.66666667] ; [2.66666667 9.33333333],0
v3,1,0.214193,1.542857,[ 2 13] ; [4 8],[ 3.33333333 11.66666667] ; [2.66666667 9.33333333],0
s4,1,0.222994,1.485,[ 4 11] ; [ 1 11],[ 2.77777778 12.22222222] ; [2.22222222 9.77777778],0
p9,1,0.233703,1.418182,[9 6] ; [4 7],[7.5 7.5] ; [5.5 5.5],0
d3,1,0.298698,1.08,[7 8] ; [8 4],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
p8,1,0.315266,1.008485,[7 8] ; [3 8],[5.76923077 9.23076923] ; [4.23076923 6.76923077],0
s7,1,0.323727,0.97383,[ 3 11] ; [4 6],[4.08333333 9.91666667] ; [2.91666667 7.08333333],0
d5,1,0.343446,0.897527,[9 6] ; [5 7],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
a5,1,0.381133,0.767045,[ 5 10] ; [6 6],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
p6,1,0.396465,0.719022,[ 3 12] ; [ 1 11],[ 2.22222222 12.77777778] ; [ 1.77777778 10.22222222],0
s8,1,0.411314,0.675,[ 1 14] ; [ 2 10],[ 1.66666667 13.33333333] ; [ 1.33333333 10.66666667],0
b1,1,0.411314,0.675,[9 6] ; [9 3],[10.  5.] ; [8. 4.],0
a2,1,0.411314,0.675,[ 1 14] ; [ 2 10],[ 1.66666667 13.33333333] ; [ 1.33333333 10.66666667],0
s6,1,0.438058,0.601364,[ 2 13] ; [3 9],[ 2.77777778 12.22222222] ; [2.22222222 9.77777778],0
n3,1,0.446798,0.578763,[4 3] ; [3 5],[3.26666667 3.73333333] ; [3.73333333 4.26666667],0
p3,1,0.534561,0.385714,[ 4 11] ; [ 2 10],[ 3.33333333 11.66666667] ; [2.66666667 9.33333333],0
a7,1,0.54659,0.363462,[8 7] ; [5 7],[7.22222222 7.77777778] ; [5.77777778 6.22222222],0
p2,1,0.603332,0.27,[9 6] ; [6 6],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
n5,1,0.603332,0.27,[6 9] ; [6 6],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
v1,1,0.65591,0.198529,[ 5 10] ; [5 7],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
s1,1,0.681225,0.16875,[ 2 13] ; [ 1 11],[ 1.66666667 13.33333333] ; [ 1.33333333 10.66666667],0
s2,1,0.681225,0.16875,[ 2 13] ; [ 1 11],[ 1.66666667 13.33333333] ; [ 1.33333333 10.66666667],0
a3,1,0.721501,0.127059,[9 6] ; [8 4],[9.44444444 5.55555556] ; [7.55555556 4.44444444],0
p11,1,0.721501,0.127059,[6 9] ; [4 8],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
p5,1,0.818726,0.052525,[ 1 14] ; [ 1 10],[ 1.15384615 13.84615385] ; [ 0.84615385 10.15384615],0
s3,1,0.824653,0.049091,[ 3 12] ; [ 2 10],[ 2.77777778 12.22222222] ; [2.22222222 9.77777778],0
v2,1,0.824653,0.049091,[ 3 12] ; [ 2 10],[ 2.77777778 12.22222222] ; [2.22222222 9.77777778],0
b5,1,0.86324,0.02967,[8 7] ; [6 6],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
b4,1,0.86324,0.02967,[8 7] ; [6 6],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
p1,1,0.869482,0.027,[ 1 14] ; [ 1 11],[ 1.11111111 13.88888889] ; [ 0.88888889 11.11111111],0
n6,1,0.93021,0.00767,[6 9] ; [5 7],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
r1,1,0.93021,0.00767,[6 9] ; [5 7],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
p7,1,0.951159,0.003752,[6 8] ; [5 7],[5.92307692 8.07692308] ; [5.07692308 6.92307692],0
b2,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
u2,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
b3,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
