Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.9e-05,16.940106,[25 11] ; [ 50 105],[14.13612565 21.86387435] ; [60.86387435 94.13612565],1
s6,1,0.000407,12.500466,[29  6] ; [77 77],[19.62962963 15.37037037] ; [86.37037037 67.62962963],1
s3,1,0.004809,7.949798,[26 11] ; [68 85],[18.30526316 18.69473684] ; [75.69473684 77.30526316],0
s5,1,0.007395,7.174407,[15 19] ; [ 32 115],[ 8.82872928 25.17127072] ; [ 38.17127072 108.82872928],0
s7,1,0.018698,5.529502,[18 16] ; [ 46 100],[12.08888889 21.91111111] ; [51.91111111 94.08888889],0
p11,1,0.02241,5.213659,[19 18] ; [110  45],[24.859375 12.140625] ; [104.140625  50.859375],0
p10,1,0.03587,4.403264,[29  7] ; [95 58],[23.61904762 12.38095238] ; [100.38095238  52.61904762],0
p8,1,0.048643,3.887628,[10 27] ; [69 85],[15.30366492 21.69633508] ; [63.69633508 90.30366492],0
u1,1,0.061869,3.486561,[ 8 29] ; [ 16 139],[ 4.625 32.375] ; [ 19.375 135.625],0
u3,1,0.062074,3.481092,[11  2] ; [30 23],[8.07575758 4.92424242] ; [32.92424242 20.07575758],0
d3,1,0.06271,3.464224,[31  6] ; [106  49],[26.40104167 10.59895833] ; [110.59895833  44.40104167],0
n6,1,0.077317,3.120416,[27 10] ; [88 66],[22.27748691 14.72251309] ; [92.72251309 61.27748691],0
u2,1,0.091375,2.849987,[5 8] ; [34 19],[7.68181818 5.31818182] ; [31.31818182 21.68181818],0
b5,1,0.101176,2.6869,[26 11] ; [86 69],[21.58333333 15.41666667] ; [90.41666667 64.58333333],0
p2,1,0.102355,2.668464,[24 13] ; [119  34],[27.84736842  9.15263158] ; [115.15263158  37.84736842],0
b3,1,0.145061,2.12343,[ 3 17] ; [26 57],[ 5.63106796 14.36893204] ; [23.36893204 59.63106796],0
b2,1,0.145061,2.12343,[ 3 17] ; [26 57],[ 5.63106796 14.36893204] ; [23.36893204 59.63106796],0
p6,1,0.244024,1.357198,[12 25] ; [ 35 116],[ 9.25 27.75] ; [ 37.75 113.25],0
d4,1,0.26353,1.250117,[29  8] ; [133  22],[31.21875  5.78125] ; [130.78125  24.21875],0
