Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.1e-05,18.056771,[30 21] ; [59  5],[39.46956522 11.53043478] ; [49.53043478 14.46956522],1
r4,1,0.000344,12.812341,[23 28] ; [51 15],[32.25641026 18.74358974] ; [41.74358974 24.25641026],1
p11,1,0.001407,10.196906,[15 36] ; [39 27],[23.53846154 27.46153846] ; [30.46153846 35.53846154],0
a1,1,0.001969,9.578282,[ 9 42] ; [ 1 65],[ 4.35897436 46.64102564] ; [ 5.64102564 60.35897436],0
p4,1,0.002682,9.012392,[ 7 43] ; [26 40],[14.22413793 35.77586207] ; [18.77586207 47.22413793],0
p7,1,0.003249,8.661852,[ 9 40] ; [29 36],[16.33333333 32.66666667] ; [21.66666667 43.33333333],0
r3,1,0.006036,7.539403,[32 19] ; [56 10],[38.35897436 12.64102564] ; [49.64102564 16.35897436],0
a7,1,0.013256,6.134594,[24 27] ; [46 20],[30.51282051 20.48717949] ; [39.48717949 26.51282051],0
n1,1,0.014149,6.019484,[15 15] ; [ 4 19],[10.75471698 19.24528302] ; [ 8.24528302 14.75471698],0
s6,1,0.016839,5.71308,[14 36] ; [33 33],[20.25862069 29.74137931] ; [26.74137931 39.25862069],0
p9,1,0.019573,5.449581,[22 27] ; [44 22],[28.12173913 20.87826087] ; [37.87826087 28.12173913],0
p10,1,0.019669,5.441022,[16 33] ; [36 30],[22.15652174 26.84347826] ; [29.84347826 36.15652174],0
u1,1,0.025095,5.017335,[ 1 50] ; [ 9 57],[ 4.35897436 46.64102564] ; [ 5.64102564 60.35897436],0
d3,1,0.030265,4.694151,[23 27] ; [43 22],[28.69565217 21.30434783] ; [37.30434783 27.69565217],0
a6,1,0.031083,4.648362,[25 25] ; [46 20],[30.60344828 19.39655172] ; [40.39655172 25.60344828],0
p3,1,0.034743,4.457757,[ 8 42] ; [22 44],[12.93103448 37.06896552] ; [17.06896552 48.93103448],0
b5,1,0.045385,4.004278,[23 28] ; [42 24],[28.33333333 22.66666667] ; [36.66666667 29.33333333],0
b2,1,0.05407,3.710539,[14 19] ; [ 7 27],[10.34328358 22.65671642] ; [10.65671642 23.34328358],0
b3,1,0.05407,3.710539,[14 19] ; [ 7 27],[10.34328358 22.65671642] ; [10.65671642 23.34328358],0
r2,1,0.058235,3.58696,[38 12] ; [58  7],[41.73913043  8.26086957] ; [54.26086957 10.73913043],0
d4,1,0.093551,2.812176,[34 16] ; [53 12],[37.82608696 12.17391304] ; [49.17391304 15.82608696],0
s8,1,0.095335,2.781907,[ 8 43] ; [19 47],[11.76923077 39.23076923] ; [15.23076923 50.76923077],0
s1,1,0.123726,2.369505,[ 5 45] ; [ 2 63],[ 3.04347826 46.95652174] ; [ 3.95652174 61.04347826],0
p6,1,0.124751,2.356637,[ 4 45] ; [12 54],[ 6.8173913 42.1826087] ; [ 9.1826087 56.8173913],0
p1,1,0.153108,2.041009,[ 6 45] ; [ 3 62],[ 3.95689655 47.04310345] ; [ 5.04310345 59.95689655],0
b4,1,0.168847,1.893154,[26 25] ; [42 24],[29.64102564 21.35897436] ; [38.35897436 27.64102564],0
r1,1,0.230671,1.43672,[29 22] ; [44 21],[32.09482759 18.90517241] ; [40.90517241 24.09482759],0
u2,1,0.257312,1.283161,[10  8] ; [16  6],[11.7  6.3] ; [14.3  7.7],0
d2,1,0.274435,1.194445,[24 26] ; [25 41],[21.12068966 28.87931034] ; [27.87931034 38.12068966],0
u3,1,0.326333,0.963395,[9 9] ; [15  8],[10.53658537  7.46341463] ; [13.46341463  9.53658537],0
n3,1,0.35608,0.851671,[17 12] ; [17  7],[18.60377358 10.39622642] ; [15.39622642  8.60377358],0
v1,1,0.357803,0.845588,[18 33] ; [28 36],[20.4 30.6] ; [25.6 38.4],0
a4,1,0.431152,0.619718,[23 28] ; [25 41],[20.92307692 30.07692308] ; [27.07692308 38.92307692],0
s2,1,0.500157,0.454603,[17 34] ; [26 40],[18.74358974 32.25641026] ; [24.25641026 41.74358974],0
v2,1,0.502663,0.44931,[16 31] ; [25 37],[17.67889908 29.32110092] ; [23.32110092 38.67889908],0
s4,1,0.516925,0.420024,[ 7 44] ; [12 54],[ 8.28205128 42.71794872] ; [10.71794872 55.28205128],0
d5,1,0.517356,0.419162,[32 18] ; [46 20],[33.62068966 16.37931034] ; [44.37931034 21.62068966],0
a8,1,0.564535,0.331912,[ 7 44] ; [ 6 53],[ 6.02727273 44.97272727] ; [ 6.97272727 52.02727273],0
b1,1,0.565046,0.331042,[29 22] ; [34 32],[27.46153846 23.53846154] ; [35.53846154 30.46153846],0
s5,1,0.602658,0.271005,[ 7 39] ; [12 51],[ 8.01834862 37.98165138] ; [10.98165138 52.01834862],0
n2,1,0.681028,0.168971,[19 12] ; [16  8],[19.72727273 11.27272727] ; [15.27272727  8.72727273],0
v3,1,0.705062,0.14326,[ 9 37] ; [14 48],[ 9.7962963 36.2037037] ; [13.2037037 48.7962963],0
a2,1,0.716656,0.13172,[ 9 42] ; [10 56],[ 8.28205128 42.71794872] ; [10.71794872 55.28205128],0
n5,1,0.754439,0.097839,[23 27] ; [28 37],[22.17391304 27.82608696] ; [28.82608696 36.17391304],0
s7,1,0.791114,0.070153,[13 34] ; [18 42],[13.61682243 33.38317757] ; [17.38317757 42.61682243],0
s3,1,0.806114,0.060242,[25 25] ; [34 31],[25.65217391 24.34782609] ; [33.34782609 31.65217391],0
p12,1,0.851119,0.035228,[ 1 49] ; [ 1 64],[ 0.86956522 49.13043478] ; [ 1.13043478 63.86956522],0
n4,1,0.900471,0.015642,[28 23] ; [37 29],[28.33333333 22.66666667] ; [36.66666667 29.33333333],0
a3,1,0.924146,0.009065,[33 17] ; [43 23],[32.75862069 17.24137931] ; [43.24137931 22.75862069],0
d1,1,0.938378,0.005977,[22 29] ; [28 38],[21.79487179 29.20512821] ; [28.20512821 37.79487179],0
a5,1,0.97674,0.00085,[30 21] ; [39 27],[30.07692308 20.92307692] ; [38.92307692 27.07692308],0
