Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,35.937215,[11 23] ; [88 15],[24.56934307  9.43065693] ; [74.43065693 28.56934307],1
d1,1,0.0,34.614093,[ 1 34] ; [62 41],[15.97826087 19.02173913] ; [47.02173913 55.97826087],1
d2,1,4.8e-05,16.51589,[ 6 29] ; [58 44],[16.35036496 18.64963504] ; [47.64963504 54.35036496],1
r3,1,0.000303,13.04996,[16 18] ; [81 21],[24.25  9.75] ; [72.75 29.25],1
d3,1,0.000322,12.937755,[ 9 24] ; [65 38],[17.95588235 15.04411765] ; [56.04411765 46.95588235],1
a3,1,0.000346,12.80204,[13 20] ; [75 27],[21.51111111 11.48888889] ; [66.48888889 35.51111111],1
r1,1,0.00139,10.219407,[14 20] ; [73 29],[21.75 12.25] ; [65.25 36.75],0
s5,1,0.002312,9.283499,[ 1 33] ; [27 70],[ 7.26717557 26.73282443] ; [20.73282443 76.26717557],0
a4,1,0.002402,9.214092,[ 6 28] ; [48 54],[13.5 20.5] ; [40.5 61.5],0
v2,1,0.003401,8.578626,[ 5 27] ; [44 55],[11.96946565 20.03053435] ; [37.03053435 61.96946565],0
a5,1,0.003858,8.349333,[13 22] ; [67 36],[20.28985507 14.71014493] ; [59.71014493 43.28985507],0
s6,1,0.006014,7.546207,[ 8 27] ; [50 51],[14.92647059 20.07352941] ; [43.07352941 57.92647059],0
n5,1,0.00925,6.773946,[26  8] ; [52 50],[19.5 14.5] ; [58.5 43.5],0
a7,1,0.009736,6.682591,[16 17] ; [75 28],[22.08088235 10.91911765] ; [68.91911765 34.08088235],0
r4,1,0.011492,6.387623,[15 20] ; [69 34],[21.30434783 13.69565217] ; [62.69565217 40.30434783],0
v4,1,0.01323,6.138074,[22 12] ; [87 16],[27.05109489  6.94890511] ; [81.94890511 21.05109489],0
s2,1,0.014517,5.974185,[ 6 29] ; [41 62],[11.92028986 23.07971014] ; [35.07971014 67.92028986],0
p3,1,0.014962,5.920922,[ 2 33] ; [25 76],[ 6.94852941 28.05147059] ; [20.05147059 80.94852941],0
s3,1,0.015768,5.828571,[ 8 26] ; [48 54],[14. 20.] ; [42. 60.],0
a2,1,0.016805,5.71662,[ 2 33] ; [25 78],[ 6.84782609 28.15217391] ; [20.15217391 82.84782609],0
p1,1,0.031296,4.636648,[ 5 30] ; [ 4 99],[ 2.2826087 32.7173913] ; [ 6.7173913 96.2826087],0
