Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.244256,[5 6] ; [140  13],[9.72560976 1.27439024] ; [135.27439024  17.72560976],1
r1,1,2e-05,18.210018,[3 8] ; [124  27],[8.62345679 2.37654321] ; [118.37654321  32.62345679],1
r3,1,4e-05,16.874868,[5 6] ; [135  16],[9.50617284 1.49382716] ; [130.49382716  20.50617284],1
n6,1,0.000381,12.622912,[2 9] ; [107  45],[7.35582822 3.64417178] ; [101.64417178  50.35582822],1
p2,1,0.000598,11.782533,[2 9] ; [105  47],[7.2208589 3.7791411] ; [99.7791411 52.2208589],1
s6,1,0.001276,10.37695,[2 9] ; [100  50],[6.9689441 4.0310559] ; [95.0310559 54.9689441],0
p9,1,0.00919,6.78548,[3 8] ; [97 49],[7.00636943 3.99363057] ; [92.99363057 53.00636943],0
p10,1,0.009989,6.636801,[2 9] ; [85 61],[6.0955414 4.9044586] ; [80.9044586 65.0955414],0
s7,1,0.023576,5.125526,[1 9] ; [66 75],[4.43708609 5.56291391] ; [62.56291391 78.43708609],0
d3,1,0.024864,5.033328,[5 6] ; [115  36],[8.14814815 2.85185185] ; [111.85185185  39.14814815],0
a1,1,0.055628,3.663165,[2 9] ; [  7 146],[ 0.60365854 10.39634146] ; [  8.39634146 144.60365854],0
p7,1,0.063925,3.432495,[2 9] ; [70 79],[4.95 6.05] ; [67.05 81.95],0
s8,1,0.067669,3.338689,[ 1 10] ; [55 97],[3.7791411 7.2208589] ; [52.2208589 99.7791411],0
n2,1,0.067889,3.333333,[2 4] ; [38 16],[4. 2.] ; [36. 18.],0
v1,1,0.072253,3.231092,[2 9] ; [70 82],[4.85889571 6.14110429] ; [67.14110429 84.85889571],0
n4,1,0.086501,2.93832,[4 7] ; [95 57],[6.6809816 4.3190184] ; [92.3190184 59.6809816],0
v3,1,0.088138,2.908059,[ 1 10] ; [50 97],[3.55063291 7.44936709] ; [47.44936709 99.55063291],0
b5,1,0.102676,2.663481,[5 6] ; [106  47],[7.44512195 3.55487805] ; [103.55487805  49.44512195],0
s3,1,0.104239,2.639459,[3 8] ; [80 72],[5.60122699 5.39877301] ; [77.39877301 74.60122699],0
n5,1,0.105352,2.622599,[4 7] ; [93 59],[6.54601227 4.45398773] ; [90.45398773 61.54601227],0
s5,1,0.109238,2.565214,[ 1 10] ; [46 97],[3.35714286 7.64285714] ; [43.64285714 99.35714286],0
s1,1,0.122177,2.389187,[2 9] ; [  9 141],[ 0.7515528 10.2484472] ; [ 10.2484472 139.7515528],0
a3,1,0.181276,1.787128,[5 5] ; [106  45],[6.89440994 3.10559006] ; [104.10559006  46.89440994],0
v2,1,0.184971,1.757228,[3 8] ; [70 76],[5.11464968 5.88535032] ; [67.88535032 78.11464968],0
d1,1,0.186386,1.745958,[4 7] ; [87 66],[6.10365854 4.89634146] ; [84.89634146 68.10365854],0
p3,1,0.23423,1.414986,[2 8] ; [59 93],[3.7654321 6.2345679] ; [57.2345679 94.7654321],0
a6,1,0.248905,1.329439,[6 5] ; [108  44],[7.69325153 3.30674847] ; [106.30674847  45.69325153],0
p4,1,0.251729,1.31368,[3 8] ; [68 83],[4.82098765 6.17901235] ; [66.17901235 84.82098765],0
a5,1,0.28687,1.134255,[6 5] ; [107  46],[7.57926829 3.42073171] ; [105.42073171  47.57926829],0
b1,1,0.307472,1.041502,[7 4] ; [73 80],[5.36585366 5.63414634] ; [74.63414634 78.36585366],0
s4,1,0.319847,0.989572,[ 1 10] ; [ 33 119],[2.29447853 8.70552147] ; [ 31.70552147 120.29447853],0
d5,1,0.322519,0.978703,[8 3] ; [128  24],[9.17791411 1.82208589] ; [126.82208589  25.17791411],0
n3,1,0.324947,0.96893,[3 3] ; [37 16],[4.06779661 1.93220339] ; [35.93220339 17.06779661],0
d2,1,0.338173,0.917345,[4 7] ; [78 74],[5.53374233 5.46625767] ; [76.46625767 75.53374233],0
a8,1,0.353822,0.859701,[2 8] ; [ 14 120],[1.11111111 8.88888889] ; [ 14.88888889 119.11111111],0
a2,1,0.38025,0.769894,[2 9] ; [ 47 106],[3.28658537 7.71341463] ; [ 45.71341463 107.28658537],0
b4,1,0.518464,0.416948,[7 4] ; [82 71],[5.9695122 5.0304878] ; [83.0304878 69.9695122],0
b2,1,0.658778,0.195012,[3 6] ; [19 53],[2.44444444 6.55555556] ; [19.55555556 52.44444444],0
b3,1,0.658778,0.195012,[3 6] ; [19 53],[2.44444444 6.55555556] ; [19.55555556 52.44444444],0
n1,1,0.738139,0.111769,[2 4] ; [21 31],[2.37931034 3.62068966] ; [20.62068966 31.37931034],0
u3,1,0.797262,0.065994,[3 3] ; [25 20],[3.29411765 2.70588235] ; [24.70588235 20.29411765],0
d4,1,0.820969,0.051211,[9 2] ; [120  32],[8.70552147 2.29447853] ; [120.29447853  31.70552147],0
u2,1,0.916749,0.010927,[3 3] ; [21 23],[2.88 3.12] ; [21.12 22.88],0
p1,1,0.933299,0.007005,[ 1 10] ; [ 15 137],[1.0797546 9.9202454] ; [ 14.9202454 137.0797546],0
a4,1,0.969342,0.001477,[5 6] ; [70 82],[5.06134969 5.93865031] ; [69.93865031 82.06134969],0
