Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,232.189605,[ 23 191] ; [372 141],[116.27235213  97.72764787] ; [278.72764787 234.27235213],1
d5,1,0.0,165.777385,[138  77] ; [505  10],[189.37671233  25.62328767] ; [453.62328767  61.37671233],1
d3,1,0.0,116.412857,[110 105] ; [453  62],[165.81506849  49.18493151] ; [397.18493151 117.81506849],1
a2,1,0.0,66.483915,[ 13 202] ; [182 333],[ 57.43150685 157.56849315] ; [137.56849315 377.43150685],1
a5,1,0.0,58.846053,[125  90] ; [435  80],[164.93150685  50.06849315] ; [395.06849315 119.93150685],1
a4,1,0.0,56.650059,[ 60 155] ; [300 213],[106.31868132 108.68131868] ; [253.68131868 259.31868132],1
u1,1,0.0,54.059344,[  8 207] ; [144 371],[ 44.76712329 170.23287671] ; [107.23287671 407.76712329],1
a3,1,0.0,27.899574,[133  81] ; [414  99],[161.01513067  52.98486933] ; [385.98486933 127.01513067],1
p4,1,7e-06,20.167649,[ 98 113] ; [329 181],[124.96116505  86.03883495] ; [302.03883495 207.96116505],1
s8,1,1.3e-05,19.030095,[ 70 144] ; [257 253],[ 96.65469613 117.34530387] ; [230.34530387 279.65469613],1
a6,1,0.000353,12.767549,[128  87] ; [375 139],[148.34705075  66.65294925] ; [354.65294925 159.34705075],1
n4,1,0.001112,10.630529,[147  67] ; [410 103],[163.95873453  50.04126547] ; [393.04126547 119.95873453],0
r1,1,0.004907,7.913491,[167  48] ; [441  71],[179.80742779  35.19257221] ; [428.19257221  83.80742779],0
p3,1,0.006917,7.29448,[ 91 123] ; [274 238],[107.58953168 106.41046832] ; [257.41046832 254.58953168],0
v2,1,0.010621,6.527654,[105 101] ; [304 191],[120.19115549  85.80884451] ; [288.80884451 206.19115549],0
s7,1,0.010693,6.515652,[ 87 118] ; [261 231],[102.35294118 102.64705882] ; [245.64705882 246.35294118],0
p10,1,0.010947,6.473827,[158  53] ; [423  86],[170.26527778  40.73472222] ; [410.73472222  98.26527778],0
a7,1,0.012427,6.248921,[146  68] ; [397 118],[159.39917695  54.60082305] ; [383.60082305 131.39917695],0
u4,1,0.019089,5.493372,[  1 214] ; [ 18 497],[  5.59589041 209.40410959] ; [ 13.40410959 501.59589041],0
p9,1,0.025712,4.975257,[167  43] ; [437  70],[176.90376569  33.09623431] ; [427.09623431  79.90376569],0
v3,1,0.029215,4.754882,[ 72 138] ; [210 277],[ 84.96413199 125.03586801] ; [197.03586801 289.96413199],0
n5,1,0.030424,4.685183,[144  68] ; [387 124],[155.70124481  56.29875519] ; [375.29875519 135.70124481],0
n6,1,0.034748,4.457533,[169  44] ; [437  73],[178.53112033  34.46887967] ; [427.46887967  82.53112033],0
p12,1,0.035091,4.440746,[  9 201] ; [ 45 464],[ 15.77190542 194.22809458] ; [ 38.22809458 470.77190542],0
p6,1,0.040489,4.19727,[ 66 144] ; [199 304],[ 78.05049088 131.94950912] ; [186.94950912 316.05049088],0
n2,1,0.042409,4.118796,[39  8] ; [80 39],[33.69277108 13.30722892] ; [85.30722892 33.69277108],0
s2,1,0.048338,3.898182,[102 112] ; [284 226],[114.09392265  99.90607735] ; [271.90607735 238.09392265],0
p8,1,0.057326,3.613109,[ 99 113] ; [274 229],[110.5958042 101.4041958] ; [262.4041958 240.5958042],0
s5,1,0.059493,3.551449,[ 63 143] ; [187 304],[ 73.88809182 132.11190818] ; [176.11190818 314.88809182],0
p1,1,0.134673,2.237796,[ 11 201] ; [ 43 469],[ 15.8121547 196.1878453] ; [ 38.1878453 473.8121547],0
s6,1,0.13819,2.197997,[133  75] ; [351 153],[141.39325843  66.60674157] ; [342.60674157 161.39325843],0
v1,1,0.145162,2.122364,[106 103] ; [284 217],[114.8028169  94.1971831] ; [275.1971831 225.8028169],0
s3,1,0.174838,1.840965,[115  99] ; [299 206],[123.22114047  90.77885953] ; [290.77885953 214.22114047],0
a8,1,0.236585,1.400828,[ 32 174] ; [ 56 404],[ 27.21921922 178.78078078] ; [ 60.78078078 399.21921922],0
p7,1,0.238855,1.38734,[123  84] ; [320 179],[129.88810198  77.11189802] ; [313.11189802 185.88810198],0
v4,1,0.311674,1.023571,[204  11] ; [495  18],[206.43543956   8.56456044] ; [492.56456044  20.43543956],0
u3,1,0.362794,0.828198,[47 33] ; [66 35],[49.94475138 30.05524862] ; [63.05524862 37.94475138],0
p11,1,0.436239,0.606155,[163  52] ; [404 111],[166.99315068  48.00684932] ; [400.00684932 114.99315068],0
p5,1,0.493636,0.468591,[ 21 192] ; [ 59 449],[ 23.63384189 189.36615811] ; [ 56.36615811 451.63384189],0
b1,1,0.522316,0.409317,[ 86 129] ; [193 322],[ 82.17123288 132.82876712] ; [196.82876712 318.17123288],0
s4,1,0.53444,0.385943,[ 33 180] ; [ 88 418],[ 35.84561892 177.15438108] ; [ 85.15438108 420.84561892],0
u2,1,0.608471,0.262408,[46 33] ; [62 38],[47.66480447 31.33519553] ; [60.33519553 39.66480447],0
b5,1,0.64532,0.211851,[128  87] ; [316 199],[130.76712329  84.23287671] ; [313.23287671 201.76712329],0
r3,1,0.654191,0.200658,[205   9] ; [494  18],[206.04132231   7.95867769] ; [492.95867769  19.04132231],0
n1,1,0.661602,0.191584,[17 29] ; [48 70],[18.23170732 27.76829268] ; [46.76829268 71.23170732],0
b4,1,0.777553,0.079812,[127  88] ; [310 205],[128.70547945  86.29452055] ; [308.29452055 206.70547945],0
s1,1,0.795938,0.066878,[  7 204] ; [ 15 493],[  6.45618915 204.54381085] ; [ 15.54381085 492.45618915],0
