Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.306185,[108  24] ; [ 1 13],[98.54794521 33.45205479] ; [10.45205479  3.54794521],1
r3,1,0.0,25.971619,[107  23] ; [ 3 11],[99.30555556 30.69444444] ; [10.69444444  3.30555556],1
v4,1,9e-06,19.786503,[116  15] ; [6 8],[110.22068966  20.77931034] ; [11.77931034  2.22068966],1
d3,1,0.000203,13.799485,[85 45] ; [ 2 12],[78.54166667 51.45833333] ; [8.45833333 5.54166667],1
d5,1,0.001228,10.44797,[100  31] ; [5 9],[94.86206897 36.13793103] ; [10.13793103  3.86206897],0
r1,1,0.001328,10.302756,[99 31] ; [5 9],[93.88888889 36.11111111] ; [10.11111111  3.88888889],0
s6,1,0.001601,9.959168,[83 45] ; [ 3 11],[77.52112676 50.47887324] ; [8.47887324 5.52112676],0
a7,1,0.001602,9.957837,[93 39] ; [ 4 10],[87.69863014 44.30136986] ; [9.30136986 4.69863014],0
d1,1,0.001866,9.676481,[67 65] ; [ 1 13],[61.47945205 70.52054795] ; [6.52054795 7.47945205],0
v1,1,0.002215,9.362662,[66 66] ; [ 1 13],[60.57534247 71.42465753] ; [6.42465753 7.57534247],0
p10,1,0.002869,8.888999,[75 53] ; [ 2 11],[69.90070922 58.09929078] ; [7.09929078 5.90070922],0
d4,1,0.003055,8.774456,[96 34] ; [5 9],[91.18055556 38.81944444] ; [9.81944444 4.18055556],0
d2,1,0.005808,7.608855,[69 61] ; [ 2 12],[64.09722222 65.90277778] ; [6.90277778 7.09722222],0
n2,1,0.010493,6.54916,[38 12] ; [3 6],[34.74576271 15.25423729] ; [6.25423729 2.74576271],0
s8,1,0.012496,6.239122,[54 77] ; [ 1 13],[49.68965517 81.31034483] ; [5.31034483 8.68965517],0
p2,1,0.013577,6.092364,[90 41] ; [5 9],[85.82758621 45.17241379] ; [9.17241379 4.82758621],0
s2,1,0.015626,5.844518,[63 68] ; [ 2 12],[58.72413793 72.27586207] ; [6.27586207 7.72413793],0
a6,1,0.016317,5.768437,[81 50] ; [ 4 10],[76.79310345 54.20689655] ; [8.20689655 5.79310345],0
n3,1,0.018176,5.579151,[31 17] ; [2 7],[27.78947368 20.21052632] ; [5.21052632 3.78947368],0
a5,1,0.018478,5.55028,[89 43] ; [5 9],[84.98630137 47.01369863] ; [9.01369863 4.98630137],0
p9,1,0.01927,5.476852,[86 42] ; [4 8],[82.28571429 45.71428571] ; [7.71428571 4.28571429],0
s1,1,0.025756,4.972357,[  7 122] ; [ 3 11],[  9.02097902 119.97902098] ; [ 0.97902098 13.02097902],0
v3,1,0.027499,4.8592,[47 82] ; [ 1 13],[43.3006993 85.6993007] ; [4.6993007 9.3006993],0
v2,1,0.050067,3.839226,[56 73] ; [ 2 11],[52.69014085 76.30985915] ; [5.30985915 7.69014085],0
p6,1,0.05104,3.806962,[44 85] ; [ 1 12],[40.88028169 88.11971831] ; [4.11971831 8.88028169],0
n6,1,0.05187,3.779951,[103  29] ; [7 6],[100.13793103  31.86206897] ; [9.86206897 3.13793103],0
