Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.9e-05,18.29757,[ 1 32] ; [15 15],[ 8.38095238 24.61904762] ; [ 7.61904762 22.38095238],1
p2,1,0.003324,8.620597,[15 19] ; [24  6],[20.71875 13.28125] ; [18.28125 11.71875],0
s6,1,0.006699,7.352052,[ 8 26] ; [17 13],[13.28125 20.71875] ; [11.71875 18.28125],0
v3,1,0.009237,6.776471,[ 4 30] ; [12 18],[ 8.5 25.5] ; [ 7.5 22.5],0
p7,1,0.013833,6.059384,[10 24] ; [18 12],[14.875 19.125] ; [13.125 16.875],0
b4,1,0.013983,6.040261,[26  8] ; [14 16],[21.25 12.75] ; [18.75 11.25],0
s2,1,0.01508,5.907049,[ 4 30] ; [11 18],[ 8.0952381 25.9047619] ; [ 6.9047619 22.0952381],0
p5,1,0.01879,5.520969,[ 2 32] ; [ 8 21],[ 5.3968254 28.6031746] ; [ 4.6031746 24.3968254],0
n6,1,0.021421,5.29222,[16 17] ; [23  7],[20.42857143 12.57142857] ; [18.57142857 11.42857143],0
s5,1,0.0223,5.222251,[ 2 32] ; [ 8 22],[ 5.3125 28.6875] ; [ 4.6875 25.3125],0
p9,1,0.037401,4.332045,[16 16] ; [22  7],[19.93442623 12.06557377] ; [18.06557377 10.93442623],0
d3,1,0.045079,4.015686,[13 21] ; [19 11],[17. 17.] ; [15. 15.],0
a4,1,0.04717,3.939301,[ 6 28] ; [12 18],[ 9.5625 24.4375] ; [ 8.4375 21.5625],0
p12,1,0.060126,3.533919,[ 1 33] ; [ 5 25],[ 3.1875 30.8125] ; [ 2.8125 27.1875],0
p6,1,0.074897,3.172296,[ 3 29] ; [ 8 22],[ 5.67741935 26.32258065] ; [ 5.32258065 24.67741935],0
s3,1,0.081984,3.025115,[ 6 27] ; [11 18],[ 9.0483871 23.9516129] ; [ 7.9516129 21.0483871],0
v1,1,0.092215,2.835272,[ 8 26] ; [13 17],[11.15625 22.84375] ; [ 9.84375 20.15625],0
p10,1,0.113221,2.50868,[15 18] ; [19 10],[18.09677419 14.90322581] ; [15.90322581 13.09677419],0
d5,1,0.11458,2.489885,[16 18] ; [20 10],[19.125 14.875] ; [16.875 13.125],0
d4,1,0.129239,2.301626,[20 14] ; [23  7],[22.84375 11.15625] ; [20.15625  9.84375],0
p8,1,0.129258,2.301392,[ 8 26] ; [12 17],[10.79365079 23.20634921] ; [ 9.20634921 19.79365079],0
s8,1,0.14812,2.091503,[ 6 28] ; [10 20],[ 8.5 25.5] ; [ 7.5 22.5],0
v2,1,0.14945,2.077857,[ 9 24] ; [13 16],[11.70967742 21.29032258] ; [10.29032258 18.70967742],0
r4,1,0.153396,2.038155,[ 7 27] ; [11 19],[ 9.5625 24.4375] ; [ 8.4375 21.5625],0
p11,1,0.162762,1.94838,[18 16] ; [21  9],[20.71875 13.28125] ; [18.28125 11.71875],0
v4,1,0.191837,1.703452,[16 18] ; [19 11],[18.59375 15.40625] ; [16.40625 13.59375],0
u3,1,0.290347,1.118012,[ 3 15] ; [4 8],[ 4.2 13.8] ; [2.8 9.2],0
a6,1,0.316363,1.003922,[15 19] ; [17 13],[17. 17.] ; [15. 15.],0
a3,1,0.359751,0.838761,[16 17] ; [18 12],[17.80952381 15.19047619] ; [16.19047619 13.80952381],0
s1,1,0.365218,0.819869,[ 3 31] ; [ 1 29],[ 2.125 31.875] ; [ 1.875 28.125],0
n5,1,0.400872,0.70571,[18 16] ; [19 11],[19.65625 14.34375] ; [17.34375 12.65625],0
b5,1,0.400872,0.70571,[18 16] ; [19 11],[19.65625 14.34375] ; [17.34375 12.65625],0
a5,1,0.422571,0.643153,[17 17] ; [18 12],[18.59375 15.40625] ; [16.40625 13.59375],0
