Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.250212,[19  4] ; [15 42],[ 9.775 13.225] ; [24.225 32.775],1
s3,1,0.000492,12.143928,[16  7] ; [16 42],[ 9.08641975 13.91358025] ; [22.91358025 35.08641975],1
s8,1,0.001645,9.908317,[ 8 15] ; [ 4 53],[ 3.45 19.55] ; [ 8.55 48.45],0
p3,1,0.005974,7.558025,[12 11] ; [12 45],[ 6.9 16.1] ; [17.1 39.9],0
s7,1,0.029693,4.726977,[ 7 15] ; [ 6 48],[ 3.76315789 18.23684211] ; [ 9.23684211 44.76315789],0
p4,1,0.033335,4.52851,[13 10] ; [18 40],[ 8.80246914 14.19753086] ; [22.19753086 35.80246914],0
r3,1,0.070803,3.264299,[22  1] ; [46 12],[19.30864198  3.69135802] ; [48.69135802  9.30864198],0
s4,1,0.082105,3.022734,[ 7 16] ; [ 8 50],[ 4.25925926 18.74074074] ; [10.74074074 47.25925926],0
n3,1,0.087829,2.913712,[2 4] ; [21  9],[3.83333333 2.16666667] ; [19.16666667 10.83333333],0
n2,1,0.116623,2.462095,[5 1] ; [14 15],[3.25714286 2.74285714] ; [15.74285714 13.25714286],0
d2,1,0.119775,2.420266,[ 6 17] ; [26 32],[ 9.08641975 13.91358025] ; [22.91358025 35.08641975],0
p8,1,0.133898,2.246724,[10 13] ; [15 42],[ 7.1875 15.8125] ; [17.8125 39.1875],0
a4,1,0.166647,1.912851,[ 4 19] ; [19 39],[ 6.5308642 16.4691358] ; [16.4691358 41.5308642],0
s5,1,0.167222,1.907675,[ 6 16] ; [ 8 49],[ 3.89873418 18.10126582] ; [10.10126582 46.89873418],0
d1,1,0.234541,1.413112,[ 7 16] ; [26 32],[ 9.37037037 13.62962963] ; [23.62962963 34.37037037],0
p6,1,0.302484,1.063211,[ 6 17] ; [ 9 47],[ 4.36708861 18.63291139] ; [10.63291139 45.36708861],0
a3,1,0.304682,1.053587,[10 13] ; [32 25],[12.075 10.925] ; [29.925 27.075],0
v4,1,0.323101,0.976354,[20  3] ; [44 13],[18.4  4.6] ; [45.6 11.4],0
r2,1,0.339517,0.912254,[20  3] ; [45 13],[18.45679012  4.54320988] ; [46.54320988 11.45679012],0
v3,1,0.368005,0.81039,[ 5 17] ; [ 8 48],[ 3.66666667 18.33333333] ; [ 9.33333333 46.66666667],0
b3,1,0.373541,0.791851,[4 7] ; [ 8 27],[2.86956522 8.13043478] ; [ 9.13043478 25.86956522],0
b2,1,0.373541,0.791851,[4 7] ; [ 8 27],[2.86956522 8.13043478] ; [ 9.13043478 25.86956522],0
p7,1,0.377995,0.777211,[12 11] ; [24 34],[10.22222222 12.77777778] ; [25.77777778 32.22222222],0
b4,1,0.377995,0.777211,[11 12] ; [34 24],[12.77777778 10.22222222] ; [32.22222222 25.77777778],0
p11,1,0.408803,0.682279,[ 8 15] ; [26 32],[ 9.65432099 13.34567901] ; [24.34567901 33.65432099],0
u2,1,0.456845,0.553613,[4 8] ; [12 14],[5.05263158 6.94736842] ; [10.94736842 15.05263158],0
p9,1,0.507572,0.439069,[ 6 16] ; [20 37],[ 7.24050633 14.75949367] ; [18.75949367 38.24050633],0
v2,1,0.518274,0.417327,[10 12] ; [21 35],[ 8.74358974 13.25641026] ; [22.25641026 33.74358974],0
a2,1,0.52945,0.395447,[ 2 21] ; [ 8 50],[ 2.83950617 20.16049383] ; [ 7.16049383 50.83950617],0
a6,1,0.54445,0.367354,[14  9] ; [31 27],[12.77777778 10.22222222] ; [32.22222222 25.77777778],0
p1,1,0.552435,0.352973,[ 2 21] ; [ 3 55],[ 1.41975309 21.58024691] ; [ 3.58024691 54.41975309],0
a7,1,0.640693,0.217836,[14  9] ; [32 26],[13.0617284  9.9382716] ; [32.9382716 25.0617284],0
