Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.920102,[105  23] ; [ 7 14],[96.2147651 31.7852349] ; [15.7852349  5.2147651],1
n4,1,7e-05,15.807789,[109  19] ; [10 11],[102.22818792  25.77181208] ; [16.77181208  4.22818792],1
p10,1,0.003754,8.399335,[98 28] ; [10 11],[92.57142857 33.42857143] ; [15.42857143  5.57142857],0
s7,1,0.010526,6.543621,[60 58] ; [ 4 16],[54.72463768 63.27536232] ; [ 9.27536232 10.72463768],0
p11,1,0.021338,5.298978,[93 35] ; [10 11],[88.48322148 39.51677852] ; [14.51677852  6.48322148],0
p9,1,0.023621,5.12228,[104  21] ; [13  8],[100.17123288  24.82876712] ; [16.82876712  4.17123288],0
d1,1,0.025883,4.963836,[87 41] ; [ 9 12],[82.46979866 45.53020134] ; [13.53020134  7.46979866],0
d2,1,0.062399,3.472445,[76 51] ; [ 8 13],[72.08108108 54.91891892] ; [11.91891892  9.08108108],0
s3,1,0.06346,3.444575,[69 56] ; [ 7 14],[65.06849315 59.93150685] ; [10.93150685 10.06849315],0
u1,1,0.066374,3.370493,[ 28 100] ; [ 1 20],[ 24.91275168 103.08724832] ; [ 4.08724832 16.91275168],0
v4,1,0.087035,2.928369,[122   6] ; [18  3],[120.26845638   7.73154362] ; [19.73154362  1.26845638],0
s8,1,0.135152,2.232304,[58 68] ; [ 6 15],[54.85714286 71.14285714] ; [ 9.14285714 11.85714286],0
d3,1,0.148621,2.08635,[93 35] ; [12  9],[90.20134228 37.79865772] ; [14.79865772  6.20134228],0
s5,1,0.241384,1.372494,[36 84] ; [ 3 15],[33.91304348 86.08695652] ; [ 5.08695652 12.91304348],0
v1,1,0.242054,1.368594,[66 56] ; [ 8 12],[63.57746479 58.42253521] ; [10.42253521  9.57746479],0
p3,1,0.292937,1.106073,[76 51] ; [10 11],[73.7972973 53.2027027] ; [12.2027027  8.7972973],0
s6,1,0.296718,1.088889,[92 34] ; [13  8],[90. 36.] ; [15.  6.],0
u3,1,0.349482,0.875336,[27 17] ; [7 2],[28.22641509 15.77358491] ; [5.77358491 3.22641509],0
a8,1,0.355023,0.855421,[ 10 102] ; [ 3 16],[ 11.11450382 100.88549618] ; [ 1.88549618 17.11450382],0
a7,1,0.374455,0.788829,[97 31] ; [14  7],[95.3557047 32.6442953] ; [15.6442953  5.3557047],0
b1,1,0.417383,0.657673,[49 79] ; [10 11],[50.68456376 77.31543624] ; [ 8.31543624 12.68456376],0
a6,1,0.430161,0.622389,[80 48] ; [15  6],[81.61073826 46.38926174] ; [13.38926174  7.61073826],0
s2,1,0.451664,0.566473,[70 54] ; [10 11],[68.4137931 55.5862069] ; [11.5862069  9.4137931],0
a3,1,0.451716,0.566343,[84 44] ; [12  9],[82.46979866 45.53020134] ; [13.53020134  7.46979866],0
b5,1,0.496226,0.462999,[83 45] ; [12  9],[81.61073826 46.38926174] ; [13.38926174  7.61073826],0
s4,1,0.500581,0.453704,[ 19 107] ; [ 2 19],[ 18. 108.] ; [ 3. 18.],0
r2,1,0.544218,0.367778,[116  11] ; [20  1],[116.7027027  10.2972973] ; [19.2972973  1.7027027],0
p6,1,0.579991,0.30625,[31 95] ; [ 4 17],[30. 96.] ; [ 5. 16.],0
u2,1,0.584832,0.298487,[25 19] ; [6 3],[25.73584906 18.26415094] ; [5.26415094 3.73584906],0
d5,1,0.621161,0.244239,[109  19] ; [17  4],[108.24161074  19.75838926] ; [17.75838926  3.24161074],0
d4,1,0.622533,0.242324,[104  24] ; [18  3],[104.80536913  23.19463087] ; [17.19463087  3.80536913],0
r4,1,0.632318,0.22893,[111  17] ; [19  2],[111.67785235  16.32214765] ; [18.32214765  2.67785235],0
p8,1,0.633437,0.227429,[43 84] ; [ 6 15],[42.0472973 84.9527027] ; [ 6.9527027 14.0472973],0
a4,1,0.635099,0.225209,[62 66] ; [ 9 12],[60.99328859 67.00671141] ; [10.00671141 10.99328859],0
b3,1,0.653425,0.201609,[28 52] ; [5 7],[28.69565217 51.30434783] ; [4.30434783 7.69565217],0
