Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7e-05,15.801688,[26 21] ; [ 7 38],[16.85869565 30.14130435] ; [16.14130435 28.85869565],1
p8,1,0.007275,7.203665,[ 3 44] ; [12 32],[ 7.74725275 39.25274725] ; [ 7.25274725 36.74725275],0
a5,1,0.021225,5.308237,[34 13] ; [22 23],[28.60869565 18.39130435] ; [27.39130435 17.60869565],0
d5,1,0.054019,3.712122,[29 18] ; [36  9],[33.20652174 13.79347826] ; [31.79347826 13.20652174],0
v2,1,0.058143,3.589586,[13 32] ; [20 21],[17.26744186 27.73255814] ; [15.73255814 25.26744186],0
a3,1,0.069584,3.292814,[33 13] ; [24 21],[28.81318681 17.18681319] ; [28.18681319 16.81318681],0
v4,1,0.073423,3.204783,[29 17] ; [36  9],[32.85714286 13.14285714] ; [32.14285714 12.85714286],0
a7,1,0.076772,3.131937,[25 22] ; [32 13],[29.11956522 17.88043478] ; [27.88043478 17.11956522],0
a4,1,0.081333,3.038056,[23 24] ; [14 31],[18.90217391 28.09782609] ; [18.09782609 26.90217391],0
b4,1,0.085381,2.959372,[23 24] ; [30 15],[27.07608696 19.92391304] ; [25.92391304 19.07608696],0
p9,1,0.086807,2.932614,[21 25] ; [28 16],[25.04444444 20.95555556] ; [23.95555556 20.04444444],0
s8,1,0.092939,2.822721,[ 6 41] ; [12 33],[ 9.19565217 37.80434783] ; [ 8.80434783 36.19565217],0
p10,1,0.094171,2.801585,[16 30] ; [23 21],[19.93333333 26.06666667] ; [19.06666667 24.93333333],0
d1,1,0.09771,2.74253,[16 31] ; [23 22],[19.92391304 27.07608696] ; [19.07608696 25.92391304],0
a1,1,0.156772,2.005088,[ 6 41] ; [ 2 43],[ 4.08695652 42.91304348] ; [ 3.91304348 41.08695652],0
s1,1,0.159887,1.975296,[ 1 45] ; [ 4 41],[ 2.52747253 43.47252747] ; [ 2.47252747 42.52747253],0
n1,1,0.167999,1.900712,[11  8] ; [ 8 14],[ 8.80487805 10.19512195] ; [10.19512195 11.80487805],0
p3,1,0.176145,1.829848,[13 34] ; [ 7 37],[10.32967033 36.67032967] ; [ 9.67032967 34.32967033],0
d4,1,0.193257,1.692616,[32 15] ; [36  9],[34.73913043 12.26086957] ; [33.26086957 11.73913043],0
r3,1,0.193257,1.692616,[32 15] ; [36  9],[34.73913043 12.26086957] ; [33.26086957 11.73913043],0
r2,1,0.200463,1.638998,[42  4] ; [37  8],[39.93406593  6.06593407] ; [39.06593407  5.93406593],0
b5,1,0.204911,1.60702,[22 25] ; [27 18],[25.0326087 21.9673913] ; [23.9673913 21.0326087],0
s5,1,0.223242,1.48341,[ 5 38] ; [ 9 33],[ 7.08235294 35.91764706] ; [ 6.91764706 35.08235294],0
u1,1,0.28589,1.138878,[ 1 46] ; [ 3 42],[ 2.04347826 44.95652174] ; [ 1.95652174 43.04347826],0
s4,1,0.325745,0.965742,[ 5 42] ; [ 8 37],[ 6.64130435 40.35869565] ; [ 6.35869565 38.64130435],0
n2,1,0.326558,0.9625,[13  7] ; [11 11],[11.42857143  8.57142857] ; [12.57142857  9.42857143],0
d2,1,0.372229,0.79621,[21 26] ; [16 29],[18.90217391 28.09782609] ; [18.09782609 26.90217391],0
a6,1,0.372229,0.79621,[26 21] ; [29 16],[28.09782609 18.90217391] ; [26.90217391 18.09782609],0
s6,1,0.373411,0.792283,[14 33] ; [17 27],[16.01098901 30.98901099] ; [14.98901099 29.01098901],0
b1,1,0.380923,0.767722,[22 25] ; [17 28],[19.92391304 27.07608696] ; [19.07608696 25.92391304],0
d3,1,0.38867,0.7431,[24 23] ; [27 18],[26.05434783 20.94565217] ; [24.94565217 20.05434783],0
s2,1,0.417624,0.656991,[14 33] ; [17 28],[15.83695652 31.16304348] ; [15.16304348 29.83695652],0
u3,1,0.485667,0.486111,[7 7] ; [13  8],[8. 6.] ; [12.  9.],0
r1,1,0.502184,0.450317,[32 15] ; [27 17],[30.47252747 16.52747253] ; [28.52747253 15.47252747],0
n3,1,0.603761,0.26936,[10  8] ; [14  8],[10.8  7.2] ; [13.2  8.8],0
p11,1,0.64053,0.21805,[20 27] ; [17 28],[18.90217391 28.09782609] ; [18.09782609 26.90217391],0
s7,1,0.651792,0.203648,[ 9 33] ; [11 32],[ 9.88235294 32.11764706] ; [10.11764706 32.88235294],0
p2,1,0.679833,0.170314,[25 22] ; [22 23],[24.01086957 22.98913043] ; [22.98913043 22.01086957],0
b2,1,0.696325,0.152323,[13 15] ; [ 9 13],[12.32 15.68] ; [ 9.68 12.32],0
b3,1,0.696325,0.152323,[13 15] ; [ 9 13],[12.32 15.68] ; [ 9.68 12.32],0
p4,1,0.717435,0.130963,[10 37] ; [11 34],[10.72826087 36.27173913] ; [10.27173913 34.72826087],0
p1,1,0.718499,0.129936,[ 5 41] ; [ 6 39],[ 5.56043956 40.43956044] ; [ 5.43956044 39.56043956],0
s3,1,0.73658,0.113156,[20 26] ; [18 27],[19.20879121 26.79120879] ; [18.79120879 26.20879121],0
u2,1,0.773753,0.082639,[7 7] ; [11  9],[7.41176471 6.58823529] ; [10.58823529  9.41176471],0
v3,1,0.781026,0.077274,[13 31] ; [11 30],[12.42352941 31.57647059] ; [11.57647059 29.42352941],0
p6,1,0.804833,0.061057,[ 5 42] ; [ 4 40],[ 4.64835165 42.35164835] ; [ 4.35164835 39.64835165],0
r4,1,0.87894,0.023199,[31 16] ; [29 16],[30.65217391 16.34782609] ; [29.34782609 15.65217391],0
v1,1,0.929266,0.00788,[19 27] ; [19 26],[19.20879121 26.79120879] ; [18.79120879 26.20879121],0
a2,1,0.93562,0.006525,[ 6 41] ; [ 6 39],[ 6.13043478 40.86956522] ; [ 5.86956522 39.13043478],0
p12,1,0.97464,0.001011,[ 1 45] ; [ 1 43],[ 1.02222222 44.97777778] ; [ 0.97777778 43.02222222],0
