Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,187.032656,[537  55] ; [61 87],[478.4 113.6] ; [119.6  28.4],1
v1,1,1e-06,24.090601,[345 235] ; [52 90],[318.91966759 261.08033241] ; [78.08033241 63.91966759],1
p4,1,1e-06,23.814713,[382 207] ; [63 84],[356.12092391 232.87907609] ; [88.87907609 58.12092391],1
p10,1,3e-06,21.96301,[508  79] ; [102  43],[489.16666667  97.83333333] ; [120.83333333  24.16666667],1
p3,1,1.1e-05,19.342653,[326 263] ; [52 96],[302.09226594 286.90773406] ; [75.90773406 72.09226594],1
s7,1,2.6e-05,17.673513,[311 250] ; [52 93],[288.44617564 272.55382436] ; [74.55382436 70.44617564],1
s8,1,0.000199,13.839815,[288 299] ; [ 47 100],[267.90871935 319.09128065] ; [67.09128065 79.90871935],1
a5,1,0.000348,12.79067,[457 135] ; [93 55],[440. 152.] ; [110.  38.],1
p8,1,0.000552,11.929831,[329 251] ; [60 87],[310.34387895 269.65612105] ; [78.65612105 68.34387895],1
s6,1,0.000951,10.920781,[416 161] ; [84 61],[399.58448753 177.41551247] ; [100.41551247  44.58448753],1
v3,1,0.001018,10.794882,[257 320] ; [41 99],[239.81311018 337.18688982] ; [58.18688982 81.81311018],0
p5,1,0.001095,10.660184,[ 81 505] ; [  6 141],[ 69.55252387 516.44747613] ; [ 17.44747613 129.55252387],0
a2,1,0.001706,9.841677,[162 431] ; [ 22 126],[147.24966262 445.75033738] ; [ 36.75033738 111.24966262],0
p11,1,0.002528,9.120562,[490 103] ; [106  42],[476.9608637 116.0391363] ; [119.0391363  28.9608637],0
r1,1,0.003192,8.694157,[496  94] ; [109  39],[483.67208672 106.32791328] ; [121.32791328  26.67208672],0
p9,1,0.003312,8.627093,[511  73] ; [113  32],[499.88477366  84.11522634] ; [124.11522634  20.88477366],0
s2,1,0.005232,7.797435,[322 263] ; [62 85],[306.8852459 278.1147541] ; [77.1147541 69.8852459],0
u1,1,0.008978,6.827276,[124 469] ; [ 17 131],[112.83805668 480.16194332] ; [ 28.16194332 119.83805668],0
p2,1,0.012985,6.171093,[502  87] ; [112  34],[492.03537415  96.96462585] ; [121.96462585  24.03537415],0
s3,1,0.013007,6.168205,[344 239] ; [69 76],[330.74038462 252.25961538] ; [82.25961538 62.74038462],0
a3,1,0.016836,5.713372,[435 154] ; [94 53],[423.34375 165.65625] ; [105.65625  41.34375],0
p6,1,0.022082,5.239273,[238 347] ; [ 44 101],[225.98630137 359.01369863] ; [56.01369863 88.98630137],0
n1,1,0.026211,4.942044,[53 65] ; [10 30],[47.05063291 70.94936709] ; [15.94936709 24.05063291],0
d2,1,0.028647,4.788676,[306 283] ; [62 86],[294.10040706 294.89959294] ; [73.89959294 74.10040706],0
a4,1,0.032849,4.553639,[284 304] ; [57 91],[272.42934783 315.57065217] ; [68.57065217 79.42934783],0
b2,1,0.034554,4.46707,[151 217] ; [23 58],[142.61024499 225.38975501] ; [31.38975501 49.61024499],0
b3,1,0.034554,4.46707,[151 217] ; [23 58],[142.61024499 225.38975501] ; [31.38975501 49.61024499],0
n2,1,0.037262,4.338409,[94 26] ; [24 15],[89.05660377 30.94339623] ; [28.94339623 10.05660377],0
p12,1,0.04105,4.173953,[ 54 533] ; [  6 142],[ 47.91836735 539.08163265] ; [ 12.08163265 135.91836735],0
r4,1,0.053814,3.718466,[562  31] ; [134  14],[556.98785425  36.01214575] ; [139.01214575   8.98785425],0
d1,1,0.063809,3.435507,[366 227] ; [79 69],[356.12010796 236.87989204] ; [88.87989204 59.12010796],0
a8,1,0.064487,3.418057,[ 80 456] ; [ 12 124],[ 73.38095238 462.61904762] ; [ 18.61904762 117.38095238],0
b1,1,0.075411,3.161126,[227 366] ; [ 45 103],[217.6734143 375.3265857] ; [54.3265857 93.6734143],0
s4,1,0.078216,3.101594,[ 94 488] ; [ 33 115],[101.25205479 480.74794521] ; [ 25.74794521 122.25205479],0
a6,1,0.086775,2.933198,[407 184] ; [91 57],[398.26522327 192.73477673] ; [99.73477673 48.26522327],0
p1,1,0.098426,2.730865,[ 58 531] ; [  8 138],[ 52.88979592 536.11020408] ; [ 13.11020408 132.88979592],0
s5,1,0.101014,2.689463,[214 354] ; [43 99],[205.6 362.4] ; [51.4 90.6],0
p7,1,0.107688,2.587821,[381 196] ; [86 60],[372.69571231 204.30428769] ; [94.30428769 51.69571231],0
d5,1,0.13426,2.242541,[487 105] ; [113  34],[480.64952639 111.35047361] ; [119.35047361  27.64952639],0
a7,1,0.164685,1.930674,[424 166] ; [114  33],[430.69199457 159.30800543] ; [107.30800543  39.69199457],0
a1,1,0.388579,0.743384,[ 30 563] ; [  5 143],[ 28.00944669 564.99055331] ; [  6.99055331 141.00944669],0
r3,1,0.390274,0.738088,[565  25] ; [144   4],[566.81571816  23.18428184] ; [142.18428184   5.81571816],0
v4,1,0.561787,0.33662,[577  15] ; [142   5],[575.97834912  16.02165088] ; [143.02165088   3.97834912],0
d3,1,0.611061,0.258633,[406 186] ; [104  43],[408.55209743 183.44790257] ; [101.44790257  45.55209743],0
b5,1,0.636816,0.222931,[352 241] ; [91 57],[354.51956815 238.48043185] ; [88.48043185 59.51956815],0
b4,1,0.66558,0.186816,[345 248] ; [89 59],[347.317139 245.682861] ; [86.682861 61.317139],0
v2,1,0.787404,0.072729,[326 244] ; [80 63],[324.57223001 245.42776999] ; [81.42776999 61.57223001],0
d4,1,0.788039,0.072285,[484 106] ; [120  28],[482.87262873 107.12737127] ; [121.12737127  26.87262873],0
s1,1,0.856332,0.032777,[ 18 565] ; [  5 143],[ 18.34336525 564.65663475] ; [  4.65663475 143.34336525],0
n3,1,0.878146,0.023507,[87 32] ; [29 10],[87.36708861 31.63291139] ; [28.63291139 10.36708861],0
u3,1,0.908317,0.013262,[88 70] ; [30 23],[88.36018957 69.63981043] ; [29.63981043 23.36018957],0
u2,1,0.969656,0.001447,[79 77] ; [27 26],[79.11961722 76.88038278] ; [26.88038278 26.11961722],0
