Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000542,11.967033,[68 10] ; [23 16],[60.66666667 17.33333333] ; [30.33333333  8.66666667],1
s3,1,0.000547,11.949411,[49 30] ; [11 28],[40.16949153 38.83050847] ; [19.83050847 19.16949153],1
s8,1,0.000645,11.640348,[45 35] ; [ 9 30],[36.30252101 43.69747899] ; [17.69747899 21.30252101],1
s2,1,0.000875,11.075059,[50 29] ; [12 27],[41.50847458 37.49152542] ; [20.49152542 18.50847458],1
p9,1,0.003581,8.484698,[71  9] ; [26 13],[65.21008403 14.78991597] ; [31.78991597  7.21008403],0
r1,1,0.004124,8.228611,[65 15] ; [22 17],[58.48739496 21.51260504] ; [28.51260504 10.48739496],0
n6,1,0.004932,7.904028,[71  8] ; [27 12],[65.61016949 13.38983051] ; [32.38983051  6.61016949],0
p10,1,0.006704,7.350652,[67 11] ; [25 14],[61.33333333 16.66666667] ; [30.66666667  8.33333333],0
d4,1,0.008877,6.847353,[53 27] ; [16 23],[46.38655462 33.61344538] ; [22.61344538 16.38655462],0
s5,1,0.008923,6.838179,[36 42] ; [ 8 30],[29.5862069 48.4137931] ; [14.4137931 23.5862069],0
p5,1,0.012784,6.198712,[22 58] ; [ 3 36],[16.80672269 63.19327731] ; [ 8.19327731 30.80672269],0
n3,1,0.012805,6.195795,[8 9] ; [11  1],[11.13793103  5.86206897] ; [7.86206897 4.13793103],0
r3,1,0.024709,5.044151,[78  2] ; [34  5],[75.29411765  4.70588235] ; [36.70588235  2.29411765],0
s7,1,0.029755,4.723404,[48 26] ; [16 21],[42.66666667 31.33333333] ; [21.33333333 15.66666667],0
n4,1,0.040838,4.182726,[65 15] ; [25 14],[60.50420168 19.49579832] ; [29.49579832  9.50420168],0
d5,1,0.050072,3.839052,[47 33] ; [15 23],[42.03389831 37.96610169] ; [19.96610169 18.03389831],0
p11,1,0.056563,3.63539,[69 11] ; [28 11],[65.21008403 14.78991597] ; [31.78991597  7.21008403],0
p2,1,0.063315,3.448338,[66 14] ; [37  2],[69.24369748 10.75630252] ; [33.75630252  5.24369748],0
p4,1,0.130339,2.288462,[60 20] ; [24 15],[56.47058824 23.52941176] ; [27.52941176 11.47058824],0
v1,1,0.133746,2.248474,[44 35] ; [16 23],[40.16949153 38.83050847] ; [19.83050847 19.16949153],0
b3,1,0.137761,2.202797,[19 25] ; [16 10],[22. 22.] ; [13. 13.],0
