Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.862854,[ 19 100] ; [15  9],[28.29370629 90.70629371] ; [ 5.70629371 18.29370629],1
a5,1,0.000636,11.667986,[86 40] ; [ 8 17],[78.43708609 47.56291391] ; [15.56291391  9.43708609],1
s2,1,0.00116,10.552326,[46 79] ; [18  7],[53.33333333 71.66666667] ; [10.66666667 14.33333333],0
s5,1,0.00236,9.246392,[ 20 100] ; [10 12],[25.35211268 94.64788732] ; [ 4.64788732 17.35211268],0
s7,1,0.003302,8.632425,[34 83] ; [14  9],[40.11428571 76.88571429] ; [ 7.88571429 15.11428571],0
s3,1,0.011615,6.368644,[60 64] ; [19  6],[65.74496644 58.25503356] ; [13.25503356 11.74496644],0
s6,1,0.024309,5.072464,[63 63] ; [18  6],[68.04 57.96] ; [12.96 11.04],0
s8,1,0.02804,4.825631,[37 89] ; [13 12],[41.7218543 84.2781457] ; [ 8.2781457 16.7218543],0
r1,1,0.064738,3.411654,[97 28] ; [15 10],[93.33333333 31.66666667] ; [18.66666667  6.33333333],0
p3,1,0.09217,2.836062,[42 81] ; [13 12],[45.70945946 77.29054054] ; [ 9.29054054 15.70945946],0
r2,1,0.09771,2.742537,[114  11] ; [20  5],[111.66666667  13.33333333] ; [22.33333333  2.66666667],0
n2,1,0.179444,1.80222,[29 13] ; [9 1],[30.69230769 11.30769231] ; [7.30769231 2.69230769],0
p2,1,0.179799,1.799289,[88 36] ; [21  4],[90.7114094 33.2885906] ; [18.2885906  6.7114094],0
a2,1,0.237287,1.396638,[ 22 104] ; [ 2 23],[ 20.02649007 105.97350993] ; [ 3.97350993 21.02649007],0
p11,1,0.247044,1.339941,[81 45] ; [13 12],[78.43708609 47.56291391] ; [15.56291391  9.43708609],0
p7,1,0.247745,1.335975,[62 57] ; [15  8],[64.52816901 54.47183099] ; [12.47183099 10.52816901],0
v2,1,0.264482,1.245144,[58 58] ; [ 9 15],[55.51428571 60.48571429] ; [11.48571429 12.51428571],0
r4,1,0.264583,1.244619,[103  23] ; [18  7],[100.96688742  25.03311258] ; [20.03311258  4.96688742],0
a3,1,0.307371,1.041941,[84 42] ; [14 11],[81.77483444 44.22516556] ; [16.22516556  8.77483444],0
v3,1,0.32209,0.980441,[34 80] ; [ 5 20],[31.98561151 82.01438849] ; [ 7.01438849 17.98561151],0
v1,1,0.326177,0.964016,[57 65] ; [ 9 16],[54.7755102 67.2244898] ; [11.2244898 13.7755102],0
a8,1,0.377319,0.779417,[ 12 106] ; [ 1 22],[ 10.87943262 107.12056738] ; [ 2.12056738 20.87943262],0
a7,1,0.377435,0.77904,[87 39] ; [15 10],[85.11258278 40.88741722] ; [16.88741722  8.11258278],0
d4,1,0.383125,0.760649,[95 30] ; [21  4],[96.66666667 28.33333333] ; [19.33333333  5.66666667],0
d1,1,0.48528,0.486974,[60 66] ; [10 15],[58.41059603 67.58940397] ; [11.58940397 13.41059603],0
u1,1,0.508192,0.437788,[ 10 116] ; [ 3 22],[ 10.84768212 115.15231788] ; [ 2.15231788 22.84768212],0
b5,1,0.52934,0.395658,[79 47] ; [14 11],[77.60264901 48.39735099] ; [15.39735099  9.60264901],0
n4,1,0.534865,0.38514,[64 62] ; [11 14],[62.58278146 63.41721854] ; [12.41721854 12.58278146],0
d5,1,0.545623,0.365217,[97 28] ; [18  7],[95.83333333 29.16666667] ; [19.16666667  5.83333333],0
b2,1,0.601832,0.272242,[18 50] ; [ 3 12],[17.20481928 50.79518072] ; [ 3.79518072 11.20481928],0
b3,1,0.601832,0.272242,[18 50] ; [ 3 12],[17.20481928 50.79518072] ; [ 3.79518072 11.20481928],0
b4,1,0.63582,0.224251,[72 54] ; [13 12],[70.92715232 55.07284768] ; [14.07284768 10.92715232],0
u2,1,0.664317,0.188322,[31 10] ; [9 2],[31.53846154  9.46153846] ; [8.46153846 2.53846154],0
u3,1,0.664317,0.188322,[31 10] ; [9 2],[31.53846154  9.46153846] ; [8.46153846 2.53846154],0
a4,1,0.722259,0.126339,[45 81] ; [ 8 17],[44.22516556 81.77483444] ; [ 8.77483444 16.22516556],0
d3,1,0.738842,0.111147,[80 44] ; [17  8],[80.72483221 43.27516779] ; [16.27516779  8.72483221],0
n5,1,0.743692,0.106908,[54 70] ; [10 15],[53.26174497 70.73825503] ; [10.73825503 14.26174497],0
r3,1,0.766499,0.088183,[113  13] ; [22  2],[113.4  12.6] ; [21.6  2.4],0
n1,1,0.768278,0.086806,[14 26] ; [4 6],[14.4 25.6] ; [3.6 6.4],0
p1,1,0.769698,0.085714,[  8 117] ; [ 2 23],[  8.33333333 116.66666667] ; [ 1.66666667 23.33333333],0
p8,1,0.808577,0.058691,[48 75] ; [10 14],[48.53061224 74.46938776] ; [ 9.46938776 14.53061224],0
d2,1,0.821446,0.050934,[48 77] ; [ 9 16],[47.5 77.5] ; [ 9.5 15.5],0
p5,1,0.85045,0.035549,[  6 117] ; [ 1 24],[  5.81756757 117.18243243] ; [ 1.18243243 23.81756757],0
p10,1,0.868924,0.027233,[78 45] ; [15  8],[78.34931507 44.65068493] ; [14.65068493  8.34931507],0
n3,1,0.874862,0.024802,[29 11] ; [7 3],[28.8 11.2] ; [7.2 2.8],0
p9,1,0.954282,0.003287,[87 37] ; [16  7],[86.88435374 37.11564626] ; [16.11564626  6.88435374],0
b1,1,0.969911,0.001423,[65 61] ; [13 12],[65.08609272 60.91390728] ; [12.91390728 12.08609272],0
p4,1,0.992851,8e-05,[54 69] ; [11 14],[54.02027027 68.97972973] ; [10.97972973 14.02027027],0
a6,1,1.0,0.0,[85 40] ; [17  8],[85. 40.] ; [17.  8.],0
