Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.6e-05,18.647851,[83 22] ; [13 20],[73.04347826 31.95652174] ; [22.95652174 10.04347826],1
d3,1,0.000207,13.765619,[83 22] ; [15 18],[74.56521739 30.43478261] ; [23.43478261  9.56521739],1
p2,1,0.000303,13.050426,[86 18] ; [17 16],[78.18978102 25.81021898] ; [24.81021898  8.18978102],1
r1,1,0.001426,10.172086,[83 21] ; [17 16],[75.91240876 28.08759124] ; [24.08759124  8.91240876],0
a1,1,0.012062,6.301692,[  2 103] ; [ 4 29],[  4.56521739 100.43478261] ; [ 1.43478261 31.56521739],0
v2,1,0.031565,4.62196,[57 39] ; [12 20],[51.75 44.25] ; [17.25 14.75],0
v4,1,0.046561,3.961195,[99  5] ; [28  5],[96.40875912  7.59124088] ; [30.59124088  2.40875912],0
n1,1,0.047155,3.939865,[ 8 29] ; [7 7],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
p1,1,0.087262,2.924176,[ 6 97] ; [ 5 28],[ 8.33088235 94.66911765] ; [ 2.66911765 30.33088235],0
b5,1,0.094681,2.792936,[68 37] ; [16 17],[63.91304348 41.08695652] ; [20.08695652 12.91304348],0
s3,1,0.104633,2.63347,[72 31] ; [18 15],[68.16176471 34.83823529] ; [21.83823529 11.16176471],0
s5,1,0.110473,2.54744,[41 61] ; [18 14],[44.91044776 57.08955224] ; [14.08955224 17.91044776],0
d1,1,0.112168,2.523407,[58 47] ; [13 20],[54.02173913 50.97826087] ; [16.97826087 16.02173913],0
p6,1,0.112617,2.517101,[24 79] ; [12 20],[27.46666667 75.53333333] ; [ 8.53333333 23.46666667],0
d4,1,0.117414,2.451486,[89 16] ; [24  9],[85.97826087 19.02173913] ; [27.02173913  5.97826087],0
v3,1,0.121889,2.392875,[34 66] ; [ 6 25],[30.53435115 69.46564885] ; [ 9.46564885 21.53435115],0
u3,1,0.139071,2.188207,[27 11] ; [8 8],[24.62962963 13.37037037] ; [10.37037037  5.62962963],0
