Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,62.735981,[105   4] ; [16 25],[87.92666667 21.07333333] ; [33.07333333  7.92666667],1
v4,1,0.0,52.004789,[106   2] ; [21 20],[92.05369128 15.94630872] ; [34.94630872  6.05369128],1
r1,1,0.0,39.43647,[79 29] ; [ 7 35],[61.92 46.08] ; [24.08 17.92],1
r2,1,0.0,35.773104,[103   6] ; [22 19],[90.83333333 18.16666667] ; [34.16666667  6.83333333],1
p3,1,2.9e-05,17.455557,[52 56] ; [ 5 38],[40.76821192 67.23178808] ; [16.23178808 26.76821192],1
n6,1,5.3e-05,16.323277,[88 21] ; [20 22],[77.9602649 31.0397351] ; [30.0397351 11.9602649],1
s3,1,0.000221,13.640098,[56 51] ; [ 8 34],[45.95973154 61.04026846] ; [18.04026846 23.95973154],1
p11,1,0.000261,13.328555,[82 27] ; [19 24],[72.42763158 36.57236842] ; [28.57236842 14.42763158],1
s6,1,0.000442,12.346416,[57 52] ; [ 9 34],[47.32894737 61.67105263] ; [18.67105263 24.32894737],1
a7,1,0.000725,11.423305,[69 39] ; [14 28],[59.76 48.24] ; [23.24 18.76],1
a1,1,0.002255,9.329362,[  1 108] ; [ 5 38],[  4.30263158 104.69736842] ; [ 1.69736842 41.30263158],0
b1,1,0.003982,8.291794,[38 71] ; [26 17],[45.89473684 63.10526316] ; [18.10526316 24.89473684],0
d5,1,0.007607,7.123728,[56 52] ; [12 31],[48.63576159 59.36423841] ; [19.36423841 23.63576159],0
n3,1,0.007661,7.111111,[22  2] ; [14 10],[18.  6.] ; [18.  6.],0
p9,1,0.007672,7.108485,[80 28] ; [21 20],[73.20805369 34.79194631] ; [27.79194631 13.20805369],0
n2,1,0.008755,6.872172,[22  4] ; [12 12],[17.68  8.32] ; [16.32  7.68],0
p10,1,0.010238,6.592932,[75 32] ; [20 22],[68.22147651 38.77852349] ; [26.77852349 15.22147651],0
a6,1,0.010596,6.531815,[68 41] ; [17 26],[60.95394737 48.04605263] ; [24.04605263 18.95394737],0
b2,1,0.010738,6.508169,[13 58] ; [11 14],[17.75 53.25] ; [ 6.25 18.75],0
b3,1,0.010738,6.508169,[13 58] ; [11 14],[17.75 53.25] ; [ 6.25 18.75],0
v3,1,0.013044,6.163094,[34 73] ; [ 5 37],[28.00671141 78.99328859] ; [10.99328859 31.00671141],0
p2,1,0.013389,6.116995,[83 26] ; [24 19],[76.73026316 32.26973684] ; [30.26973684 12.73026316],0
s7,1,0.028452,4.800461,[34 70] ; [ 6 35],[28.68965517 75.31034483] ; [11.31034483 29.68965517],0
s8,1,0.02971,4.725996,[34 75] ; [ 6 37],[28.68421053 80.31578947] ; [11.31578947 31.68421053],0
v1,1,0.031796,4.609447,[52 53] ; [13 30],[46.11486486 58.88513514] ; [18.88513514 24.11486486],0
b5,1,0.03485,4.45252,[71 38] ; [20 23],[65.25657895 43.74342105] ; [25.74342105 17.25657895],0
a5,1,0.0476,3.924045,[60 49] ; [16 27],[54.5 54.5] ; [21.5 21.5],0
s2,1,0.058006,3.5935,[34 74] ; [ 7 36],[29.32450331 78.67549669] ; [11.67549669 31.32450331],0
v2,1,0.059149,3.561078,[42 60] ; [10 31],[37.09090909 64.90909091] ; [14.90909091 26.09090909],0
p4,1,0.072352,3.228828,[53 56] ; [14 29],[48.04605263 60.95394737] ; [18.95394737 24.04605263],0
a3,1,0.129978,2.292769,[56 52] ; [16 26],[51.84 56.16] ; [20.16 21.84],0
u3,1,0.131829,2.270837,[25 28] ; [ 8 19],[21.8625 31.1375] ; [11.1375 15.8625],0
u1,1,0.136069,2.221863,[  1 108] ; [ 2 41],[  2.15131579 106.84868421] ; [ 0.84868421 42.15131579],0
s1,1,0.158658,1.986968,[  4 103] ; [ 4 38],[  5.74496644 101.25503356] ; [ 2.25503356 39.74496644],0
p7,1,0.177046,1.822251,[59 48] ; [18 24],[55.29530201 51.70469799] ; [21.70469799 20.29530201],0
n4,1,0.279776,1.168178,[75 34] ; [25 17],[72.18543046 36.81456954] ; [27.81456954 14.18543046],0
a2,1,0.280019,1.167,[11 98] ; [ 2 41],[ 9.32236842 99.67763158] ; [ 3.67763158 39.32236842],0
n1,1,0.320472,0.98702,[ 8 17] ; [11 13],[ 9.69387755 15.30612245] ; [ 9.30612245 14.69387755],0
p8,1,0.438662,0.59978,[43 64] ; [14 28],[40.93288591 66.06711409] ; [16.06711409 25.93288591],0
a4,1,0.451286,0.56742,[26 81] ; [ 8 35],[24.25333333 82.74666667] ; [ 9.74666667 33.25333333],0
p12,1,0.518958,0.415964,[  5 104] ; [ 1 42],[  4.30263158 104.69736842] ; [ 1.69736842 41.30263158],0
p5,1,0.534015,0.386745,[  5 104] ; [ 1 41],[  4.33112583 104.66887417] ; [ 1.66887417 40.33112583],0
d3,1,0.545918,0.364682,[31 77] ; [10 32],[29.52 78.48] ; [11.48 30.52],0
u2,1,0.584834,0.298484,[23 30] ; [10 17],[21.8625 31.1375] ; [11.1375 15.8625],0
a8,1,0.593969,0.284189,[10 88] ; [ 3 38],[ 9.16546763 88.83453237] ; [ 3.83453237 37.16546763],0
b4,1,0.621628,0.243586,[53 56] ; [19 24],[51.63157895 57.36842105] ; [20.36842105 22.63157895],0
d1,1,0.675599,0.175123,[  4 105] ; [ 1 42],[  3.58552632 105.41447368] ; [ 1.41447368 41.58552632],0
n5,1,0.75823,0.094745,[77 31] ; [31 11],[77.76 30.24] ; [30.24 11.76],0
p6,1,0.821312,0.051012,[25 83] ; [ 9 33],[24.48 83.52] ; [ 9.52 32.48],0
p1,1,0.913192,0.011884,[12 97] ; [ 5 38],[12.19078947 96.80921053] ; [ 4.80921053 38.19078947],0
d2,1,0.966329,0.001782,[25 84] ; [10 33],[25.09868421 83.90131579] ; [ 9.90131579 33.09868421],0
s4,1,0.991739,0.000107,[15 93] ; [ 6 37],[15.01986755 92.98013245] ; [ 5.98013245 37.01986755],0
