Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,26.461671,[15 50] ; [78 47],[31.81578947 33.18421053] ; [61.18421053 63.81578947],1
p6,1,7.9e-05,15.573568,[12 54] ; [59 66],[24.53403141 41.46596859] ; [46.46596859 78.53403141],1
p2,1,0.000269,13.274191,[46 20] ; [113  12],[54.94240838 11.05759162] ; [104.05759162  20.94240838],1
v4,1,0.006403,7.433328,[58  8] ; [121   3],[62.17894737  3.82105263] ; [116.82105263   7.17894737],0
b4,1,0.010401,6.564856,[46 20] ; [63 62],[37.66492147 28.33507853] ; [71.33507853 53.66492147],0
p11,1,0.013132,6.151218,[40 26] ; [97 28],[47.34031414 18.65968586] ; [89.65968586 35.34031414],0
p4,1,0.029149,4.758789,[32 34] ; [81 44],[39.04712042 26.95287958] ; [73.95287958 51.04712042],0
d2,1,0.054622,3.693575,[40 26] ; [57 67],[33.69473684 32.30526316] ; [63.30526316 60.69473684],0
p5,1,0.067338,3.346739,[ 1 65] ; [ 10 115],[ 3.80104712 62.19895288] ; [  7.19895288 117.80104712],0
p3,1,0.07621,3.143932,[25 40] ; [65 60],[30.78947368 34.21052632] ; [59.21052632 65.78947368],0
n1,1,0.083862,2.988412,[11 14] ; [ 5 19],[ 8.16326531 16.83673469] ; [ 7.83673469 16.16326531],0
r3,1,0.094508,2.795866,[61  5] ; [120   3],[63.20634921  2.79365079] ; [117.79365079   5.20634921],0
a6,1,0.097778,2.741424,[39 27] ; [88 36],[44.11578947 21.88421053] ; [82.88421053 41.11578947],0
p10,1,0.104665,2.632987,[49 17] ; [105  20],[53.21465969 12.78534031] ; [100.78534031  24.21465969],0
a8,1,0.143913,2.135617,[ 4 55] ; [ 17 102],[ 6.96067416 52.03932584] ; [ 14.03932584 104.96067416],0
d1,1,0.152084,2.051227,[43 23] ; [68 57],[38.35602094 27.64397906] ; [72.64397906 52.35602094],0
s4,1,0.190725,1.712005,[23 42] ; [32 90],[19.11764706 45.88235294] ; [35.88235294 86.11764706],0
b5,1,0.221092,1.497271,[43 23] ; [70 55],[39.04712042 26.95287958] ; [73.95287958 51.04712042],0
s1,1,0.24516,1.350678,[ 6 60] ; [  6 119],[ 4.14659686 61.85340314] ; [  7.85340314 117.14659686],0
u3,1,0.275491,1.189199,[14  6] ; [21 17],[12.06896552  7.93103448] ; [22.93103448 15.06896552],0
a1,1,0.320102,0.988531,[ 2 64] ; [  8 117],[ 3.45549738 62.54450262] ; [  6.54450262 118.45549738],0
u1,1,0.340824,0.90733,[16 50] ; [ 23 102],[13.47643979 52.52356021] ; [25.52356021 99.47643979],0
p12,1,0.367337,0.812654,[ 3 63] ; [ 10 115],[ 4.4921466 61.5078534] ; [  8.5078534 116.4921466],0
a5,1,0.457401,0.552246,[43 23] ; [88 37],[45.26701571 20.73298429] ; [85.73298429 39.26701571],0
v3,1,0.464439,0.535175,[16 48] ; [37 86],[18.13903743 45.86096257] ; [34.86096257 88.13903743],0
