Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.021887,5.254747,[3 2] ; [ 5 28],[1.05263158 3.94736842] ; [ 6.94736842 26.05263158],0
p6,1,0.056733,3.630413,[2 3] ; [ 3 30],[0.65789474 4.34210526] ; [ 4.34210526 28.65789474],0
d3,1,0.057753,3.600767,[4 1] ; [12 22],[2.05128205 2.94871795] ; [13.94871795 20.05128205],0
r3,1,0.057753,3.600767,[4 1] ; [12 22],[2.05128205 2.94871795] ; [13.94871795 20.05128205],0
s6,1,0.059505,3.551136,[3 2] ; [ 7 27],[1.28205128 3.71794872] ; [ 8.71794872 25.28205128],0
p4,1,0.090628,2.863178,[3 2] ; [ 8 26],[1.41025641 3.58974359] ; [ 9.58974359 24.41025641],0
d1,1,0.090628,2.863178,[3 2] ; [ 8 26],[1.41025641 3.58974359] ; [ 9.58974359 24.41025641],0
a7,1,0.133924,2.246424,[4 1] ; [15 19],[2.43589744 2.56410256] ; [16.56410256 17.43589744],0
a5,1,0.168836,1.893251,[4 1] ; [16 18],[2.56410256 2.43589744] ; [17.43589744 16.56410256],0
s3,1,0.192104,1.701408,[3 2] ; [10 23],[1.71052632 3.28947368] ; [11.28947368 21.71052632],0
a3,1,0.232576,1.42504,[4 1] ; [17 16],[2.76315789 2.23684211] ; [18.23684211 14.76315789],0
b1,1,0.305982,1.047938,[4 1] ; [19 15],[2.94871795 2.05128205] ; [20.05128205 13.94871795],0
d4,1,0.305982,1.047938,[4 1] ; [19 15],[2.94871795 2.05128205] ; [20.05128205 13.94871795],0
r4,1,0.336089,0.925294,[2 3] ; [ 7 27],[1.15384615 3.84615385] ; [ 7.84615385 26.15384615],0
r1,1,0.355582,0.853437,[3 2] ; [13 21],[2.05128205 2.94871795] ; [13.94871795 20.05128205],0
d2,1,0.384478,0.756336,[3 2] ; [13 20],[2.10526316 2.89473684] ; [13.89473684 19.10526316],0
b3,1,0.396465,0.719022,[1 3] ; [11 12],[1.77777778 2.22222222] ; [10.22222222 12.77777778],0
b2,1,0.396465,0.719022,[1 3] ; [11 12],[1.77777778 2.22222222] ; [10.22222222 12.77777778],0
n2,1,0.413247,0.669439,[2 1] ; [ 7 10],[1.35 1.65] ; [7.65 9.35],0
n1,1,0.413247,0.669439,[2 1] ; [ 7 10],[1.35 1.65] ; [7.65 9.35],0
a6,1,0.428045,0.628122,[3 2] ; [14 20],[2.17948718 2.82051282] ; [14.82051282 19.17948718],0
p3,1,0.430972,0.620203,[2 3] ; [ 8 26],[1.28205128 3.71794872] ; [ 8.71794872 25.28205128],0
p2,1,0.430972,0.620203,[2 3] ; [ 8 26],[1.28205128 3.71794872] ; [ 8.71794872 25.28205128],0
a8,1,0.441819,0.591555,[1 4] ; [ 3 31],[0.51282051 4.48717949] ; [ 3.48717949 30.51282051],0
s7,1,0.515252,0.423387,[1 3] ; [ 4 27],[0.57142857 3.42857143] ; [ 4.42857143 26.57142857],0
p9,1,0.558697,0.341965,[2 3] ; [ 9 24],[1.44736842 3.55263158] ; [ 9.55263158 23.44736842],0
a4,1,0.558697,0.341965,[2 3] ; [ 9 24],[1.44736842 3.55263158] ; [ 9.55263158 23.44736842],0
n4,1,0.63196,0.229412,[3 2] ; [24 10],[3.46153846 1.53846154] ; [23.53846154 10.46153846],0
n6,1,0.635934,0.2241,[1 4] ; [10 23],[1.44736842 3.55263158] ; [ 9.55263158 23.44736842],0
v1,1,0.662351,0.19068,[1 4] ; [10 24],[1.41025641 3.58974359] ; [ 9.58974359 24.41025641],0
p7,1,0.757027,0.09572,[1 4] ; [ 9 25],[1.28205128 3.71794872] ; [ 8.71794872 25.28205128],0
s4,1,0.759338,0.09385,[1 4] ; [ 5 29],[0.76923077 4.23076923] ; [ 5.23076923 28.76923077],0
p1,1,0.759338,0.09385,[1 4] ; [ 5 29],[0.76923077 4.23076923] ; [ 5.23076923 28.76923077],0
b4,1,0.767515,0.087395,[3 2] ; [18 16],[2.69230769 2.30769231] ; [18.30769231 15.69230769],0
p10,1,0.83528,0.043237,[1 4] ; [ 8 25],[1.18421053 3.81578947] ; [ 7.81578947 25.18421053],0
s2,1,0.861162,0.030588,[1 4] ; [ 8 26],[1.15384615 3.84615385] ; [ 7.84615385 26.15384615],0
b5,1,0.862362,0.030057,[2 3] ; [15 19],[2.17948718 2.82051282] ; [14.82051282 19.17948718],0
a1,1,0.898141,0.016387,[1 4] ; [ 6 28],[0.8974359 4.1025641] ; [ 6.1025641 27.8974359],0
n3,1,0.94766,0.004309,[1 2] ; [ 6 11],[1.05 1.95] ; [ 5.95 11.05],0
n5,1,0.960173,0.002494,[3 2] ; [20 14],[2.94871795 2.05128205] ; [20.05128205 13.94871795],0
