Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.033333,[21 28] ; [74 10],[35. 14.] ; [60. 24.],1
n6,1,0.008137,7.003131,[30 20] ; [68 16],[36.56716418 13.43283582] ; [61.43283582 22.56716418],0
a6,1,0.035615,4.415465,[21 29] ; [51 33],[26.86567164 23.13432836] ; [45.13432836 38.86567164],0
r1,1,0.041097,4.172009,[21 29] ; [50 33],[26.69172932 23.30827068] ; [44.30827068 38.69172932],0
a4,1,0.04471,4.029542,[ 7 43] ; [24 58],[11.74242424 38.25757576] ; [19.25757576 62.74242424],0
s5,1,0.049035,3.874144,[ 4 46] ; [17 64],[ 8.01526718 41.98473282] ; [12.98473282 68.01526718],0
s6,1,0.050847,3.813298,[19 31] ; [45 36],[24.42748092 25.57251908] ; [39.57251908 41.42748092],0
b1,1,0.072863,3.217327,[27 23] ; [32 52],[22.01492537 27.98507463] ; [36.98507463 47.01492537],0
v1,1,0.106801,2.600937,[14 36] ; [34 47],[18.32061069 31.67938931] ; [29.67938931 51.32061069],0
b4,1,0.165232,1.92568,[20 30] ; [44 40],[23.88059701 26.11940299] ; [40.11940299 43.88059701],0
n1,1,0.165802,1.920497,[ 7 17] ; [13 14],[ 9.41176471 14.58823529] ; [10.58823529 16.41176471],0
p1,1,0.194067,1.686471,[ 3 47] ; [11 73],[ 5.2238806 44.7761194] ; [ 8.7761194 75.2238806],0
p11,1,0.199992,1.642435,[31 19] ; [61 23],[34.32835821 15.67164179] ; [57.67164179 26.32835821],0
s4,1,0.208295,1.58324,[ 8 42] ; [21 62],[10.90225564 39.09774436] ; [18.09774436 64.90225564],0
d3,1,0.209108,1.577591,[ 8 40] ; [22 62],[10.90909091 37.09090909] ; [19.09090909 64.90909091],0
p3,1,0.21517,1.536295,[14 36] ; [32 51],[17.29323308 32.70676692] ; [28.70676692 54.29323308],0
p2,1,0.231867,1.42937,[34 16] ; [65 19],[36.94029851 13.05970149] ; [62.05970149 21.94029851],0
s7,1,0.233219,1.421122,[13 36] ; [29 50],[16.078125 32.921875] ; [25.921875 53.078125],0
a2,1,0.239273,1.384873,[ 2 48] ; [ 8 76],[ 3.73134328 46.26865672] ; [ 6.26865672 77.73134328],0
n3,1,0.243812,1.35842,[21  4] ; [19  8],[19.23076923  5.76923077] ; [20.76923077  6.23076923],0
p9,1,0.251709,1.313793,[31 18] ; [59 22],[33.92307692 15.07692308] ; [56.07692308 24.92307692],0
a5,1,0.261509,1.260753,[20 30] ; [42 42],[23.13432836 26.86567164] ; [38.86567164 45.13432836],0
p10,1,0.290569,1.116984,[29 20] ; [56 26],[31.79389313 17.20610687] ; [53.20610687 28.79389313],0
s3,1,0.30245,1.063359,[18 32] ; [37 45],[20.83333333 29.16666667] ; [34.16666667 47.83333333],0
p5,1,0.346367,0.886723,[ 2 47] ; [ 7 77],[ 3.31578947 45.68421053] ; [ 5.68421053 78.31578947],0
r3,1,0.346432,0.886483,[43  7] ; [66 17],[40.97744361  9.02255639] ; [68.02255639 14.97744361],0
b5,1,0.395243,0.72275,[26 24] ; [50 34],[28.35820896 21.64179104] ; [47.64179104 36.35820896],0
a1,1,0.414591,0.665598,[ 1 49] ; [ 4 80],[ 1.86567164 48.13432836] ; [ 3.13432836 80.86567164],0
v4,1,0.43037,0.621826,[44  6] ; [68 14],[42.42424242  7.57575758] ; [69.57575758 12.42424242],0
b2,1,0.44088,0.593992,[ 4 19] ; [14 41],[ 5.30769231 17.69230769] ; [12.69230769 42.30769231],0
b3,1,0.44088,0.593992,[ 4 19] ; [14 41],[ 5.30769231 17.69230769] ; [12.69230769 42.30769231],0
u2,1,0.453213,0.562604,[13 16] ; [17 30],[11.44736842 17.55263158] ; [18.55263158 28.44736842],0
u3,1,0.502389,0.449886,[14 15] ; [19 28],[12.59210526 16.40789474] ; [20.40789474 26.59210526],0
d5,1,0.529721,0.394927,[20 29] ; [39 45],[21.73684211 27.26315789] ; [37.26315789 46.73684211],0
p8,1,0.554468,0.349374,[18 31] ; [34 47],[19.6 29.4] ; [32.4 48.6],0
r2,1,0.649098,0.207039,[40 10] ; [69 14],[40.97744361  9.02255639] ; [68.02255639 14.97744361],0
a7,1,0.676504,0.174088,[25 24] ; [46 38],[26.15789474 22.84210526] ; [44.84210526 39.15789474],0
p4,1,0.714975,0.133358,[21 29] ; [38 46],[22.01492537 27.98507463] ; [36.98507463 47.01492537],0
p6,1,0.718414,0.130017,[12 38] ; [22 60],[12.87878788 37.12121212] ; [21.12121212 60.87878788],0
a3,1,0.725911,0.1229,[21 29] ; [37 45],[21.96969697 28.03030303] ; [36.03030303 45.96969697],0
s2,1,0.749404,0.102033,[17 33] ; [26 57],[16.16541353 33.83458647] ; [26.83458647 56.16541353],0
a8,1,0.757372,0.09544,[ 5 44] ; [ 9 66],[ 5.53225806 43.46774194] ; [ 8.46774194 66.53225806],0
r4,1,0.785693,0.073934,[34 16] ; [59 25],[34.70149254 15.29850746] ; [58.29850746 25.70149254],0
p7,1,0.841349,0.040068,[28 22] ; [45 38],[27.44360902 22.55639098] ; [45.55639098 37.44360902],0
n2,1,0.8532,0.034239,[17  8] ; [19  8],[17.30769231  7.69230769] ; [18.69230769  8.30769231],0
v2,1,0.964436,0.001988,[14 35] ; [22 56],[13.88976378 35.11023622] ; [22.11023622 55.88976378],0
d2,1,0.980633,0.000589,[13 37] ; [22 62],[13.05970149 36.94029851] ; [21.94029851 62.05970149],0
s1,1,0.98182,0.000519,[ 3 47] ; [ 5 77],[ 3.03030303 46.96969697] ; [ 4.96969697 77.03030303],0
s8,1,0.988291,0.000215,[15 35] ; [25 58],[15.03759398 34.96240602] ; [24.96240602 58.03759398],0
