Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.030856,4.660934,[ 2 14] ; [8 9],[ 4.84848485 11.15151515] ; [ 5.15151515 11.84848485],0
a8,1,0.032509,4.571429,[ 6 10] ; [ 1 15],[ 3.5 12.5] ; [ 3.5 12.5],0
d4,1,0.039218,4.251379,[9 7] ; [15  2],[11.63636364  4.36363636] ; [12.36363636  4.63636364],0
b4,1,0.064517,3.417279,[14  2] ; [10  7],[11.63636364  4.36363636] ; [12.36363636  4.63636364],0
r4,1,0.11415,2.495798,[8 8] ; [ 4 13],[ 5.81818182 10.18181818] ; [ 6.18181818 10.81818182],0
p5,1,0.166485,1.914312,[ 1 15] ; [ 4 13],[ 2.42424242 13.57575758] ; [ 2.57575758 14.42424242],0
r3,1,0.189854,1.718751,[14  1] ; [13  4],[12.65625  2.34375] ; [14.34375  2.65625],0
p3,1,0.207656,1.587696,[ 5 11] ; [9 8],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
d2,1,0.220597,1.500487,[ 6 10] ; [10  7],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
d3,1,0.220597,1.500487,[10  6] ; [ 7 10],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
p9,1,0.316079,1.005103,[15  1] ; [14  3],[14.06060606  1.93939394] ; [14.93939394  2.06060606],0
p1,1,0.316079,1.005103,[ 1 15] ; [ 3 14],[ 1.93939394 14.06060606] ; [ 2.06060606 14.93939394],0
a3,1,0.324534,0.970588,[12  4] ; [10  7],[10.66666667  5.33333333] ; [11.33333333  5.66666667],0
d5,1,0.324534,0.970588,[12  4] ; [10  7],[10.66666667  5.33333333] ; [11.33333333  5.66666667],0
n5,1,0.36214,0.83046,[11  5] ; [14  3],[12.12121212  3.87878788] ; [12.87878788  4.12121212],0
p4,1,0.373301,0.792647,[ 6 10] ; [9 8],[7.27272727 8.72727273] ; [7.72727273 9.27272727],0
p11,1,0.382797,0.761701,[10  6] ; [13  4],[11.15151515  4.84848485] ; [11.84848485  5.15151515],0
p7,1,0.38654,0.749797,[7 9] ; [10  7],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
b1,1,0.392959,0.729766,[8 8] ; [11  6],[9.21212121 6.78787879] ; [9.78787879 7.21212121],0
a6,1,0.392959,0.729766,[8 8] ; [ 6 11],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
u2,1,0.477267,0.505102,[2 2] ; [2 5],[1.45454545 2.54545455] ; [2.54545455 4.45454545],0
s4,1,0.575942,0.312841,[ 3 13] ; [ 2 15],[ 2.42424242 13.57575758] ; [ 2.57575758 14.42424242],0
r1,1,0.578709,0.308326,[ 6 10] ; [8 9],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
a2,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
s1,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
s6,1,0.593634,0.284705,[8 7] ; [7 9],[7.25806452 7.74193548] ; [7.74193548 8.25806452],0
s3,1,0.597504,0.278776,[9 7] ; [8 9],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
v3,1,0.605591,0.266645,[ 4 12] ; [ 3 14],[ 3.39393939 12.60606061] ; [ 3.60606061 13.39393939],0
n4,1,0.618698,0.247702,[11  5] ; [13  4],[11.63636364  4.36363636] ; [12.36363636  4.63636364],0
a5,1,0.622301,0.242647,[10  6] ; [12  5],[10.66666667  5.33333333] ; [11.33333333  5.66666667],0
s2,1,0.622301,0.242647,[ 6 10] ; [ 5 12],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
n6,1,0.668929,0.182857,[13  3] ; [12  4],[12.5  3.5] ; [12.5  3.5],0
r2,1,0.687922,0.161345,[9 6] ; [9 8],[8.4375 6.5625] ; [9.5625 7.4375],0
p2,1,0.694188,0.154589,[11  5] ; [12  4],[11.5  4.5] ; [11.5  4.5],0
b2,1,0.742174,0.108225,[4 6] ; [7 8],[4.4 5.6] ; [6.6 8.4],0
b3,1,0.742174,0.108225,[4 6] ; [7 8],[4.4 5.6] ; [6.6 8.4],0
s7,1,0.783779,0.075294,[6 9] ; [ 6 11],[5.625 9.375] ; [ 6.375 10.625],0
s8,1,0.805453,0.060662,[ 5 11] ; [ 6 11],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
p8,1,0.811235,0.057041,[ 5 10] ; [ 5 12],[ 4.6875 10.3125] ; [ 5.3125 11.6875],0
v1,1,0.828975,0.046663,[ 6 10] ; [ 7 10],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
n1,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
n2,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
v2,1,0.86583,0.028547,[8 8] ; [8 9],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
b5,1,0.86583,0.028547,[8 8] ; [9 8],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
d1,1,0.881162,0.022349,[7 9] ; [ 7 10],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
s5,1,0.915598,0.011232,[ 4 11] ; [ 4 12],[ 3.87096774 11.12903226] ; [ 4.12903226 11.87096774],0
p6,1,1.0,0.0,[ 5 11] ; [ 5 11],[ 5. 11.] ; [ 5. 11.],0
p12,1,1.0,0.0,[ 1 15] ; [ 1 15],[ 1. 15.] ; [ 1. 15.],0
