Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,34.074059,[75  8] ; [16 23],[61.90983607 21.09016393] ; [29.09016393  9.90983607],1
s3,1,0.000587,11.816493,[70 15] ; [20 18],[62.19512195 22.80487805] ; [27.80487805 10.19512195],1
s6,1,0.009918,6.649556,[79  7] ; [30 10],[74.3968254 11.6031746] ; [34.6031746  5.3968254],0
s2,1,0.010805,6.497157,[72 14] ; [26 15],[66.36220472 19.63779528] ; [31.63779528  9.36220472],0
v1,1,0.016405,5.758884,[68 19] ; [23 17],[62.33858268 24.66141732] ; [28.66141732 11.33858268],0
p9,1,0.023211,5.15268,[82  5] ; [30  7],[78.58064516  8.41935484] ; [33.41935484  3.58064516],0
a3,1,0.060739,3.517081,[73 13] ; [29 12],[69.07086614 16.92913386] ; [32.92913386  8.07086614],0
a5,1,0.094047,2.803702,[76 11] ; [31 10],[72.7265625 14.2734375] ; [34.2734375  6.7265625],0
p7,1,0.100185,2.702596,[70 15] ; [27 12],[66.49193548 18.50806452] ; [30.50806452  8.49193548],0
p10,1,0.102016,2.67374,[80  7] ; [32  7],[77.33333333  9.66666667] ; [34.66666667  4.33333333],0
d1,1,0.116409,2.464984,[63 24] ; [24 17],[59.1328125 27.8671875] ; [27.8671875 13.1328125],0
a7,1,0.124524,2.359479,[58 29] ; [32  8],[61.65354331 25.34645669] ; [28.34645669 11.65354331],0
u3,1,0.126858,2.330532,[11  3] ; [6 6],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
p6,1,0.127475,2.322985,[43 42] ; [14 25],[39.07258065 45.92741935] ; [17.92741935 21.07258065],0
d4,1,0.144762,2.126593,[77  9] ; [32  8],[74.3968254 11.6031746] ; [34.6031746  5.3968254],0
b4,1,0.149829,2.073987,[50 37] ; [29 12],[53.6953125 33.3046875] ; [25.3046875 15.6953125],0
n5,1,0.18513,1.755952,[75 11] ; [32  9],[72.45669291 13.54330709] ; [34.54330709  6.45669291],0
b1,1,0.196781,1.666102,[38 49] ; [13 28],[34.6640625 52.3359375] ; [16.3359375 24.6640625],0
p1,1,0.204476,1.610111,[13 73] ; [10 31],[15.57480315 70.42519685] ; [ 7.42519685 33.57480315],0
