Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.00012,14.795723,[93 44] ; [ 3 13],[85.96078431 51.03921569] ; [10.03921569  5.96078431],1
p9,1,0.005648,7.659399,[120  16] ; [10  6],[116.31578947  19.68421053] ; [13.68421053  2.31578947],0
p10,1,0.042607,4.110938,[111  22] ; [10  6],[108.00671141  24.99328859] ; [12.99328859  3.00671141],0
a7,1,0.043804,4.064119,[87 50] ; [ 6 10],[83.2745098 53.7254902] ; [9.7254902 6.2745098],0
s4,1,0.04548,4.000764,[ 23 114] ; [ 6 10],[ 25.96732026 111.03267974] ; [ 3.03267974 12.96732026],0
s1,1,0.063255,3.449906,[  4 132] ; [ 2 14],[  5.36842105 130.63157895] ; [ 0.63157895 15.36842105],0
d4,1,0.090325,2.86858,[104  33] ; [9 7],[101.18300654  35.81699346] ; [11.81699346  4.18300654],0
d5,1,0.105667,2.617853,[103  34] ; [9 7],[100.2875817  36.7124183] ; [11.7124183  4.2875817],0
v4,1,0.113224,2.508639,[120  15] ; [12  4],[118.01324503  16.98675497] ; [13.98675497  2.01324503],0
v3,1,0.113978,2.498186,[42 91] ; [ 2 14],[39.27516779 93.72483221] ; [ 4.72483221 11.27516779],0
p3,1,0.116037,2.470008,[62 74] ; [ 4 12],[59.05263158 76.94736842] ; [6.94736842 9.05263158],0
n6,1,0.116579,2.462691,[114  23] ; [10  5],[111.76315789  25.23684211] ; [12.23684211  2.76315789],0
s8,1,0.129772,2.295231,[52 85] ; [ 3 13],[49.24836601 87.75163399] ; [ 5.75163399 10.24836601],0
u2,1,0.171257,1.871905,[25 26] ; [6 2],[26.79661017 24.20338983] ; [4.20338983 3.79661017],0
n2,1,0.181799,1.782857,[36  9] ; [4 3],[34.61538462 10.38461538] ; [5.38461538 1.61538462],0
s5,1,0.18543,1.753561,[ 29 100] ; [ 6 10],[31.13793103 97.86206897] ; [ 3.86206897 12.13793103],0
s6,1,0.199852,1.643456,[81 53] ; [7 9],[78.61333333 55.38666667] ; [9.38666667 6.61333333],0
a6,1,0.216568,1.526969,[82 55] ; [7 9],[79.69281046 57.30718954] ; [9.30718954 6.69281046],0
n3,1,0.240842,1.375661,[35 10] ; [4 3],[33.75 11.25] ; [5.25 1.75],0
d2,1,0.248711,1.330532,[48 88] ; [8 8],[50.10526316 85.89473684] ; [ 5.89473684 10.10526316],0
s3,1,0.2515,1.31495,[67 70] ; [ 5 10],[64.89473684 72.10526316] ; [7.10526316 7.89473684],0
