Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.014832,5.936293,[38  3] ; [41 15],[33.39175258  7.60824742] ; [45.60824742 10.39175258],0
s8,1,0.023303,5.145808,[21 20] ; [16 40],[15.63917526 25.36082474] ; [21.36082474 34.63917526],0
r2,1,0.044114,4.052175,[40  1] ; [47  8],[37.15625  3.84375] ; [49.84375  5.15625],0
p3,1,0.046146,3.976244,[19 22] ; [15 41],[14.37113402 26.62886598] ; [19.62886598 36.37113402],0
b4,1,0.069148,3.303141,[18 23] ; [35 21],[22.40206186 18.59793814] ; [30.59793814 25.40206186],0
n5,1,0.086717,2.934293,[31 10] ; [33 23],[27.05154639 13.94845361] ; [36.94845361 19.05154639],0
p8,1,0.087276,2.92391,[16 24] ; [13 42],[12.21052632 27.78947368] ; [16.78947368 38.21052632],0
a5,1,0.12358,2.371353,[29 12] ; [31 25],[25.36082474 15.63917526] ; [34.63917526 21.36082474],0
b1,1,0.128815,2.306728,[17 24] ; [15 41],[13.5257732 27.4742268] ; [18.4742268 37.5257732],0
d5,1,0.134204,2.243187,[34  7] ; [39 17],[30.8556701 10.1443299] ; [42.1443299 13.8556701],0
a8,1,0.171748,1.867616,[ 3 34] ; [ 1 50],[ 1.68181818 35.31818182] ; [ 2.31818182 48.68181818],0
r3,1,0.201203,1.633619,[39  2] ; [49  7],[37.19587629  3.80412371] ; [50.80412371  5.19587629],0
p4,1,0.216027,1.530573,[19 22] ; [19 37],[16.06185567 24.93814433] ; [21.93814433 34.06185567],0
r1,1,0.233262,1.420857,[31 10] ; [36 20],[28.31958763 12.68041237] ; [38.68041237 17.31958763],0
p10,1,0.254291,1.299573,[32  8] ; [39 17],[29.58333333 10.41666667] ; [41.41666667 14.58333333],0
n6,1,0.262064,1.257823,[37  4] ; [46 10],[35.08247423  5.91752577] ; [47.91752577  8.08247423],0
n4,1,0.264093,1.247173,[28 13] ; [32 24],[25.36082474 15.63917526] ; [34.63917526 21.36082474],0
a4,1,0.279416,1.169928,[16 25] ; [16 40],[13.5257732 27.4742268] ; [18.4742268 37.5257732],0
v2,1,0.282807,1.153551,[20 20] ; [21 33],[17.44680851 22.55319149] ; [23.55319149 30.44680851],0
p7,1,0.302598,1.062708,[21 19] ; [23 32],[18.52631579 21.47368421] ; [25.47368421 29.52631579],0
a3,1,0.30704,1.043365,[29 12] ; [34 22],[26.62886598 14.37113402] ; [36.37113402 19.62886598],0
u2,1,0.349615,0.874854,[4 8] ; [11 11],[5.29411765 6.70588235] ; [ 9.70588235 12.29411765],0
a6,1,0.351187,0.869162,[21 20] ; [34 22],[23.24742268 17.75257732] ; [31.75257732 24.24742268],0
s2,1,0.358776,0.842172,[27 12] ; [33 22],[24.89361702 14.10638298] ; [35.10638298 19.89361702],0
a7,1,0.373448,0.792159,[25 16] ; [39 17],[27.05154639 13.94845361] ; [36.94845361 19.05154639],0
n2,1,0.39269,0.730595,[11  3] ; [13  7],[9.88235294 4.11764706] ; [14.11764706  5.88235294],0
p9,1,0.413909,0.667545,[32  8] ; [40 15],[30.31578947  9.68421053] ; [41.68421053 13.31578947],0
d4,1,0.434081,0.61188,[27 14] ; [41 15],[28.74226804 12.25773196] ; [39.25773196 16.74226804],0
v3,1,0.45223,0.565056,[13 27] ; [14 41],[11.36842105 28.63157895] ; [15.63157895 39.36842105],0
d1,1,0.467217,0.52855,[16 25] ; [26 30],[17.75257732 23.24742268] ; [24.24742268 31.75257732],0
s7,1,0.495985,0.463517,[20 18] ; [25 30],[18.38709677 19.61290323] ; [26.61290323 28.38709677],0
u1,1,0.562442,0.335494,[ 6 35] ; [ 6 50],[ 5.07216495 35.92783505] ; [ 6.92783505 49.07216495],0
s3,1,0.584906,0.29837,[29 11] ; [37 18],[27.78947368 12.21052632] ; [38.21052632 16.78947368],0
b5,1,0.654792,0.199912,[26 15] ; [33 23],[24.93814433 16.06185567] ; [34.06185567 21.93814433],0
u3,1,0.664001,0.1887,[8 4] ; [13  9],[7.41176471 4.58823529] ; [13.58823529  8.41176471],0
p2,1,0.73894,0.11106,[28 13] ; [40 16],[28.74226804 12.25773196] ; [39.25773196 16.74226804],0
a1,1,0.750306,0.101274,[ 1 40] ; [ 2 54],[ 1.26804124 39.73195876] ; [ 1.73195876 54.26804124],0
p1,1,0.750306,0.101274,[ 1 40] ; [ 2 54],[ 1.26804124 39.73195876] ; [ 1.73195876 54.26804124],0
d2,1,0.786801,0.073153,[15 26] ; [22 34],[15.63917526 25.36082474] ; [21.36082474 34.63917526],0
n3,1,0.809076,0.058379,[11  3] ; [15  5],[10.70588235  3.29411765] ; [15.29411765  4.70588235],0
b3,1,0.810501,0.057495,[ 3 21] ; [ 4 23],[ 3.29411765 20.70588235] ; [ 3.70588235 23.29411765],0
b2,1,0.810501,0.057495,[ 3 21] ; [ 4 23],[ 3.29411765 20.70588235] ; [ 3.70588235 23.29411765],0
n1,1,0.816297,0.053968,[ 4 10] ; [ 5 15],[ 3.70588235 10.29411765] ; [ 5.29411765 14.70588235],0
s6,1,0.816808,0.053663,[29  8] ; [45 11],[29.44086022  7.55913978] ; [44.55913978 11.44086022],0
v4,1,0.85907,0.031527,[36  4] ; [51  5],[36.25  3.75] ; [50.75  5.25],0
s1,1,0.899932,0.015812,[ 2 39] ; [ 3 52],[ 2.13541667 38.86458333] ; [ 2.86458333 52.13541667],0
s5,1,0.919367,0.010248,[14 23] ; [21 33],[14.23076923 22.76923077] ; [20.76923077 33.23076923],0
d3,1,0.963756,0.002065,[28 13] ; [38 18],[27.89690722 13.10309278] ; [38.10309278 17.89690722],0
a2,1,0.964067,0.00203,[ 5 36] ; [ 7 49],[ 5.07216495 35.92783505] ; [ 6.92783505 49.07216495],0
p11,1,0.982159,0.0005,[27 14] ; [37 19],[27.05154639 13.94845361] ; [36.94845361 19.05154639],0
