Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.00824,6.980624,[ 5 21] ; [6 3],[ 8.17142857 17.82857143] ; [2.82857143 6.17142857],0
p2,1,0.014043,6.032764,[ 8 18] ; [7 2],[11.14285714 14.85714286] ; [3.85714286 5.14285714],0
s6,1,0.014407,5.987602,[ 7 19] ; [6 2],[ 9.94117647 16.05882353] ; [3.05882353 4.94117647],0
s2,1,0.017476,5.647966,[ 4 22] ; [5 4],[ 6.68571429 19.31428571] ; [2.31428571 6.68571429],0
p9,1,0.059481,3.551786,[13 13] ; [7 1],[15.29411765 10.70588235] ; [4.70588235 3.29411765],0
n4,1,0.06076,3.516526,[14 12] ; [8 1],[16.34285714  9.65714286] ; [5.65714286 3.34285714],0
p10,1,0.066501,3.36734,[11 15] ; [7 2],[13.37142857 12.62857143] ; [4.62857143 4.37142857],0
s3,1,0.077464,3.117321,[ 7 18] ; [5 3],[ 9.09090909 15.90909091] ; [2.90909091 5.09090909],0
s8,1,0.084522,2.975726,[ 5 21] ; [4 4],[ 6.88235294 19.11764706] ; [2.11764706 5.88235294],0
b1,1,0.089245,2.887944,[15 11] ; [8 1],[17.08571429  8.91428571] ; [5.91428571 3.08571429],0
s7,1,0.12437,2.361404,[ 8 17] ; [5 3],[ 9.84848485 15.15151515] ; [3.15151515 4.84848485],0
p1,1,0.134842,2.235853,[ 3 23] ; [3 6],[ 4.45714286 21.54285714] ; [1.54285714 7.45714286],0
n6,1,0.243537,1.36,[11 14] ; [6 3],[12.5 12.5] ; [4.5 4.5],0
v4,1,0.244834,1.352546,[18  8] ; [8 1],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
r2,1,0.244834,1.352546,[18  8] ; [8 1],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
v1,1,0.269065,1.22151,[ 9 17] ; [5 4],[10.4 15.6] ; [3.6 5.4],0
p5,1,0.27013,1.216085,[ 4 21] ; [3 6],[ 5.14705882 19.85294118] ; [1.85294118 7.14705882],0
b5,1,0.28245,1.155266,[15 11] ; [7 2],[16.34285714  9.65714286] ; [5.65714286 3.34285714],0
p7,1,0.301071,1.069444,[10 14] ; [2 7],[ 8.72727273 15.27272727] ; [3.27272727 5.72727273],0
u2,1,0.310494,1.028571,[3 6] ; [2 1],[3.75 5.25] ; [1.25 1.75],0
a2,1,0.330232,0.947986,[ 7 19] ; [1 8],[ 5.94285714 20.05714286] ; [2.05714286 6.94285714],0
a4,1,0.33602,0.925556,[13 12] ; [3 6],[11.76470588 13.23529412] ; [4.23529412 4.76470588],0
n2,1,0.342104,0.902531,[8 5] ; [5 1],[8.89473684 4.10526316] ; [4.10526316 1.89473684],0
p6,1,0.385183,0.754095,[ 5 21] ; [3 6],[ 5.94285714 20.05714286] ; [2.05714286 6.94285714],0
p12,1,0.41835,0.654947,[ 1 25] ; [1 8],[ 1.48571429 24.51428571] ; [0.51428571 8.48571429],0
