Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,25.019851,[ 1 38] ; [19 16],[10.54054054 28.45945946] ; [ 9.45945946 25.54054054],1
s2,1,1e-06,24.057909,[ 5 34] ; [24 11],[15.28378378 23.71621622] ; [13.71621622 21.28378378],1
s5,1,0.000496,12.13104,[ 4 33] ; [16 17],[10.57142857 26.42857143] ; [ 9.42857143 23.57142857],1
p10,1,0.001227,10.44961,[11 28] ; [23 12],[17.91891892 21.08108108] ; [16.08108108 18.91891892],0
p6,1,0.002404,9.212414,[ 3 34] ; [13 21],[ 8.33802817 28.66197183] ; [ 7.66197183 26.33802817],0
p3,1,0.002781,8.945706,[10 29] ; [21 14],[16.33783784 22.66216216] ; [14.66216216 20.33783784],0
p8,1,0.006778,7.330992,[ 8 30] ; [18 17],[13.53424658 24.46575342] ; [12.46575342 22.53424658],0
s7,1,0.00943,6.739448,[ 6 30] ; [15 18],[10.95652174 25.04347826] ; [10.04347826 22.95652174],0
r3,1,0.011079,6.452637,[30  9] ; [34  1],[33.72972973  5.27027027] ; [30.27027027  4.72972973],0
s4,1,0.012177,6.284906,[ 4 35] ; [12 23],[ 8.43243243 30.56756757] ; [ 7.56756757 27.43243243],0
a5,1,0.015803,5.824612,[17 22] ; [25 10],[22.13513514 16.86486486] ; [19.86486486 15.13513514],0
p9,1,0.0176,5.635544,[16 23] ; [24 11],[21.08108108 17.91891892] ; [18.91891892 16.08108108],0
r4,1,0.019385,5.466422,[24 15] ; [30  5],[28.45945946 10.54054054] ; [25.54054054  9.45945946],0
d4,1,0.042262,4.124676,[24 15] ; [29  6],[27.93243243 11.06756757] ; [25.06756757  9.93243243],0
v4,1,0.047737,3.919229,[28 10] ; [32  3],[31.23287671  6.76712329] ; [28.76712329  6.23287671],0
v1,1,0.049099,3.871979,[10 28] ; [17 18],[14.05479452 23.94520548] ; [12.94520548 22.05479452],0
n1,1,0.067362,3.346168,[ 5 12] ; [6 3],[7.19230769 9.80769231] ; [3.80769231 5.19230769],0
s3,1,0.073944,3.193226,[15 21] ; [22 13],[18.76056338 17.23943662] ; [18.23943662 16.76056338],0
d5,1,0.076318,3.141622,[20 19] ; [25 10],[23.71621622 15.28378378] ; [21.28378378 13.71621622],0
v3,1,0.096127,2.768658,[ 5 30] ; [10 22],[ 7.8358209 27.1641791] ; [ 7.1641791 24.8358209],0
p4,1,0.138276,2.197037,[12 26] ; [17 18],[15.09589041 22.90410959] ; [13.90410959 21.09589041],0
n3,1,0.156992,2.002963,[11  4] ; [4 5],[9.375 5.625] ; [5.625 3.375],0
p1,1,0.178975,1.806119,[ 2 37] ; [ 5 30],[ 3.68918919 35.31081081] ; [ 3.31081081 31.68918919],0
d1,1,0.185671,1.751635,[12 27] ; [16 19],[14.75675676 24.24324324] ; [13.24324324 21.75675676],0
n2,1,0.18598,1.749177,[11  6] ; [8 1],[12.42307692  4.57692308] ; [6.57692308 2.42307692],0
u3,1,0.210298,1.569375,[ 6 10] ; [9 6],[7.74193548 8.25806452] ; [7.25806452 7.74193548],0
v2,1,0.213745,1.545876,[14 24] ; [17 16],[16.5915493 21.4084507] ; [14.4084507 18.5915493],0
r2,1,0.267696,1.228514,[30  8] ; [31  4],[31.75342466  6.24657534] ; [29.24657534  5.75342466],0
p2,1,0.269911,1.217198,[25 14] ; [18 17],[22.66216216 16.33783784] ; [20.33783784 14.66216216],0
a1,1,0.321525,0.982734,[ 2 37] ; [ 4 31],[ 3.16216216 35.83783784] ; [ 2.83783784 32.16216216],0
b1,1,0.34503,0.891652,[21 18] ; [15 20],[18.97297297 20.02702703] ; [17.02702703 17.97297297],0
a2,1,0.492709,0.470605,[ 1 38] ; [ 2 33],[ 1.58108108 37.41891892] ; [ 1.41891892 33.58108108],0
a4,1,0.527812,0.398602,[15 24] ; [16 19],[16.33783784 22.66216216] ; [14.66216216 20.33783784],0
p11,1,0.550594,0.356253,[23 16] ; [23 12],[24.24324324 14.75675676] ; [21.75675676 13.24324324],0
n4,1,0.593692,0.284615,[18 21] ; [14 21],[16.86486486 22.13513514] ; [15.13513514 19.86486486],0
p7,1,0.632343,0.228897,[19 20] ; [19 16],[20.02702703 18.97297297] ; [17.97297297 17.02702703],0
d3,1,0.667685,0.184322,[17 22] ; [17 18],[17.91891892 21.08108108] ; [16.08108108 18.91891892],0
b2,1,0.679262,0.170958,[ 9 14] ; [ 8 16],[ 8.31914894 14.68085106] ; [ 8.68085106 15.31914894],0
b3,1,0.679262,0.170958,[ 9 14] ; [ 8 16],[ 8.31914894 14.68085106] ; [ 8.68085106 15.31914894],0
d2,1,0.700596,0.147852,[15 24] ; [15 20],[15.81081081 23.18918919] ; [14.18918919 20.81081081],0
a6,1,0.709478,0.138799,[15 24] ; [12 23],[14.22972973 24.77027027] ; [12.77027027 22.22972973],0
r1,1,0.709478,0.138799,[24 15] ; [23 12],[24.77027027 14.22972973] ; [22.22972973 12.77027027],0
b4,1,0.732651,0.116692,[23 16] ; [22 13],[23.71621622 15.28378378] ; [21.28378378 13.71621622],0
s1,1,0.735019,0.114553,[ 3 36] ; [ 2 33],[ 2.63513514 36.36486486] ; [ 2.36486486 32.63513514],0
