Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,86.145245,[107  14] ; [28 74],[73.25112108 47.74887892] ; [61.74887892 40.25112108],1
s2,1,9e-05,15.329919,[70 52] ; [33 72],[55.35682819 66.64317181] ; [47.64317181 57.35682819],1
s8,1,0.000224,13.619953,[56 66] ; [23 80],[42.83555556 79.16444444] ; [36.16444444 66.83555556],1
s7,1,0.000283,13.18206,[59 54] ; [26 69],[46.17788462 66.82211538] ; [38.82211538 56.17788462],1
s5,1,0.000448,12.319016,[48 66] ; [20 81],[36.05581395 77.94418605] ; [31.94418605 69.05581395],1
p2,1,0.000719,11.439191,[91 30] ; [57 49],[78.88986784 42.11013216] ; [69.11013216 36.88986784],1
r2,1,0.00132,10.314879,[113   7] ; [84 21],[105.06666667  14.93333333] ; [91.93333333 13.06666667],0
a7,1,0.0019,9.643959,[88 33] ; [56 50],[76.75770925 44.24229075] ; [67.24229075 38.75770925],0
s6,1,0.001993,9.556016,[81 38] ; [49 54],[69.68468468 49.31531532] ; [60.31531532 42.68468468],0
n6,1,0.002159,9.408799,[92 28] ; [61 45],[81.23893805 38.76106195] ; [71.76106195 34.23893805],0
r4,1,0.002393,9.220306,[99 23] ; [67 39],[88.8245614 33.1754386] ; [77.1754386 28.8245614],0
r1,1,0.004137,8.222581,[95 27] ; [64 42],[85.07894737 36.92105263] ; [73.92105263 32.07894737],0
d3,1,0.006661,7.36215,[84 36] ; [55 50],[74.13333333 45.86666667] ; [64.86666667 40.13333333],0
v4,1,0.009819,6.667493,[112  10] ; [84 21],[105.33920705  16.66079295] ; [90.66079295 14.33920705],0
d1,1,0.011333,6.412272,[70 52] ; [43 63],[60.46491228 61.53508772] ; [52.53508772 53.46491228],0
a3,1,0.022384,5.215677,[84 37] ; [58 48],[75.69162996 45.30837004] ; [66.30837004 39.69162996],0
s3,1,0.023514,5.130099,[66 56] ; [41 64],[57.50660793 64.49339207] ; [49.49339207 55.50660793],0
v2,1,0.025723,4.974554,[60 58] ; [37 66],[51.7918552 66.2081448] ; [45.2081448 57.7918552],0
p6,1,0.030764,4.66607,[46 76] ; [25 78],[38.49777778 83.50222222] ; [32.50222222 70.49777778],0
d5,1,0.031263,4.638453,[97 24] ; [71 34],[89.94690265 31.05309735] ; [78.05309735 26.94690265],0
v1,1,0.040131,4.212331,[59 63] ; [37 69],[51.36842105 70.63157895] ; [44.63157895 61.36842105],0
r3,1,0.044418,4.040609,[104  17] ; [80 26],[98.07929515 22.92070485] ; [85.92070485 20.07929515],0
d4,1,0.05424,3.705294,[99 23] ; [73 31],[92.84955752 29.15044248] ; [79.15044248 24.84955752],0
n2,1,0.076674,3.134032,[32 10] ; [25 18],[28.16470588 13.83529412] ; [28.83529412 14.16470588],0
n5,1,0.07735,3.119718,[79 42] ; [57 49],[72.49339207 48.50660793] ; [63.50660793 42.49339207],0
p8,1,0.078971,3.085947,[45 77] ; [27 77],[38.86725664 83.13274336] ; [33.13274336 70.86725664],0
u1,1,0.087395,2.921711,[ 21 101] ; [10 96],[ 16.5877193 105.4122807] ; [14.4122807 91.5877193],0
p7,1,0.09579,2.774269,[66 53] ; [47 59],[59.76444444 59.23555556] ; [53.23555556 52.76444444],0
d2,1,0.09995,2.706334,[65 57] ; [44 60],[58.84070796 63.15929204] ; [50.15929204 53.84070796],0
a6,1,0.12348,2.37262,[74 48] ; [53 52],[68.25550661 53.74449339] ; [58.74449339 46.25550661],0
p4,1,0.126914,2.32985,[59 62] ; [41 65],[53.30396476 67.69603524] ; [46.69603524 59.30396476],0
a5,1,0.129078,2.303553,[81 41] ; [60 46],[75.44736842 46.55263158] ; [65.55263158 40.44736842],0
v3,1,0.15617,2.010922,[44 77] ; [28 74],[39.06726457 81.93273543] ; [32.93273543 69.06726457],0
s4,1,0.167084,1.908916,[29 93] ; [17 87],[24.83185841 97.16814159] ; [21.16814159 82.83185841],0
a1,1,0.183046,1.772715,[  6 116] ; [10 96],[  8.56140351 113.43859649] ; [ 7.43859649 98.56140351],0
n1,1,0.214995,1.537468,[14 28] ; [20 23],[16.8 25.2] ; [17.2 25.8],0
p12,1,0.334291,0.932204,[  5 117] ; [  2 104],[  3.74561404 118.25438596] ; [  3.25438596 102.74561404],0
n3,1,0.354539,0.857143,[30 12] ; [26 16],[28. 14.] ; [28. 14.],0
b5,1,0.374346,0.789188,[76 46] ; [72 34],[79.19298246 42.80701754] ; [68.80701754 37.19298246],0
a8,1,0.37733,0.779383,[10 99] ; [13 87],[11.99521531 97.00478469] ; [11.00478469 88.99521531],0
a2,1,0.450703,0.568883,[28 94] ; [20 86],[25.68421053 96.31578947] ; [22.31578947 83.68421053],0
a4,1,0.531115,0.392258,[55 67] ; [43 62],[52.66960352 69.33039648] ; [45.33039648 59.66960352],0
s1,1,0.593919,0.284266,[  7 114] ; [ 8 98],[  7.99559471 113.00440529] ; [ 7.00440529 98.99559471],0
p5,1,0.60363,0.269556,[  9 112] ; [ 6 99],[  8.03097345 112.96902655] ; [ 6.96902655 98.03097345],0
p1,1,0.649671,0.206315,[ 10 111] ; [ 7 98],[  9.10176991 111.89823009] ; [ 7.89823009 97.10176991],0
u3,1,0.654721,0.2,[20 16] ; [29 19],[21. 15.] ; [28. 20.],0
b4,1,0.660815,0.192535,[69 53] ; [63 43],[70.63157895 51.36842105] ; [61.36842105 44.63157895],0
n4,1,0.836612,0.042531,[81 41] ; [69 37],[80.26315789 41.73684211] ; [69.73684211 36.26315789],0
p3,1,0.864089,0.0293,[47 74] ; [40 66],[46.37444934 74.62555066] ; [40.62555066 65.37444934],0
b3,1,0.972932,0.001151,[17 39] ; [19 43],[17.08474576 38.91525424] ; [18.91525424 43.08474576],0
b2,1,0.972932,0.001151,[17 39] ; [19 43],[17.08474576 38.91525424] ; [18.91525424 43.08474576],0
u2,1,0.978698,0.000713,[17 20] ; [21 25],[16.93975904 20.06024096] ; [21.06024096 24.93975904],0
