Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.013823,6.060606,[ 8 41] ; [4 3],[10.5 38.5] ; [1.5 5.5],0
p4,1,0.023823,5.107458,[21 31] ; [6 1],[23.79661017 28.20338983] ; [3.20338983 3.79661017],0
p8,1,0.034524,4.468561,[22 29] ; [6 1],[24.62068966 26.37931034] ; [3.37931034 3.62068966],0
b5,1,0.064768,3.410878,[35 19] ; [2 5],[32.75409836 21.24590164] ; [4.24590164 2.75409836],0
a1,1,0.076877,3.12971,[ 4 50] ; [2 5],[ 5.31147541 48.68852459] ; [0.68852459 6.31147541],0
p7,1,0.117948,2.444359,[29 24] ; [6 1],[30.91666667 22.08333333] ; [4.08333333 2.91666667],0
a6,1,0.149729,2.075005,[31 23] ; [2 5],[29.21311475 24.78688525] ; [3.78688525 3.21311475],0
v1,1,0.163819,1.93861,[31 22] ; [6 1],[32.68333333 20.31666667] ; [4.31666667 2.68333333],0
s6,1,0.175015,1.839456,[29 20] ; [6 1],[30.625 18.375] ; [4.375 2.625],0
d3,1,0.178796,1.8076,[37 17] ; [3 4],[35.40983607 18.59016393] ; [4.59016393 2.40983607],0
a4,1,0.178796,1.8076,[17 37] ; [4 3],[18.59016393 35.40983607] ; [2.40983607 4.59016393],0
r2,1,0.197886,1.657907,[48  6] ; [5 2],[46.91803279  7.08196721] ; [6.08196721 0.91803279],0
p12,1,0.230382,1.438502,[ 2 51] ; [1 6],[ 2.65 50.35] ; [0.35 6.65],0
s3,1,0.307229,1.042549,[26 27] ; [2 5],[24.73333333 28.26666667] ; [3.26666667 3.73333333],0
d2,1,0.328101,0.956378,[26 28] ; [2 5],[24.78688525 29.21311475] ; [3.21311475 3.78688525],0
s2,1,0.355514,0.853677,[21 33] ; [4 3],[22.13114754 31.86885246] ; [2.86885246 4.13114754],0
p11,1,0.394261,0.725759,[38 16] ; [6 1],[38.95081967 15.04918033] ; [5.04918033 1.95081967],0
n5,1,0.394261,0.725759,[38 16] ; [6 1],[38.95081967 15.04918033] ; [5.04918033 1.95081967],0
p2,1,0.486087,0.485175,[39 14] ; [6 1],[39.75 13.25] ; [5.25 1.75],0
p3,1,0.554429,0.349442,[24 29] ; [4 3],[24.73333333 28.26666667] ; [3.26666667 3.73333333],0
b3,1,0.585019,0.298191,[15 17] ; [3 2],[15.56756757 16.43243243] ; [2.43243243 2.56756757],0
b2,1,0.585019,0.298191,[15 17] ; [3 2],[15.56756757 16.43243243] ; [2.43243243 2.56756757],0
d5,1,0.618113,0.248529,[43 11] ; [5 2],[42.49180328 11.50819672] ; [5.50819672 1.49180328],0
b4,1,0.690839,0.158178,[35 19] ; [4 3],[34.52459016 19.47540984] ; [4.47540984 2.52459016],0
b1,1,0.690839,0.158178,[19 35] ; [3 4],[19.47540984 34.52459016] ; [2.52459016 4.47540984],0
a7,1,0.690839,0.158178,[35 19] ; [4 3],[34.52459016 19.47540984] ; [4.47540984 2.52459016],0
v2,1,0.776132,0.080863,[35 18] ; [5 2],[35.33333333 17.66666667] ; [4.66666667 2.33333333],0
d1,1,0.791981,0.069558,[28 26] ; [4 3],[28.32786885 25.67213115] ; [3.67213115 3.32786885],0
s8,1,0.839752,0.040889,[21 33] ; [3 4],[21.24590164 32.75409836] ; [2.75409836 4.24590164],0
s7,1,0.863032,0.029762,[25 29] ; [3 3],[25.2 28.8] ; [2.8 3.2],0
a5,1,0.863594,0.029516,[29 25] ; [4 3],[29.21311475 24.78688525] ; [3.78688525 3.21311475],0
p1,1,0.922293,0.009515,[ 7 47] ; [1 6],[ 7.08196721 46.91803279] ; [0.91803279 6.08196721],0
p6,1,0.954488,0.003257,[22 28] ; [3 4],[21.92982456 28.07017544] ; [3.07017544 3.92982456],0
a3,1,0.964853,0.001942,[39 15] ; [5 2],[38.95081967 15.04918033] ; [5.04918033 1.95081967],0
