Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.5e-05,18.749737,[1 8] ; [47 11],[6.44776119 2.55223881] ; [41.55223881 16.44776119],1
r3,1,6.8e-05,15.863581,[4 5] ; [54  4],[7.79104478 1.20895522] ; [50.20895522  7.79104478],1
r2,1,0.000116,14.851041,[3 6] ; [51  7],[7.25373134 1.74626866] ; [46.74626866 11.25373134],1
p11,1,0.001249,10.417014,[2 7] ; [44 14],[6.17910448 2.82089552] ; [39.82089552 18.17910448],0
s1,1,0.005666,7.653686,[2 7] ; [ 1 57],[0.40298507 8.59701493] ; [ 2.59701493 55.40298507],0
n6,1,0.009919,6.649406,[2 7] ; [39 19],[5.50746269 3.49253731] ; [35.49253731 22.50746269],0
p9,1,0.03805,4.302793,[3 6] ; [40 18],[5.7761194 3.2238806] ; [37.2238806 20.7761194],0
p2,1,0.051705,3.785273,[4 5] ; [44 14],[6.44776119 2.55223881] ; [41.55223881 16.44776119],0
n4,1,0.114872,2.485878,[1 8] ; [22 36],[3.08955224 5.91044776] ; [19.91044776 38.08955224],0
r1,1,0.18447,1.76124,[4 5] ; [39 19],[5.7761194 3.2238806] ; [37.2238806 20.7761194],0
p8,1,0.18447,1.76124,[5 4] ; [19 39],[3.2238806 5.7761194] ; [20.7761194 37.2238806],0
v2,1,0.188243,1.731315,[1 8] ; [18 37],[2.671875 6.328125] ; [16.328125 38.671875],0
s6,1,0.219846,1.505373,[2 7] ; [25 32],[3.68181818 5.31818182] ; [23.31818182 33.68181818],0
a6,1,0.261421,1.261218,[3 6] ; [31 27],[4.56716418 4.43283582] ; [29.43283582 28.56716418],0
p10,1,0.351673,0.867411,[3 6] ; [29 29],[4.29850746 4.70149254] ; [27.70149254 30.29850746],0
d4,1,0.351673,0.867411,[6 3] ; [29 29],[4.70149254 4.29850746] ; [30.29850746 27.70149254],0
b4,1,0.351673,0.867411,[6 3] ; [29 29],[4.70149254 4.29850746] ; [30.29850746 27.70149254],0
u2,1,0.402784,0.7,[2 3] ; [18 12],[2.85714286 2.14285714] ; [17.14285714 12.85714286],0
a7,1,0.424508,0.637802,[4 5] ; [34 24],[5.10447761 3.89552239] ; [32.89552239 25.10447761],0
s2,1,0.446725,0.578947,[4 5] ; [18 39],[3. 6.] ; [19. 38.],0
v3,1,0.513038,0.427865,[3 6] ; [13 43],[2.21538462 6.78461538] ; [13.78461538 42.21538462],0
n3,1,0.61209,0.257143,[2 1] ; [12  3],[2.33333333 0.66666667] ; [11.66666667  3.33333333],0
a4,1,0.613405,0.255246,[2 7] ; [ 9 49],[1.47761194 7.52238806] ; [ 9.52238806 48.47761194],0
p7,1,0.618902,0.247413,[6 3] ; [33 24],[5.31818182 3.68181818] ; [33.68181818 23.31818182],0
a5,1,0.647048,0.209642,[3 6] ; [24 34],[3.62686567 5.37313433] ; [23.37313433 34.62686567],0
p1,1,0.654402,0.200396,[1 8] ; [ 4 54],[0.67164179 8.32835821] ; [ 4.32835821 53.67164179],0
p4,1,0.709089,0.139189,[4 5] ; [22 36],[3.49253731 5.50746269] ; [22.50746269 35.49253731],0
n2,1,0.763573,0.090476,[2 1] ; [12  4],[2.21052632 0.78947368] ; [11.78947368  4.21052632],0
b1,1,0.785207,0.074278,[4 5] ; [23 35],[3.62686567 5.37313433] ; [23.37313433 34.62686567],0
b5,1,0.79074,0.070411,[6 3] ; [36 22],[5.64179104 3.35820896] ; [36.35820896 21.64179104],0
s3,1,0.794107,0.068111,[4 5] ; [28 29],[4.36363636 4.63636364] ; [27.63636364 29.36363636],0
b3,1,0.853988,0.033868,[1 3] ; [10 24],[1.15789474 2.84210526] ; [ 9.84210526 24.15789474],0
b2,1,0.853988,0.033868,[1 3] ; [10 24],[1.15789474 2.84210526] ; [ 9.84210526 24.15789474],0
d3,1,0.862286,0.03009,[4 5] ; [24 34],[3.76119403 5.23880597] ; [24.23880597 33.76119403],0
p3,1,0.867147,0.027984,[3 6] ; [21 37],[3.2238806 5.7761194] ; [20.7761194 37.2238806],0
a3,1,0.870252,0.02668,[4 5] ; [27 30],[4.22727273 4.77272727] ; [26.77272727 30.22727273],0
d2,1,0.934287,0.006798,[1 8] ; [ 7 51],[1.07462687 7.92537313] ; [ 6.92537313 51.07462687],0
v1,1,0.943489,0.005025,[3 6] ; [18 38],[2.90769231 6.09230769] ; [18.09230769 37.90769231],0
p6,1,0.957127,0.00289,[2 7] ; [12 44],[1.93846154 7.06153846] ; [12.06153846 43.93846154],0
