Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.6e-05,16.218419,[121  25] ; [48 34],[108.21929825  37.78070175] ; [60.78070175 21.21929825],1
s3,1,8.1e-05,15.532524,[111  34] ; [43 41],[97.51091703 47.48908297] ; [56.48908297 27.51091703],1
p9,1,0.000168,14.15855,[133  12] ; [60 22],[123.28193833  21.71806167] ; [69.71806167 12.28193833],1
s2,1,0.00018,14.031175,[101  45] ; [37 47],[87.6 58.4] ; [50.4 33.6],1
v4,1,0.010274,6.586779,[142   3] ; [75  8],[138.00438596   6.99561404] ; [78.99561404  4.00438596],0
p10,1,0.029472,4.739831,[125  20] ; [62 21],[118.9254386  26.0745614] ; [68.0745614 14.9254386],0
a7,1,0.039926,4.221015,[94 52] ; [65 19],[100.93043478  45.06956522] ; [58.06956522 25.93043478],0
n5,1,0.058463,3.580453,[121  25] ; [60 23],[115.39737991  30.60262009] ; [65.60262009 17.39737991],0
p11,1,0.075028,3.169439,[122  24] ; [62 22],[116.8  29.2] ; [67.2 16.8],0
u4,1,0.106276,2.60875,[  8 138] ; [ 1 83],[  5.71304348 140.28695652] ; [ 3.28695652 80.71304348],0
p6,1,0.116833,2.459267,[59 85] ; [25 57],[53.52212389 90.47787611] ; [30.47787611 51.52212389],0
r4,1,0.159646,1.977579,[131  15] ; [70 14],[127.59130435  18.40869565] ; [73.40869565 10.59130435],0
b5,1,0.160042,1.973828,[92 54] ; [45 39],[86.96521739 59.03478261] ; [50.03478261 33.96521739],0
p12,1,0.168097,1.899837,[ 12 132] ; [ 3 80],[  9.5154185 134.4845815] ; [ 5.4845815 77.5154185],0
n6,1,0.177417,1.819128,[129  17] ; [68 15],[125.59825328  20.40174672] ; [71.40174672 11.59825328],0
p5,1,0.191972,1.702417,[ 18 124] ; [ 6 78],[ 15.07964602 126.92035398] ; [ 8.92035398 75.07964602],0
b3,1,0.214233,1.542589,[48 63] ; [19 38],[44.26785714 66.73214286] ; [22.73214286 34.26785714],0
b2,1,0.214233,1.542589,[48 63] ; [19 38],[44.26785714 66.73214286] ; [22.73214286 34.26785714],0
a2,1,0.228656,1.4492,[ 33 113] ; [25 59],[ 36.8173913 109.1826087] ; [21.1826087 62.8173913],0
b1,1,0.231242,1.433206,[56 90] ; [39 45],[60.30434783 85.69565217] ; [34.69565217 49.30434783],0
p3,1,0.255688,1.291954,[80 66] ; [39 44],[75.86899563 70.13100437] ; [43.13100437 39.86899563],0
v3,1,0.286737,1.13488,[63 75] ; [31 50],[59.23287671 78.76712329] ; [34.76712329 46.23287671],0
v1,1,0.311335,1.025004,[79 61] ; [40 41],[75.38461538 64.61538462] ; [43.61538462 37.38461538],0
u3,1,0.3175,0.999216,[21  8] ; [13  9],[19.33333333  9.66666667] ; [14.66666667  7.33333333],0
r2,1,0.320694,0.986115,[138   6] ; [77  6],[136.3876652   7.6123348] ; [78.6123348  4.3876652],0
p1,1,0.327578,0.958448,[ 14 131] ; [ 5 79],[ 12.03056769 132.96943231] ; [ 6.96943231 77.03056769],0
p7,1,0.332386,0.939581,[94 47] ; [50 33],[90.64285714 50.35714286] ; [53.35714286 29.64285714],0
u2,1,0.335743,0.92662,[19  9] ; [12 10],[17.36 10.64] ; [13.64  8.36],0
a3,1,0.338273,0.916964,[117  29] ; [62 21],[114.12227074  31.87772926] ; [64.87772926 18.12227074],0
a6,1,0.351089,0.869516,[95 51] ; [59 24],[98.18340611 47.81659389] ; [55.81659389 27.18340611],0
s4,1,0.360047,0.837729,[ 18 128] ; [14 70],[ 20.31304348 125.68695652] ; [11.68695652 72.31304348],0
p8,1,0.371964,0.797092,[76 67] ; [39 44],[72.76548673 70.23451327] ; [42.23451327 40.76548673],0
a4,1,0.406401,0.689304,[63 83] ; [41 43],[66.0173913 79.9826087] ; [37.9826087 46.0173913],0
d3,1,0.425931,0.633892,[100  46] ; [61 22],[102.64628821  43.35371179] ; [58.35371179 24.64628821],0
r3,1,0.444099,0.585668,[139   7] ; [77  6],[137.71179039   8.28820961] ; [78.28820961  4.71179039],0
u1,1,0.481551,0.49535,[ 29 117] ; [20 64],[ 31.10434783 114.89565217] ; [17.89565217 66.10434783],0
s1,1,0.514868,0.424162,[  6 140] ; [ 5 78],[  7.01310044 138.98689956] ; [ 3.98689956 79.01310044],0
p4,1,0.529596,0.395167,[93 53] ; [50 34],[90.77391304 55.22608696] ; [52.22608696 31.77391304],0
v2,1,0.548404,0.360184,[80 60] ; [44 39],[77.84753363 62.15246637] ; [46.15246637 36.84753363],0
d4,1,0.586527,0.295801,[122  24] ; [67 16],[120.49781659  25.50218341] ; [68.50218341 14.49781659],0
d2,1,0.678373,0.171963,[75 71] ; [45 38],[76.50655022 69.49344978] ; [43.49344978 39.50655022],0
n4,1,0.713511,0.134795,[121  25] ; [68 16],[119.97391304  26.02608696] ; [69.02608696 14.97391304],0
r1,1,0.713511,0.134795,[121  25] ; [68 16],[119.97391304  26.02608696] ; [69.02608696 14.97391304],0
d1,1,0.772772,0.083377,[88 58] ; [49 35],[86.96521739 59.03478261] ; [50.03478261 33.96521739],0
b4,1,0.779525,0.078365,[81 65] ; [45 39],[79.9826087 66.0173913] ; [46.0173913 37.9826087],0
n2,1,0.788362,0.072059,[19  9] ; [15  6],[19.42857143  8.57142857] ; [14.57142857  6.42857143],0
p2,1,0.808115,0.05898,[119  26] ; [70 14],[119.67248908  25.32751092] ; [69.32751092 14.67248908],0
n1,1,0.826666,0.047952,[12 15] ; [10 11],[12.375 14.625] ; [ 9.625 11.375],0
a8,1,0.851554,0.03502,[ 23 111] ; [14 63],[ 23.49763033 110.50236967] ; [13.50236967 63.49763033],0
a5,1,0.861234,0.030556,[111  35] ; [63 21],[110.45217391  35.54782609] ; [63.54782609 20.45217391],0
n3,1,0.864154,0.029271,[18 10] ; [13  8],[17.71428571 10.28571429] ; [13.28571429  7.71428571],0
a1,1,0.881123,0.022364,[  8 138] ; [ 5 79],[  8.25217391 137.74782609] ; [ 4.74782609 79.25217391],0
d5,1,0.910528,0.012628,[117  29] ; [66 17],[116.67248908  29.32751092] ; [66.32751092 16.67248908],0
