Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.788418,[10 15] ; [88 11],[19.75806452  5.24193548] ; [78.24193548 20.75806452],1
v4,1,2.7e-05,17.633844,[17  8] ; [94  4],[22.56097561  2.43902439] ; [88.43902439  9.56097561],1
s6,1,6.4e-05,15.983087,[ 7 17] ; [70 26],[15.4  8.6] ; [61.6 34.4],1
p2,1,0.001626,9.930151,[ 9 16] ; [68 29],[15.77868852  9.22131148] ; [61.22131148 35.77868852],0
r2,1,0.001694,9.854506,[18  4] ; [96  2],[20.9  1.1] ; [93.1  4.9],0
p8,1,0.009255,6.772912,[ 3 21] ; [40 58],[ 8.45901639 15.54098361] ; [34.54098361 63.45901639],0
r3,1,0.010299,6.582451,[17  8] ; [87 11],[21.13821138  3.86178862] ; [82.86178862 15.13821138],0
s2,1,0.012062,6.301674,[ 7 18] ; [55 43],[12.60162602 12.39837398] ; [49.39837398 48.60162602],0
b3,1,0.013266,6.133333,[9 6] ; [14 40],[ 5. 10.] ; [18. 36.],0
b2,1,0.013266,6.133333,[9 6] ; [14 40],[ 5. 10.] ; [18. 36.],0
s8,1,0.014671,5.955582,[ 5 20] ; [46 52],[10.36585366 14.63414634] ; [40.63414634 57.36585366],0
s7,1,0.016885,5.708245,[ 6 16] ; [48 38],[11. 11.] ; [43. 43.],0
a7,1,0.019983,5.41336,[14 11] ; [78 21],[18.5483871  6.4516129] ; [73.4516129 25.5483871],0
v3,1,0.020637,5.357198,[ 3 21] ; [35 59],[ 7.72881356 16.27118644] ; [30.27118644 63.72881356],0
v1,1,0.038228,4.294869,[ 6 19] ; [46 52],[10.56910569 14.43089431] ; [41.43089431 56.56910569],0
n3,1,0.039453,4.241243,[6 8] ; [30 11],[9.16363636 4.83636364] ; [26.83636364 14.16363636],0
p10,1,0.042428,4.118067,[10 15] ; [60 36],[14.46280992 10.53719008] ; [55.53719008 40.46280992],0
s3,1,0.050793,3.815098,[ 9 15] ; [59 40],[13.26829268 10.73170732] ; [54.73170732 44.26829268],0
v2,1,0.063345,3.447566,[ 9 16] ; [54 41],[13.125 11.875] ; [49.875 45.125],0
u2,1,0.084835,2.969746,[1 4] ; [12  7],[2.70833333 2.29166667] ; [10.29166667  8.70833333],0
p9,1,0.084978,2.967033,[12 12] ; [66 30],[15.6  8.4] ; [62.4 33.6],0
p1,1,0.085742,2.952562,[ 5 20] ; [ 8 90],[ 2.64227642 22.35772358] ; [10.35772358 87.64227642],0
n1,1,0.104523,2.635145,[ 4 10] ; [22 19],[6.61818182 7.38181818] ; [19.38181818 21.61818182],0
u1,1,0.108139,2.581214,[ 4 21] ; [32 67],[ 7.25806452 17.74193548] ; [28.74193548 70.25806452],0
b4,1,0.110728,2.543804,[11 14] ; [61 38],[14.51612903 10.48387097] ; [57.48387097 41.51612903],0
a6,1,0.112102,2.524333,[14 11] ; [71 27],[17.27642276  7.72357724] ; [67.72357724 30.27642276],0
p6,1,0.116911,2.458225,[ 5 18] ; [38 59],[ 8.24166667 14.75833333] ; [34.75833333 62.24166667],0
a2,1,0.187456,1.737503,[ 7 18] ; [42 57],[ 9.87903226 15.12096774] ; [39.12096774 59.87903226],0
b1,1,0.226442,1.463072,[15 10] ; [46 53],[12.2983871 12.7016129] ; [48.7016129 50.2983871],0
u3,1,0.242809,1.364211,[2 3] ; [13  6],[3.125 1.875] ; [11.875  7.125],0
s4,1,0.266357,1.235415,[ 8 17] ; [21 77],[ 5.89430894 19.10569106] ; [23.10569106 74.89430894],0
p4,1,0.292286,1.109062,[ 9 15] ; [48 49],[11.30578512 12.69421488] ; [45.69421488 51.30578512],0
d5,1,0.293056,1.105527,[24  1] ; [97  1],[24.59349593  0.40650407] ; [96.40650407  1.59349593],0
n5,1,0.313485,1.015936,[12 13] ; [58 40],[14.22764228 10.77235772] ; [55.77235772 42.22764228],0
a5,1,0.328788,0.953665,[21  4] ; [74 25],[19.15322581  5.84677419] ; [75.84677419 23.15322581],0
n2,1,0.43297,0.614844,[7 7] ; [26 16],[8.25 5.75] ; [24.75 17.25],0
s5,1,0.434411,0.611002,[ 6 15] ; [35 58],[ 7.55263158 13.44736842] ; [33.44736842 59.55263158],0
p7,1,0.45997,0.545969,[ 9 16] ; [42 53],[10.625 14.375] ; [40.375 54.625],0
b5,1,0.531451,0.391616,[15 10] ; [66 33],[16.33064516  8.66935484] ; [64.66935484 34.33064516],0
n4,1,0.553759,0.350626,[15 10] ; [65 33],[16.2601626  8.7398374] ; [63.7398374 34.2601626],0
p5,1,0.562371,0.335616,[ 1 24] ; [ 7 90],[ 1.63934426 23.36065574] ; [ 6.36065574 90.63934426],0
d3,1,0.67185,0.179446,[22  3] ; [89  9],[22.56097561  2.43902439] ; [88.43902439  9.56097561],0
p3,1,0.677237,0.173253,[10 14] ; [45 52],[10.90909091 13.09090909] ; [44.09090909 52.90909091],0
d2,1,0.679415,0.170785,[20  4] ; [78 20],[19.27868852  4.72131148] ; [78.72131148 19.27868852],0
a1,1,0.724322,0.124389,[ 2 23] ; [ 6 93],[ 1.61290323 23.38709677] ; [ 6.38709677 92.61290323],0
s1,1,0.724322,0.124389,[ 2 23] ; [ 6 93],[ 1.61290323 23.38709677] ; [ 6.38709677 92.61290323],0
n6,1,0.83837,0.041607,[17  8] ; [68 29],[17.41803279  7.58196721] ; [67.58196721 29.41803279],0
a4,1,0.843972,0.038736,[15  9] ; [64 35],[15.41463415  8.58536585] ; [63.58536585 35.41463415],0
a3,1,0.851754,0.034925,[20  5] ; [80 18],[20.32520325  4.67479675] ; [79.67479675 18.32520325],0
a8,1,0.945159,0.004732,[ 2 23] ; [ 7 76],[ 2.08333333 22.91666667] ; [ 6.91666667 76.08333333],0
