Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,64.438526,[386  67] ; [30 39],[361.01149425  91.98850575] ; [54.98850575 14.01149425],1
n4,1,0.0,44.689464,[390  63] ; [37 33],[369.84894837  83.15105163] ; [57.15105163 12.84894837],1
p10,1,2.7e-05,17.630169,[394  55] ; [48 22],[382.38535645  66.61464355] ; [59.61464355 10.38535645],1
p9,1,9.1e-05,15.314793,[404  47] ; [51 19],[393.86756238  57.13243762] ; [61.13243762  8.86756238],1
b1,1,0.000524,12.026551,[167 287] ; [41 29],[180.21374046 273.78625954] ; [27.78625954 42.21374046],1
s7,1,0.000656,11.611307,[252 177] ; [24 42],[239.2 189.8] ; [36.8 29.2],1
v1,1,0.001304,10.337147,[276 166] ; [29 40],[263.81604697 178.18395303] ; [41.18395303 27.81604697],0
r4,1,0.00312,8.736092,[431  23] ; [60 10],[425.40839695  28.59160305] ; [65.59160305  4.40839695],0
p11,1,0.003948,8.307748,[382  72] ; [49 21],[373.42366412  80.57633588] ; [57.57633588 12.42366412],0
p3,1,0.009997,6.635453,[316 137] ; [38 32],[306.61950287 146.38049713] ; [47.38049713 22.61950287],0
s5,1,0.011758,6.347045,[174 262] ; [16 51],[164.69184891 271.30815109] ; [25.30815109 41.69184891],0
v4,1,0.015849,5.819554,[441  13] ; [63  6],[437.50669216  16.49330784] ; [66.49330784  2.50669216],0
v3,1,0.01645,5.754111,[193 246] ; [18 46],[184.15308151 254.84691849] ; [26.84691849 37.15308151],0
a7,1,0.017661,5.629427,[345 108] ; [44 26],[336.93499044 116.06500956] ; [52.06500956 17.93499044],0
p6,1,0.018083,5.588056,[228 222] ; [24 44],[218.91891892 231.08108108] ; [33.08108108 34.91891892],0
u1,1,0.02209,5.238668,[ 99 355] ; [ 7 63],[ 91.83969466 362.16030534] ; [14.16030534 55.83969466],0
p5,1,0.025195,5.010421,[ 80 370] ; [ 5 65],[ 73.55769231 376.44230769] ; [11.44230769 58.55769231],0
u2,1,0.030359,4.688831,[64 55] ; [20  6],[68.93793103 50.06206897] ; [15.06206897 10.93793103],0
p12,1,0.044541,4.035929,[ 47 406] ; [ 2 68],[ 42.4416826 410.5583174] ; [ 6.5583174 63.4416826],0
p2,1,0.0473,3.934703,[409  43] ; [57 12],[404.2840691  47.7159309] ; [61.7159309  7.2840691],0
d2,1,0.048485,3.893085,[245 208] ; [29 41],[237.32695985 215.67304015] ; [36.67304015 33.32695985],0
r2,1,0.060712,3.51783,[429  21] ; [62  7],[425.72254335  24.27745665] ; [65.27745665  3.72254335],0
s8,1,0.064269,3.423637,[234 217] ; [28 42],[226.79846449 224.20153551] ; [35.20153551 34.79846449],0
a3,1,0.06444,3.419247,[333 120] ; [44 26],[326.54110899 126.45889101] ; [50.45889101 19.54110899],0
d1,1,0.065279,3.397921,[298 156] ; [38 32],[291.11450382 162.88549618] ; [44.88549618 25.11450382],0
r1,1,0.080819,3.048354,[380  73] ; [52 17],[374.89655172  78.10344828] ; [57.10344828 11.89655172],0
p8,1,0.10942,2.562574,[289 161] ; [38 32],[282.98076923 167.01923077] ; [44.01923077 25.98076923],0
d4,1,0.119835,2.419478,[383  70] ; [54 16],[378.51051625  74.48948375] ; [58.48948375 11.51051625],0
u3,1,0.12509,2.352403,[71 48] ; [19  6],[74.375 44.625] ; [15.625  9.375],0
s6,1,0.142194,2.154057,[334 109] ; [47 23],[329.01169591 113.98830409] ; [51.98830409 18.01169591],0
a8,1,0.148816,2.084344,[ 60 349] ; [ 5 58],[ 56.32415254 352.67584746] ; [ 8.67584746 54.32415254],0
s2,1,0.152432,2.047745,[256 193] ; [33 36],[250.503861 198.496139] ; [38.496139 30.503861],0
d3,1,0.158065,1.992644,[335 119] ; [46 24],[330.10305344 123.89694656] ; [50.89694656 19.10305344],0
a4,1,0.165653,1.921853,[221 231] ; [28 42],[215.6091954 236.3908046] ; [33.3908046 36.6091954],0
b2,1,0.191901,1.70296,[112 175] ; [14 34],[107.94626866 179.05373134] ; [18.05373134 29.94626866],0
b3,1,0.191901,1.70296,[112 175] ; [14 34],[107.94626866 179.05373134] ; [18.05373134 29.94626866],0
