Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3e-06,21.958055,[3 2] ; [ 2 61],[0.36764706 4.63235294] ; [ 4.63235294 58.36764706],1
s6,1,0.066532,3.366562,[3 2] ; [56  7],[4.33823529 0.66176471] ; [54.66176471  8.33823529],0
v3,1,0.108853,2.570793,[3 2] ; [16 45],[1.43939394 3.56060606] ; [17.56060606 43.43939394],0
p8,1,0.115824,2.472896,[4 1] ; [27 35],[2.31343284 2.68656716] ; [28.68656716 33.31343284],0
p3,1,0.125233,2.350617,[4 1] ; [28 35],[2.35294118 2.64705882] ; [29.64705882 33.35294118],0
b5,1,0.163359,1.942857,[1 4] ; [33 30],[2.5 2.5] ; [31.5 31.5],0
r2,1,0.168689,1.89456,[4 1] ; [59  3],[4.70149254 0.29850746] ; [58.29850746  3.70149254],0
s8,1,0.207889,1.586067,[1 4] ; [31 32],[2.35294118 2.64705882] ; [29.64705882 33.35294118],0
s7,1,0.209758,1.573094,[1 4] ; [29 30],[2.34375 2.65625] ; [27.65625 31.34375],0
d2,1,0.259154,1.273272,[1 4] ; [29 34],[2.20588235 2.79411765] ; [27.79411765 35.20588235],0
a3,1,0.275548,1.188916,[2 3] ; [40 22],[3.13432836 1.86567164] ; [38.86567164 23.13432836],0
d5,1,0.314808,1.010394,[3 2] ; [50 13],[3.89705882 1.10294118] ; [49.10294118 13.89705882],0
s4,1,0.349468,0.875388,[1 4] ; [26 37],[1.98529412 3.01470588] ; [25.01470588 37.98529412],0
a1,1,0.359981,0.837959,[1 4] ; [ 5 58],[0.44117647 4.55882353] ; [ 5.55882353 57.44117647],0
d4,1,0.458092,0.550552,[4 1] ; [57  6],[4.48529412 0.51470588] ; [56.51470588  6.48529412],0
a5,1,0.497279,0.460738,[4 1] ; [41 22],[3.30882353 1.69117647] ; [41.69117647 21.30882353],0
b1,1,0.631328,0.230265,[1 4] ; [19 44],[1.47058824 3.52941176] ; [18.52941176 44.47058824],0
d3,1,0.646621,0.210186,[3 2] ; [44 19],[3.45588235 1.54411765] ; [43.54411765 19.45588235],0
r1,1,0.664451,0.188162,[3 2] ; [43 19],[3.43283582 1.56716418] ; [42.56716418 19.43283582],0
p6,1,0.664451,0.188162,[2 3] ; [19 43],[1.56716418 3.43283582] ; [19.43283582 42.56716418],0
v2,1,0.692931,0.155931,[3 2] ; [31 30],[2.57575758 2.42424242] ; [31.42424242 29.57575758],0
n6,1,0.718818,0.129628,[4 1] ; [45 17],[3.65671642 1.34328358] ; [45.34328358 16.65671642],0
s3,1,0.722882,0.125748,[3 2] ; [42 20],[3.35820896 1.64179104] ; [41.64179104 20.35820896],0
p2,1,0.733313,0.116092,[4 1] ; [46 17],[3.67647059 1.32352941] ; [46.32352941 16.67647059],0
v1,1,0.745322,0.105504,[2 3] ; [29 32],[2.34848485 2.65151515] ; [28.65151515 32.34848485],0
b2,1,0.759766,0.093506,[1 2] ; [14 19],[1.25 1.75] ; [13.75 19.25],0
b3,1,0.759766,0.093506,[1 2] ; [14 19],[1.25 1.75] ; [13.75 19.25],0
s2,1,0.761674,0.091981,[3 2] ; [42 21],[3.30882353 1.69117647] ; [41.69117647 21.30882353],0
r4,1,0.809387,0.058186,[4 1] ; [53 10],[4.19117647 0.80882353] ; [52.80882353 10.19117647],0
b4,1,0.819053,0.052333,[3 2] ; [41 22],[3.23529412 1.76470588] ; [40.76470588 22.23529412],0
p7,1,0.885014,0.020914,[3 2] ; [34 26],[2.84615385 2.15384615] ; [34.15384615 25.84615385],0
d1,1,0.901046,0.01546,[3 2] ; [36 27],[2.86764706 2.13235294] ; [36.13235294 26.86764706],0
a6,1,0.901046,0.01546,[3 2] ; [36 27],[2.86764706 2.13235294] ; [36.13235294 26.86764706],0
