Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.873461,[3 3] ; [55  1],[5.61290323 0.38709677] ; [52.38709677  3.61290323],1
p2,1,0.000439,12.356505,[3 3] ; [53  3],[5.41935484 0.58064516] ; [50.58064516  5.41935484],1
n5,1,0.000439,12.356505,[3 3] ; [53  3],[5.41935484 0.58064516] ; [50.58064516  5.41935484],1
r3,1,0.00062,11.713613,[4 2] ; [55  1],[5.70967742 0.29032258] ; [53.29032258  2.70967742],1
p3,1,0.002025,9.526349,[2 4] ; [48  8],[4.83870968 1.16129032] ; [45.16129032 10.83870968],0
s2,1,0.003223,8.676459,[1 5] ; [42 14],[4.16129032 1.83870968] ; [38.83870968 17.16129032],0
p7,1,0.003247,8.663102,[2 3] ; [49  6],[4.25 0.75] ; [46.75  8.25],0
p8,1,0.004343,8.134425,[3 3] ; [51  5],[5.22580645 0.77419355] ; [48.77419355  7.22580645],0
n6,1,0.016764,5.720886,[4 2] ; [53  3],[5.51612903 0.48387097] ; [51.48387097  4.51612903],0
r2,1,0.028425,4.802088,[4 1] ; [55  1],[4.83606557 0.16393443] ; [54.16393443  1.83606557],0
v4,1,0.049917,3.844246,[5 1] ; [55  1],[5.80645161 0.19354839] ; [54.19354839  1.80645161],0
s1,1,0.072624,3.222696,[2 4] ; [ 5 51],[0.67741935 5.32258065] ; [ 6.32258065 49.67741935],0
d1,1,0.074097,3.18984,[2 4] ; [39 17],[3.96774194 2.03225806] ; [37.03225806 18.96774194],0
s6,1,0.076877,3.12971,[4 2] ; [50  5],[5.31147541 0.68852459] ; [48.68852459  6.31147541],0
v3,1,0.132411,2.264003,[2 4] ; [35 19],[3.7 2.3] ; [33.3 20.7],0
b4,1,0.14001,2.177846,[5 1] ; [29 27],[3.29032258 2.70967742] ; [30.70967742 25.29032258],0
p9,1,0.155414,2.018294,[5 1] ; [54  2],[5.70967742 0.29032258] ; [53.29032258  2.70967742],0
v2,1,0.159886,1.975309,[2 4] ; [34 20],[3.6 2.4] ; [32.4 21.6],0
s5,1,0.221684,1.493436,[2 3] ; [35 17],[3.24561404 1.75438596] ; [33.75438596 18.24561404],0
a4,1,0.265375,1.240496,[4 2] ; [24 32],[2.70967742 3.29032258] ; [25.29032258 30.70967742],0
s7,1,0.309434,1.03309,[5 1] ; [50  3],[5.59322034 0.40677966] ; [49.40677966  3.59322034],0
p10,1,0.315294,1.008367,[4 1] ; [52  4],[4.59016393 0.40983607] ; [51.40983607  4.59016393],0
n4,1,0.415506,0.662991,[5 1] ; [52  4],[5.51612903 0.48387097] ; [51.48387097  4.51612903],0
d2,1,0.43752,0.602778,[4 2] ; [28 28],[3.09677419 2.90322581] ; [28.90322581 27.09677419],0
s3,1,0.50744,0.439342,[4 2] ; [44 12],[4.64516129 1.35483871] ; [43.35483871 12.64516129],0
v1,1,0.524183,0.405655,[4 2] ; [43 12],[4.62295082 1.37704918] ; [42.37704918 12.62295082],0
a7,1,0.534445,0.385932,[5 1] ; [40 16],[4.35483871 1.64516129] ; [40.64516129 15.35483871],0
b2,1,0.549441,0.358319,[2 4] ; [19 22],[2.68085106 3.31914894] ; [18.31914894 22.68085106],0
b3,1,0.549441,0.358319,[2 4] ; [19 22],[2.68085106 3.31914894] ; [18.31914894 22.68085106],0
n1,1,0.550985,0.355556,[2 2] ; [8 4],[2.5 1.5] ; [7.5 4.5],0
n3,1,0.550985,0.355556,[3 1] ; [7 5],[2.5 1.5] ; [7.5 4.5],0
b5,1,0.61113,0.258533,[3 3] ; [22 34],[2.41935484 3.58064516] ; [22.58064516 33.41935484],0
a6,1,0.653214,0.201872,[4 2] ; [32 24],[3.48387097 2.51612903] ; [32.51612903 23.48387097],0
d3,1,0.657514,0.196558,[4 2] ; [42 14],[4.4516129 1.5483871] ; [41.5483871 14.4516129],0
d4,1,0.661495,0.191713,[5 1] ; [50  6],[5.32258065 0.67741935] ; [49.67741935  6.32258065],0
r1,1,0.661495,0.191713,[5 1] ; [50  6],[5.32258065 0.67741935] ; [49.67741935  6.32258065],0
a5,1,0.715443,0.132901,[5 1] ; [43 13],[4.64516129 1.35483871] ; [43.35483871 12.64516129],0
b1,1,0.737348,0.112472,[3 3] ; [24 32],[2.61290323 3.38709677] ; [24.38709677 31.61290323],0
a2,1,0.942169,0.005263,[1 5] ; [10 46],[1.06451613 4.93548387] ; [ 9.93548387 46.06451613],0
a8,1,0.950781,0.00381,[1 4] ; [10 43],[0.94827586 4.05172414] ; [10.05172414 42.94827586],0
a3,1,0.969947,0.001419,[5 1] ; [47  9],[5.03225806 0.96774194] ; [46.96774194  9.03225806],0
p11,1,0.969947,0.001419,[5 1] ; [47  9],[5.03225806 0.96774194] ; [46.96774194  9.03225806],0
n2,1,1.0,0.0,[3 1] ; [9 3],[3. 1.] ; [9. 3.],0
