Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000101,15.121729,[29 19] ; [ 9 35],[19.82608696 28.17391304] ; [18.17391304 25.82608696],1
d2,1,0.013558,6.094753,[26 22] ; [13 32],[20.12903226 27.87096774] ; [18.87096774 26.12903226],0
a3,1,0.01919,5.484113,[36 11] ; [24 21],[30.65217391 16.34782609] ; [29.34782609 15.65217391],0
a8,1,0.033582,4.515845,[ 7 38] ; [ 1 41],[ 4.13793103 40.86206897] ; [ 3.86206897 38.13793103],0
a4,1,0.037648,4.320849,[24 24] ; [13 32],[19.09677419 28.90322581] ; [17.90322581 27.09677419],0
u3,1,0.041292,4.163997,[3 9] ; [13  8],[5.81818182 6.18181818] ; [10.18181818 10.81818182],0
n2,1,0.056417,3.639706,[12  6] ; [ 5 10],[9.27272727 8.72727273] ; [7.72727273 7.27272727],0
a5,1,0.082426,3.016403,[33 15] ; [23 22],[28.90322581 19.09677419] ; [27.09677419 17.90322581],0
s2,1,0.115135,2.482279,[ 2 46] ; [ 6 39],[ 4.12903226 43.87096774] ; [ 3.87096774 41.12903226],0
a7,1,0.118584,2.435919,[29 19] ; [34 11],[32.51612903 15.48387097] ; [30.48387097 14.51612903],0
b5,1,0.227336,1.457449,[25 23] ; [29 16],[27.87096774 20.12903226] ; [26.12903226 18.87096774],0
p3,1,0.232463,1.425725,[16 31] ; [10 34],[13.42857143 33.57142857] ; [12.57142857 31.42857143],0
u2,1,0.261366,1.261508,[5 7] ; [13  8],[6.54545455 5.45454545] ; [11.45454545  9.54545455],0
p1,1,0.262677,1.254594,[ 5 42] ; [ 2 43],[ 3.57608696 43.42391304] ; [ 3.42391304 41.57608696],0
b3,1,0.27361,1.198559,[11 17] ; [ 6 18],[ 9.15384615 18.84615385] ; [ 7.84615385 16.15384615],0
b2,1,0.27361,1.198559,[11 17] ; [ 6 18],[ 9.15384615 18.84615385] ; [ 7.84615385 16.15384615],0
s1,1,0.276268,1.185358,[ 1 47] ; [ 3 42],[ 2.06451613 45.93548387] ; [ 1.93548387 43.06451613],0
n1,1,0.290466,1.11746,[ 8 10] ; [ 4 11],[ 6.54545455 11.45454545] ; [5.45454545 9.54545455],0
p2,1,0.301052,1.069529,[31 15] ; [25 19],[28.62222222 17.37777778] ; [27.37777778 16.62222222],0
v4,1,0.305872,1.048416,[34 14] ; [36  9],[36.12903226 11.87096774] ; [33.87096774 11.12903226],0
p10,1,0.340627,0.908071,[20 25] ; [24 20],[22.24719101 22.75280899] ; [21.75280899 22.24719101],0
s5,1,0.375074,0.786784,[ 7 39] ; [ 4 40],[ 5.62222222 40.37777778] ; [ 5.37777778 38.62222222],0
r1,1,0.378133,0.776761,[33 15] ; [27 18],[30.96774194 17.03225806] ; [29.03225806 15.96774194],0
r2,1,0.379279,0.773037,[39  8] ; [34 11],[37.29347826  9.70652174] ; [35.70652174  9.29347826],0
v2,1,0.400662,0.706337,[19 26] ; [22 21],[20.96590909 24.03409091] ; [20.03409091 22.96590909],0
u1,1,0.403433,0.69807,[ 3 45] ; [ 5 40],[ 4.12903226 43.87096774] ; [ 3.87096774 41.12903226],0
p8,1,0.414026,0.667209,[15 31] ; [18 26],[16.86666667 29.13333333] ; [16.13333333 27.86666667],0
p11,1,0.469717,0.522641,[26 22] ; [21 24],[24.25806452 23.74193548] ; [22.74193548 22.25806452],0
p6,1,0.480248,0.498299,[10 35] ; [ 7 36],[ 8.69318182 36.30681818] ; [ 8.30681818 34.69318182],0
d3,1,0.499352,0.456313,[25 23] ; [26 18],[26.60869565 21.39130435] ; [24.39130435 19.60869565],0
s4,1,0.51923,0.415423,[ 5 43] ; [ 3 42],[ 4.12903226 43.87096774] ; [ 3.87096774 41.12903226],0
d4,1,0.531685,0.39117,[29 19] ; [30 15],[30.4516129 17.5483871] ; [28.5483871 16.4516129],0
p4,1,0.532481,0.389654,[19 28] ; [15 29],[17.56043956 29.43956044] ; [16.43956044 27.56043956],0
a2,1,0.53905,0.377303,[11 37] ; [ 8 37],[ 9.80645161 38.19354839] ; [ 9.19354839 35.80645161],0
p7,1,0.559028,0.34139,[21 26] ; [17 27],[19.62637363 27.37362637] ; [18.37362637 25.62637363],0
b1,1,0.570151,0.322429,[26 22] ; [27 18],[27.35483871 20.64516129] ; [25.64516129 19.35483871],0
p5,1,0.591854,0.287458,[ 2 45] ; [ 3 41],[ 2.58241758 44.41758242] ; [ 2.41758242 41.58241758],0
s6,1,0.626523,0.236806,[15 33] ; [12 33],[13.93548387 34.06451613] ; [13.06451613 31.93548387],0
