Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000373,12.663726,[ 2 17] ; [7 2],[ 6.10714286 12.89285714] ; [2.89285714 6.10714286],1
n5,1,0.001176,10.528084,[33  5] ; [10 11],[27.69491525 10.30508475] ; [15.30508475  5.69491525],0
s6,1,0.020412,5.376295,[14 23] ; [ 2 19],[10.20689655 26.79310345] ; [ 5.79310345 15.20689655],0
s5,1,0.024072,5.089456,[11 26] ; [ 1 20],[ 7.65517241 29.34482759] ; [ 4.34482759 16.65517241],0
d2,1,0.025556,4.98583,[18 19] ; [ 4 17],[14.03448276 22.96551724] ; [ 7.96551724 13.03448276],0
d1,1,0.04847,3.893623,[17 21] ; [ 4 17],[13.52542373 24.47457627] ; [ 7.47457627 13.52542373],0
a6,1,0.048796,3.882349,[21 17] ; [ 6 15],[17.38983051 20.61016949] ; [ 9.61016949 11.38983051],0
s2,1,0.084802,2.970375,[11 27] ; [ 2 19],[ 8.37288136 29.62711864] ; [ 4.62711864 16.37288136],0
a5,1,0.098529,2.729201,[23 15] ; [ 8 13],[19.96610169 18.03389831] ; [11.03389831  9.96610169],0
n6,1,0.117619,2.448747,[22 15] ; [ 8 13],[19.13793103 17.86206897] ; [10.86206897 10.13793103],0
p2,1,0.145244,2.121505,[16 22] ; [13  8],[18.6779661 19.3220339] ; [10.3220339 10.6779661],0
b1,1,0.159349,1.980397,[20 18] ; [15  6],[22.54237288 15.45762712] ; [12.45762712  8.54237288],0
b3,1,0.177883,1.815226,[13 19] ; [2 9],[11.1627907 20.8372093] ; [3.8372093 7.1627907],0
b2,1,0.177883,1.815226,[13 19] ; [2 9],[11.1627907 20.8372093] ; [3.8372093 7.1627907],0
p1,1,0.20978,1.572943,[ 6 32] ; [ 1 20],[ 4.50847458 33.49152542] ; [ 2.49152542 18.50847458],0
a1,1,0.20978,1.572943,[ 6 32] ; [ 1 20],[ 4.50847458 33.49152542] ; [ 2.49152542 18.50847458],0
s3,1,0.2154,1.534756,[14 21] ; [ 5 16],[11.875 23.125] ; [ 7.125 13.875],0
v4,1,0.222849,1.485929,[21 17] ; [15  6],[23.18644068 14.81355932] ; [12.81355932  8.18644068],0
a4,1,0.244033,1.357143,[14 22] ; [ 5 16],[12. 24.] ; [ 7. 14.],0
p7,1,0.24896,1.329133,[11 26] ; [ 9 11],[12.98245614 24.01754386] ; [ 7.01754386 12.98245614],0
