Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,32.938889,[50 70] ; [97 28],[72. 48.] ; [75. 50.],1
p7,1,0.000965,10.893708,[73 44] ; [101  23],[84.47302905 32.52697095] ; [89.52697095 34.47302905],1
r4,1,0.02088,5.336741,[103  19] ; [117   8],[108.66396761  13.33603239] ; [111.33603239  13.66396761],0
n2,1,0.023002,5.168378,[24  4] ; [10  8],[20.69565217  7.30434783] ; [13.30434783  4.69565217],0
d2,1,0.023024,5.166728,[44 78] ; [63 62],[52.85020243 69.14979757] ; [54.14979757 70.85020243],0
d1,1,0.049585,3.855439,[60 62] ; [77 48],[67.66801619 54.33198381] ; [69.33198381 55.66801619],0
s8,1,0.05358,3.725729,[41 80] ; [57 67],[48.4 72.6] ; [49.6 74.4],0
v2,1,0.065233,3.39908,[59 55] ; [77 44],[65.97446809 48.02553191] ; [70.02553191 50.97446809],0
u1,1,0.068569,3.316959,[ 11 111] ; [ 21 104],[ 15.80566802 106.19433198] ; [ 16.19433198 108.80566802],0
a7,1,0.074088,3.190051,[97 25] ; [87 38],[90.88259109 31.11740891] ; [93.11740891 31.88259109],0
p11,1,0.075031,3.169373,[96 26] ; [109  16],[101.25506073  20.74493927] ; [103.74493927  21.25506073],0
n5,1,0.076233,3.143441,[81 39] ; [97 28],[87.18367347 32.81632653] ; [90.81632653 34.18367347],0
v3,1,0.077746,3.111396,[41 76] ; [56 65],[47.68487395 69.31512605] ; [49.31512605 71.68487395],0
a5,1,0.083194,3.001376,[86 36] ; [100  25],[91.87044534 30.12955466] ; [94.12955466 30.87044534],0
p10,1,0.102271,2.66976,[98 21] ; [112  13],[102.41803279  16.58196721] ; [107.58196721  17.41803279],0
u2,1,0.109684,2.558762,[22 24] ; [26 14],[25.6744186 20.3255814] ; [22.3255814 17.6744186],0
p1,1,0.110011,2.55406,[  6 114] ; [ 13 111],[  9.3442623 110.6557377] ; [  9.6557377 114.3442623],0
a4,1,0.116028,2.470129,[39 82] ; [52 72],[44.94285714 76.05714286] ; [46.05714286 77.94285714],0
s3,1,0.123445,2.373059,[54 63] ; [69 54],[59.9625 57.0375] ; [63.0375 59.9625],0
p9,1,0.136376,2.218377,[98 20] ; [112  13],[101.97530864  16.02469136] ; [108.02469136  16.97530864],0
p12,1,0.140581,2.171591,[  3 117] ; [  8 117],[  5.3877551 114.6122449] ; [  5.6122449 119.3877551],0
r2,1,0.172947,1.85721,[108  11] ; [119   6],[110.70901639   8.29098361] ; [116.29098361   8.70901639],0
a2,1,0.179869,1.798708,[ 20 102] ; [29 96],[24.20242915 97.79757085] ; [ 24.79757085 100.20242915],0
n4,1,0.191621,1.705107,[84 37] ; [96 29],[88.53658537 32.46341463] ; [91.46341463 33.53658537],0
r1,1,0.196462,1.66848,[93 27] ; [105  20],[96.97959184 23.02040816] ; [101.02040816  23.97959184],0
n6,1,0.261921,1.258576,[98 23] ; [107  17],[101.24489796  19.75510204] ; [103.75510204  20.24489796],0
a6,1,0.275665,1.188337,[80 42] ; [90 35],[83.96761134 38.03238866] ; [86.03238866 38.96761134],0
d4,1,0.29539,1.094892,[94 28] ; [103  22],[97.30364372 24.69635628] ; [99.69635628 25.30364372],0
d5,1,0.300626,1.071413,[93 29] ; [102  23],[96.31578947 25.68421053] ; [98.68421053 26.31578947],0
v1,1,0.30541,1.050422,[57 61] ; [67 55],[60.96666667 57.03333333] ; [63.03333333 58.96666667],0
u3,1,0.318436,0.995358,[21 24] ; [23 17],[23.29411765 21.70588235] ; [20.70588235 19.29411765],0
s1,1,0.380227,0.769967,[  4 116] ; [  2 123],[  2.93877551 117.06122449] ; [  3.06122449 121.93877551],0
a3,1,0.392114,0.732376,[76 45] ; [85 40],[79.19105691 41.80894309] ; [81.80894309 43.19105691],0
b2,1,0.402395,0.701157,[18 49] ; [25 50],[20.28873239 46.71126761] ; [22.71126761 52.28873239],0
b3,1,0.402395,0.701157,[18 49] ; [25 50],[20.28873239 46.71126761] ; [22.71126761 52.28873239],0
d3,1,0.418292,0.655108,[78 44] ; [86 39],[81.00404858 40.99595142] ; [82.99595142 42.00404858],0
s5,1,0.451714,0.566347,[31 86] ; [38 85],[33.6375 83.3625] ; [35.3625 87.6375],0
s7,1,0.47462,0.5112,[49 69] ; [54 63],[51.71914894 66.28085106] ; [51.28085106 65.71914894],0
s6,1,0.504748,0.444939,[70 46] ; [80 44],[72.5 43.5] ; [77.5 46.5],0
b5,1,0.547565,0.361698,[71 51] ; [68 57],[68.65587045 53.34412955] ; [70.34412955 54.65587045],0
p5,1,0.565168,0.330835,[ 10 111] ; [ 13 112],[ 11.31300813 109.68699187] ; [ 11.68699187 113.31300813],0
a1,1,0.631737,0.229712,[  3 119] ; [  2 123],[  2.46963563 119.53036437] ; [  2.53036437 122.46963563],0
n3,1,0.639186,0.219808,[19  9] ; [11  7],[18.26086957  9.73913043] ; [11.73913043  6.26086957],0
p2,1,0.727202,0.121696,[109  12] ; [110  14],[108.15918367  12.84081633] ; [110.84081633  13.15918367],0
s2,1,0.736309,0.113397,[53 66] ; [53 72],[51.69672131 67.30327869] ; [54.30327869 70.69672131],0
n1,1,0.799284,0.064655,[10 17] ; [ 6 12],[ 9.6 17.4] ; [ 6.4 11.6],0
v4,1,0.821858,0.050695,[114   5] ; [119   6],[113.6352459   5.3647541] ; [119.3647541   5.6352459],0
r3,1,0.827512,0.047478,[115   7] ; [117   8],[114.59109312   7.40890688] ; [117.40890688   7.59109312],0
a8,1,0.858948,0.031582,[14 94] ; [ 14 101],[13.56053812 94.43946188] ; [ 14.43946188 100.56053812],0
b4,1,0.864179,0.029261,[67 55] ; [70 55],[67.66801619 54.33198381] ; [69.33198381 55.66801619],0
b1,1,0.892082,0.018407,[40 82] ; [42 83],[40.50202429 81.49797571] ; [41.49797571 83.50202429],0
s4,1,0.93565,0.006519,[ 14 106] ; [ 15 110],[ 14.20408163 105.79591837] ; [ 14.79591837 110.20408163],0
u4,1,0.986239,0.000297,[  1 121] ; [  1 124],[  0.98785425 121.01214575] ; [  1.01214575 123.98785425],0
