Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,59.561786,[ 29 196] ; [79 84],[ 62.62886598 162.37113402] ; [ 45.37113402 117.62886598],1
r1,1,0.00036,12.728571,[160  71] ; [140  25],[175.  56.] ; [125.  40.],1
a5,1,0.000371,12.670522,[140  91] ; [128  37],[156.33333333  74.66666667] ; [111.66666667  53.33333333],1
a3,1,0.003664,8.443497,[143  88] ; [125  40],[156.33333333  74.66666667] ; [111.66666667  53.33333333],0
a7,1,0.00763,7.118222,[151  79] ; [128  36],[162.8680203  67.1319797] ; [116.1319797  47.8680203],0
d5,1,0.008533,6.918046,[166  63] ; [139  27],[176.82278481  52.17721519] ; [128.17721519  37.82278481],0
r3,1,0.008778,6.867427,[205  25] ; [158   6],[211.9035533  18.0964467] ; [151.0964467  12.9035533],0
s1,1,0.011021,6.461917,[ 15 215] ; [  2 161],[  9.94910941 220.05089059] ; [  7.05089059 155.94910941],0
p9,1,0.017204,5.67542,[159  67] ; [132  31],[169.06426735  56.93573265] ; [121.93573265  41.06426735],0
p10,1,0.0224,5.21445,[154  74] ; [128  36],[164.02040816  63.97959184] ; [117.97959184  46.02040816],0
d1,1,0.035909,4.401426,[116 115] ; [101  65],[126.26448363 104.73551637] ; [90.73551637 75.26448363],0
p12,1,0.048418,3.895411,[  6 224] ; [ 11 153],[  9.92385787 220.07614213] ; [  7.07614213 156.92385787],0
s5,1,0.050213,3.834318,[ 58 169] ; [ 54 101],[ 66.55497382 160.44502618] ; [ 45.44502618 109.55497382],0
a2,1,0.052556,3.757997,[ 40 191] ; [ 42 124],[ 47.71284635 183.28715365] ; [ 34.28715365 131.71284635],0
d4,1,0.053716,3.721498,[172  58] ; [136  28],[179.79695431  50.20304569] ; [128.20304569  35.79695431],0
u1,1,0.070189,3.278587,[ 28 203] ; [ 31 135],[ 34.32997481 196.67002519] ; [ 24.67002519 141.32997481],0
n3,1,0.0741,3.189778,[47 29] ; [32  9],[51.31623932 24.68376068] ; [27.68376068 13.31623932],0
s8,1,0.089101,2.890539,[ 69 161] ; [ 63 102],[ 76.86075949 153.13924051] ; [ 55.13924051 109.86075949],0
p7,1,0.097115,2.752291,[119 106] ; [100  63],[126.99742268  98.00257732] ; [92.00257732 70.99742268],0
n2,1,0.099308,2.716618,[50 29] ; [32  9],[53.98333333 25.01666667] ; [28.01666667 12.98333333],0
p3,1,0.101114,2.687879,[ 87 143] ; [76 89],[ 94.91139241 135.08860759] ; [68.08860759 96.91139241],0
a6,1,0.134121,2.244149,[148  82] ; [118  47],[154.88607595  75.11392405] ; [111.11392405  53.88607595],0
p11,1,0.158785,1.985762,[159  72] ; [125  41],[165.24937028  65.75062972] ; [118.75062972  47.24937028],0
d2,1,0.166903,1.910542,[100 128] ; [84 81],[106.7480916 121.2519084] ; [77.2519084 87.7480916],0
p6,1,0.170075,1.882285,[ 74 156] ; [ 42 121],[ 67.88804071 162.11195929] ; [ 48.11195929 114.88804071],0
u3,1,0.192862,1.695622,[51 36] ; [19 22],[47.578125 39.421875] ; [22.421875 18.578125],0
b5,1,0.196837,1.665686,[132  99] ; [84 82],[125.68261965 105.31738035] ; [90.31738035 75.68261965],0
r4,1,0.203939,1.613937,[199  32] ; [150  16],[203.07052897  27.92947103] ; [145.92947103  20.07052897],0
d3,1,0.20716,1.591161,[145  83] ; [115  50],[150.83969466  77.16030534] ; [109.16030534  55.83969466],0
n6,1,0.210962,1.56481,[178  52] ; [137  29],[182.95454545  47.04545455] ; [132.04545455  33.95454545],0
p4,1,0.225321,1.470157,[108 121] ; [87 76],[113.91581633 115.08418367] ; [81.08418367 81.91581633],0
s7,1,0.234785,1.411634,[ 91 131] ; [74 83],[ 96.64907652 125.35092348] ; [68.35092348 88.64907652],0
b4,1,0.252067,1.311812,[123 108] ; [98 68],[128.59193955 102.40806045] ; [92.40806045 73.59193955],0
p1,1,0.252903,1.307194,[ 21 207] ; [ 10 155],[ 17.98473282 210.01526718] ; [ 13.01526718 151.98473282],0
s2,1,0.260567,1.26574,[ 97 133] ; [79 86],[102.48101266 127.51898734] ; [73.51898734 91.48101266],0
u2,1,0.277447,1.179555,[46 41] ; [17 23],[43.15748031 43.84251969] ; [19.84251969 20.15748031],0
n1,1,0.334686,0.930682,[28 49] ; [11 29],[25.66666667 51.33333333] ; [13.33333333 26.66666667],0
n5,1,0.345217,0.89096,[155  75] ; [103  61],[150.60913706  79.39086294] ; [107.39086294  56.60913706],0
s3,1,0.370026,0.803577,[118 112] ; [90 71],[122.35294118 107.64705882] ; [85.64705882 75.35294118],0
s6,1,0.398414,0.713108,[129  97] ; [100  63],[133.0437018  92.9562982] ; [95.9562982 67.0437018],0
b2,1,0.434567,0.610587,[36 89] ; [33 65],[38.67713004 86.32286996] ; [30.32286996 67.67713004],0
b3,1,0.434567,0.610587,[36 89] ; [33 65],[38.67713004 86.32286996] ; [30.32286996 67.67713004],0
p8,1,0.488133,0.480639,[ 99 131] ; [75 86],[102.35294118 127.64705882] ; [71.64705882 89.35294118],0
s4,1,0.504054,0.44639,[ 46 181] ; [ 29 136],[ 43.43112245 183.56887755] ; [ 31.56887755 133.43112245],0
p2,1,0.50585,0.442642,[176  53] ; [122  43],[173.20304569  55.79695431] ; [124.79695431  40.20304569],0
n4,1,0.629193,0.233156,[160  71] ; [118  47],[162.16666667  68.83333333] ; [115.83333333  49.16666667],0
b1,1,0.679704,0.17046,[ 91 140] ; [ 62 104],[ 89.02518892 141.97481108] ; [ 63.97481108 102.02518892],0
a8,1,0.686097,0.163344,[ 19 198] ; [ 15 135],[ 20.10354223 196.89645777] ; [ 13.89645777 136.10354223],0
a1,1,0.766877,0.08789,[ 11 220] ; [  9 157],[ 11.6372796 219.3627204] ; [  8.3627204 157.6372796],0
v4,1,0.903873,0.014586,[214  16] ; [153  12],[213.69620253  16.30379747] ; [153.30379747  11.69620253],0
p5,1,0.964456,0.001986,[ 17 213] ; [ 12 153],[ 16.88607595 213.11392405] ; [ 12.11392405 152.88607595],0
a4,1,0.98535,0.000337,[ 95 135] ; [68 97],[ 94.91139241 135.08860759] ; [68.08860759 96.91139241],0
