Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,51.96339,[107   9] ; [10 20],[92.95890411 23.04109589] ; [24.04109589  5.95890411],1
n6,1,2e-06,23.142012,[103  13] ; [15 15],[93.75342466 22.24657534] ; [24.24657534  5.75342466],1
p9,1,0.000207,13.76295,[105  11] ; [19 11],[98.52054795 17.47945205] ; [25.47945205  4.52054795],1
p2,1,0.000445,12.333823,[100  14] ; [18 12],[93.41666667 20.58333333] ; [24.58333333  5.41666667],1
p10,1,0.002104,9.456522,[98 17] ; [18 12],[92. 23.] ; [24.  6.],0
p11,1,0.002322,9.275833,[96 20] ; [17 13],[89.78082192 26.21917808] ; [23.21917808  6.78082192],0
v3,1,0.003537,8.507537,[55 59] ; [ 5 23],[48.16901408 65.83098592] ; [11.83098592 16.16901408],0
p5,1,0.012797,6.196902,[27 88] ; [ 1 29],[22.20689655 92.79310345] ; [ 5.79310345 24.20689655],0
r1,1,0.026856,4.90002,[86 30] ; [16 14],[81.04109589 34.95890411] ; [20.95890411  9.04109589],0
r4,1,0.027152,4.881092,[98 18] ; [20 10],[93.75342466 22.24657534] ; [24.24657534  5.75342466],0
v4,1,0.031224,4.640605,[107   8] ; [24  6],[103.89655172  11.10344828] ; [27.10344828  2.89655172],0
s7,1,0.038434,4.285714,[72 40] ; [12 16],[67.2 44.8] ; [16.8 11.2],0
p3,1,0.052118,3.771965,[80 36] ; [15 15],[75.47945205 40.52054795] ; [19.52054795 10.47945205],0
d1,1,0.058392,3.582463,[65 51] ; [11 19],[60.38356164 55.61643836] ; [15.61643836 14.38356164],0
r3,1,0.058767,3.571832,[109   7] ; [25  5],[106.46575342   9.53424658] ; [27.53424658  2.46575342],0
u2,1,0.066206,3.374657,[15 17] ; [8 2],[17.52380952 14.47619048] ; [5.47619048 4.52380952],0
s8,1,0.067759,3.336489,[68 48] ; [12 18],[63.56164384 52.43835616] ; [16.43835616 13.56164384],0
s1,1,0.072332,3.229291,[  3 111] ; [ 3 27],[  4.75 109.25] ; [ 1.25 28.75],0
s6,1,0.083262,3.000059,[85 27] ; [18 12],[81.23943662 30.76056338] ; [21.76056338  8.23943662],0
v2,1,0.091027,2.856115,[60 51] ; [11 19],[55.89361702 55.10638298] ; [15.10638298 14.89361702],0
s4,1,0.091208,2.852924,[19 97] ; [ 9 21],[22.24657534 93.75342466] ; [ 5.75342466 24.24657534],0
v1,1,0.094538,2.795352,[64 48] ; [12 18],[59.94366197 52.05633803] ; [16.05633803 13.94366197],0
n2,1,0.096821,2.757147,[16  9] ; [10  1],[18.05555556  6.94444444] ; [7.94444444 3.05555556],0
u3,1,0.126448,2.335583,[14 19] ; [7 3],[16.11627907 16.88372093] ; [4.88372093 5.11627907],0
