Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.559567,[15 75] ; [18 11],[24.95798319 65.04201681] ; [ 8.04201681 20.95798319],1
p3,1,0.000102,15.103639,[16 76] ; [16 14],[24.13114754 67.86885246] ; [ 7.86885246 22.13114754],1
p4,1,0.000458,12.278411,[17 74] ; [15 14],[24.26666667 66.73333333] ; [ 7.73333333 21.26666667],1
p6,1,0.000818,11.2,[ 6 84] ; [ 9 21],[11.25 78.75] ; [ 3.75 26.25],1
v2,1,0.004575,8.040348,[29 57] ; [19 11],[35.5862069 50.4137931] ; [12.4137931 17.5862069],0
p10,1,0.008183,6.993007,[35 55] ; [20 10],[41.25 48.75] ; [13.75 16.25],0
b1,1,0.036709,4.363874,[45 48] ; [ 8 22],[40.07317073 52.92682927] ; [12.92682927 17.07317073],0
s6,1,0.036739,4.362477,[28 64] ; [15 14],[32.69421488 59.30578512] ; [10.30578512 18.69421488],0
s2,1,0.043359,4.081369,[18 74] ; [11 18],[22.04958678 69.95041322] ; [ 6.95041322 22.04958678],0
v3,1,0.080515,3.054477,[18 69] ; [11 19],[21.56410256 65.43589744] ; [ 7.43589744 22.56410256],0
b3,1,0.091846,2.841724,[23 32] ; [ 3 13],[20.14084507 34.85915493] ; [ 5.85915493 10.14084507],0
b2,1,0.091846,2.841724,[23 32] ; [ 3 13],[20.14084507 34.85915493] ; [ 5.85915493 10.14084507],0
p11,1,0.103403,2.65226,[43 50] ; [19 11],[46.87804878 46.12195122] ; [15.12195122 14.87804878],0
a2,1,0.110409,2.548351,[13 80] ; [ 1 29],[10.58536585 82.41463415] ; [ 3.41463415 26.58536585],0
n5,1,0.118958,2.430984,[60 31] ; [15 15],[56.40495868 34.59504132] ; [18.59504132 11.40495868],0
p5,1,0.134194,2.2433,[ 3 90] ; [ 3 27],[ 4.53658537 88.46341463] ; [ 1.46341463 28.53658537],0
a1,1,0.138208,2.197796,[12 81] ; [ 1 29],[ 9.82926829 83.17073171] ; [ 3.17073171 26.82926829],0
s1,1,0.161304,1.961962,[ 5 85] ; [ 4 26],[ 6.75 83.25] ; [ 2.25 27.75],0
p9,1,0.170528,1.8783,[41 49] ; [18 12],[44.25 45.75] ; [14.75 15.25],0
a4,1,0.203475,1.617253,[34 58] ; [ 7 22],[31.17355372 60.82644628] ; [ 9.82644628 19.17355372],0
a6,1,0.262331,1.256416,[48 45] ; [19 11],[50.65853659 42.34146341] ; [16.34146341 13.65853659],0
r4,1,0.273319,1.200011,[58 35] ; [22  8],[60.48780488 32.51219512] ; [19.51219512 10.48780488],0
d2,1,0.296937,1.087902,[37 54] ; [ 9 21],[34.59504132 56.40495868] ; [11.40495868 18.59504132],0
d4,1,0.314535,1.011535,[65 28] ; [18 12],[62.75609756 30.24390244] ; [20.24390244  9.75609756],0
s4,1,0.322208,0.979963,[16 75] ; [ 3 27],[14.2892562 76.7107438] ; [ 4.7107438 25.2892562],0
b5,1,0.324704,0.969904,[56 37] ; [15 15],[53.68292683 39.31707317] ; [17.31707317 12.68292683],0
d5,1,0.324704,0.969904,[56 37] ; [15 15],[53.68292683 39.31707317] ; [17.31707317 12.68292683],0
u1,1,0.335249,0.928513,[ 8 85] ; [ 1 29],[ 6.80487805 86.19512195] ; [ 2.19512195 27.80487805],0
n4,1,0.344446,0.893814,[58 34] ; [16 14],[55.80327869 36.19672131] ; [18.19672131 11.80327869],0
r3,1,0.433175,0.614297,[67 25] ; [24  6],[68.62295082 23.37704918] ; [22.37704918  7.62295082],0
a5,1,0.484379,0.488988,[49 44] ; [18 12],[50.65853659 42.34146341] ; [16.34146341 13.65853659],0
n1,1,0.5018,0.451128,[16 22] ; [2 5],[15.2 22.8] ; [2.8 4.2],0
r2,1,0.531308,0.39189,[73 17] ; [25  4],[74.11764706 15.88235294] ; [23.88235294  5.11764706],0
s3,1,0.564783,0.33149,[27 64] ; [ 7 22],[25.78333333 65.21666667] ; [ 8.21666667 20.78333333],0
b4,1,0.571671,0.319894,[52 41] ; [15 15],[50.65853659 42.34146341] ; [16.34146341 13.65853659],0
v4,1,0.576379,0.312125,[69 23] ; [24  6],[70.13114754 21.86885246] ; [22.86885246  7.13114754],0
d1,1,0.596669,0.28005,[36 57] ; [10 20],[34.7804878 58.2195122] ; [11.2195122 18.7804878],0
p12,1,0.600954,0.273559,[ 4 89] ; [ 2 28],[ 4.53658537 88.46341463] ; [ 1.46341463 28.53658537],0
p1,1,0.615325,0.252493,[ 9 84] ; [ 2 28],[ 8.31707317 84.68292683] ; [ 2.68292683 27.31707317],0
n2,1,0.707869,0.140415,[25 14] ; [5 2],[25.43478261 13.56521739] ; [4.56521739 2.43478261],0
u2,1,0.725631,0.123161,[19 23] ; [6 9],[18.42105263 23.57894737] ; [6.57894737 8.42105263],0
a8,1,0.771708,0.084182,[ 8 82] ; [ 3 25],[ 8.38983051 81.61016949] ; [ 2.61016949 25.38983051],0
a3,1,0.804842,0.061051,[50 42] ; [15 14],[49.4214876 42.5785124] ; [15.5785124 13.4214876],0
n6,1,0.809187,0.05831,[58 34] ; [19 10],[58.54545455 33.45454545] ; [18.45454545 10.54545455],0
r1,1,0.817627,0.053175,[53 39] ; [18 12],[53.54098361 38.45901639] ; [17.45901639 12.54098361],0
s8,1,0.893367,0.017968,[10 82] ; [ 3 27],[ 9.80327869 82.19672131] ; [ 3.19672131 26.80327869],0
d3,1,0.950918,0.003789,[44 49] ; [14 16],[43.85365854 49.14634146] ; [14.14634146 15.85365854],0
n3,1,0.984912,0.000358,[21 16] ; [4 3],[21.02272727 15.97727273] ; [3.97727273 3.02272727],0
a7,1,0.988904,0.000193,[52 40] ; [17 13],[52.03278689 39.96721311] ; [16.96721311 13.03278689],0
v1,1,0.991091,0.000125,[28 65] ; [ 9 21],[27.97560976 65.02439024] ; [ 9.02439024 20.97560976],0
u3,1,0.99173,0.000107,[20 23] ; [7 8],[20.01724138 22.98275862] ; [6.98275862 8.01724138],0
s5,1,1.0,0.0,[15 72] ; [ 5 24],[15. 72.] ; [ 5. 24.],0
