Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000714,11.452723,[11  5] ; [ 3 18],[6.05405405 9.94594595] ; [ 7.94594595 13.05405405],1
u2,1,0.009097,6.80368,[1 5] ; [9 2],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
s2,1,0.025842,4.966531,[ 3 12] ; [12  9],[6.25 8.75] ; [ 8.75 12.25],0
a6,1,0.039037,4.259247,[ 6 10] ; [15  6],[9.08108108 6.91891892] ; [11.91891892  9.08108108],0
u3,1,0.063716,3.437921,[1 5] ; [7 4],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
s8,1,0.068406,3.320866,[ 3 13] ; [10 11],[ 5.62162162 10.37837838] ; [ 7.37837838 13.62162162],0
s5,1,0.082424,3.016446,[ 2 14] ; [ 8 13],[ 4.32432432 11.67567568] ; [ 5.67567568 15.32432432],0
r3,1,0.102992,2.658588,[10  6] ; [18  3],[12.10810811  3.89189189] ; [15.89189189  5.10810811],0
s3,1,0.122865,2.380408,[ 4 11] ; [11 10],[6.25 8.75] ; [ 8.75 12.25],0
n4,1,0.18303,1.772848,[8 8] ; [15  6],[9.94594595 6.05405405] ; [13.05405405  7.94594595],0
r1,1,0.18303,1.772848,[8 8] ; [ 6 15],[6.05405405 9.94594595] ; [ 7.94594595 13.05405405],0
p11,1,0.210531,1.567769,[10  6] ; [17  4],[11.67567568  4.32432432] ; [15.32432432  5.67567568],0
p12,1,0.259286,1.272563,[ 1 15] ; [ 4 17],[ 2.16216216 13.83783784] ; [ 2.83783784 18.16216216],0
v3,1,0.259653,1.270604,[ 4 12] ; [ 9 12],[ 5.62162162 10.37837838] ; [ 7.37837838 13.62162162],0
p5,1,0.278272,1.17551,[ 2 13] ; [ 6 15],[ 3.33333333 11.66666667] ; [ 4.66666667 16.33333333],0
b3,1,0.27976,1.168254,[3 6] ; [ 2 12],[1.95652174 7.04347826] ; [ 3.04347826 10.95652174],0
b2,1,0.27976,1.168254,[3 6] ; [ 2 12],[1.95652174 7.04347826] ; [ 3.04347826 10.95652174],0
p10,1,0.298488,1.080935,[9 6] ; [16  5],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
d3,1,0.306323,1.046465,[8 8] ; [14  7],[9.51351351 6.48648649] ; [12.48648649  8.51351351],0
n2,1,0.307741,1.040344,[5 1] ; [4 3],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
b1,1,0.315041,1.009425,[11  5] ; [11 10],[9.51351351 6.48648649] ; [12.48648649  8.51351351],0
a3,1,0.368209,0.809699,[10  6] ; [10 11],[8.64864865 7.35135135] ; [11.35135135  9.64864865],0
n3,1,0.390636,0.736961,[4 2] ; [3 4],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
d4,1,0.391408,0.734564,[11  5] ; [17  4],[12.10810811  3.89189189] ; [15.89189189  5.10810811],0
p6,1,0.399233,0.710635,[ 4 12] ; [ 8 13],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
p2,1,0.409727,0.679592,[12  4] ; [18  3],[12.97297297  3.02702703] ; [17.02702703  3.97297297],0
p8,1,0.463193,0.538169,[9 6] ; [10 11],[7.91666667 7.08333333] ; [11.08333333  9.91666667],0
a5,1,0.468981,0.524376,[8 8] ; [13  8],[9.08108108 6.91891892] ; [11.91891892  9.08108108],0
b4,1,0.470774,0.520159,[ 5 11] ; [ 9 12],[6.05405405 9.94594595] ; [ 7.94594595 13.05405405],0
a8,1,0.484034,0.489762,[ 1 13] ; [ 3 17],[ 1.64705882 12.35294118] ; [ 2.35294118 17.64705882],0
d2,1,0.565449,0.330357,[ 6 10] ; [ 6 15],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
d5,1,0.565449,0.330357,[10  6] ; [15  6],[10.81081081  5.18918919] ; [14.18918919  6.81081081],0
n6,1,0.613642,0.254905,[11  5] ; [16  5],[11.67567568  4.32432432] ; [15.32432432  5.67567568],0
n5,1,0.665671,0.186708,[11  5] ; [13  8],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
r4,1,0.665671,0.186708,[ 5 11] ; [ 8 13],[ 5.62162162 10.37837838] ; [ 7.37837838 13.62162162],0
b5,1,0.6658,0.186555,[8 8] ; [12  9],[8.64864865 7.35135135] ; [11.35135135  9.64864865],0
a1,1,0.717778,0.130631,[ 1 15] ; [ 2 19],[ 1.2972973 14.7027027] ; [ 1.7027027 19.2972973],0
s7,1,0.722416,0.12619,[4 9] ; [ 7 12],[4.46875 8.53125] ; [ 6.53125 12.46875],0
n1,1,0.724939,0.12381,[2 4] ; [3 4],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
p3,1,0.742298,0.108117,[10  6] ; [12  9],[9.51351351 6.48648649] ; [12.48648649  8.51351351],0
v1,1,0.815019,0.054736,[7 9] ; [10 11],[7.35135135 8.64864865] ; [ 9.64864865 11.35135135],0
p1,1,0.8428,0.039328,[ 1 15] ; [ 1 20],[ 0.86486486 15.13513514] ; [ 1.13513514 19.86486486],0
u1,1,0.8428,0.039328,[ 1 15] ; [ 1 20],[ 0.86486486 15.13513514] ; [ 1.13513514 19.86486486],0
p9,1,0.845252,0.038095,[11  4] ; [16  5],[11.25  3.75] ; [15.75  5.25],0
a7,1,0.885855,0.020607,[8 8] ; [10 11],[7.78378378 8.21621622] ; [10.21621622 10.78378378],0
p7,1,0.893314,0.017986,[11  5] ; [14  7],[10.81081081  5.18918919] ; [14.18918919  6.81081081],0
d1,1,0.893314,0.017986,[ 5 11] ; [ 7 14],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
v4,1,0.893314,0.017986,[11  5] ; [14  7],[10.81081081  5.18918919] ; [14.18918919  6.81081081],0
v2,1,0.954999,0.003184,[7 8] ; [10 11],[7.08333333 7.91666667] ; [ 9.91666667 11.08333333],0
s4,1,0.981731,0.000524,[ 3 13] ; [ 4 17],[ 3.02702703 12.97297297] ; [ 3.97297297 17.02702703],0
