Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.302989,[ 7 49] ; [9 2],[13.37313433 42.62686567] ; [2.62686567 8.37313433],1
u3,1,0.002997,8.809376,[ 9 30] ; [5 1],[12.13333333 26.86666667] ; [1.86666667 4.13333333],0
p10,1,0.006025,7.542857,[24 32] ; [9 1],[28. 28.] ; [5. 5.],0
s6,1,0.013711,6.07494,[15 43] ; [7 4],[18.49275362 39.50724638] ; [3.50724638 7.49275362],0
p8,1,0.015418,5.868033,[15 42] ; [7 4],[18.44117647 38.55882353] ; [3.55882353 7.44117647],0
p4,1,0.021152,5.314195,[12 45] ; [6 5],[15.08823529 41.91176471] ; [2.91176471 8.08823529],0
s2,1,0.041551,4.153419,[14 44] ; [6 5],[16.8115942 41.1884058] ; [3.1884058 7.8115942],0
p2,1,0.047,3.945387,[34 23] ; [10  1],[36.88235294 20.11764706] ; [7.11764706 3.88235294],0
s3,1,0.048326,3.898596,[18 38] ; [7 4],[20.89552239 35.10447761] ; [4.10447761 6.89552239],0
p11,1,0.071341,3.251888,[25 33] ; [8 3],[27.73913043 30.26086957] ; [5.26086957 5.73913043],0
v4,1,0.095485,2.779378,[36 21] ; [9 1],[38.28358209 18.71641791] ; [6.71641791 3.28358209],0
d3,1,0.098294,2.733014,[21 36] ; [7 4],[23.47058824 33.52941176] ; [4.52941176 6.47058824],0
v2,1,0.102081,2.672727,[16 39] ; [6 5],[18.33333333 36.66666667] ; [3.66666667 7.33333333],0
a7,1,0.124194,2.363622,[22 35] ; [7 4],[24.30882353 32.69117647] ; [4.69117647 6.30882353],0
p7,1,0.182528,1.776923,[21 35] ; [6 4],[22.90909091 33.09090909] ; [4.09090909 5.90909091],0
s4,1,0.199629,1.645089,[11 47] ; [4 7],[12.60869565 45.39130435] ; [2.39130435 8.60869565],0
n2,1,0.199953,1.64272,[16 13] ; [5 1],[17.4 11.6] ; [3.6 2.4],0
v1,1,0.202147,1.626794,[15 42] ; [5 6],[16.76470588 40.23529412] ; [3.23529412 7.76470588],0
d4,1,0.219086,1.51035,[30 27] ; [8 3],[31.85294118 25.14705882] ; [6.14705882 4.85294118],0
s1,1,0.223274,1.483206,[ 4 54] ; [2 9],[ 5.04347826 52.95652174] ; [ 0.95652174 10.04347826],0
r3,1,0.260112,1.268161,[31 26] ; [8 3],[32.69117647 24.30882353] ; [6.30882353 4.69117647],0
p9,1,0.323169,0.976077,[27 30] ; [7 4],[28.5 28.5] ; [5.5 5.5],0
r1,1,0.324912,0.969072,[13 45] ; [4 7],[14.28985507 43.71014493] ; [2.71014493 8.28985507],0
p5,1,0.409137,0.681307,[ 2 55] ; [ 1 10],[ 2.51470588 54.48529412] ; [ 0.48529412 10.51470588],0
b2,1,0.415842,0.662037,[11 22] ; [1 5],[10.15384615 22.84615385] ; [1.84615385 4.15384615],0
b3,1,0.415842,0.662037,[11 22] ; [1 5],[10.15384615 22.84615385] ; [1.84615385 4.15384615],0
a3,1,0.441183,0.593205,[19 38] ; [5 6],[20.11764706 36.88235294] ; [3.88235294 7.11764706],0
r2,1,0.44992,0.570854,[33 24] ; [4 5],[31.95454545 25.04545455] ; [5.04545455 3.95454545],0
b4,1,0.487626,0.481761,[38 20] ; [6 5],[36.98550725 21.01449275] ; [7.01449275 3.98550725],0
a6,1,0.500147,0.454625,[22 36] ; [3 8],[21.01449275 36.98550725] ; [3.98550725 7.01449275],0
p3,1,0.529923,0.394539,[11 47] ; [3 8],[11.76811594 46.23188406] ; [2.23188406 8.76811594],0
s5,1,0.613405,0.255246,[ 9 49] ; [2 7],[ 9.52238806 48.47761194] ; [1.47761194 7.52238806],0
b1,1,0.626539,0.236784,[27 31] ; [6 5],[27.73913043 30.26086957] ; [5.26086957 5.73913043],0
n1,1,0.638994,0.220061,[ 7 22] ; [2 4],[ 7.45714286 21.54285714] ; [1.54285714 4.45714286],0
d2,1,0.647896,0.208563,[14 43] ; [2 9],[13.41176471 43.58823529] ; [2.58823529 8.41176471],0
d1,1,0.726272,0.122562,[13 45] ; [3 8],[13.44927536 44.55072464] ; [2.55072464 8.44927536],0
p6,1,0.740245,0.109911,[ 9 48] ; [2 8],[ 9.35820896 47.64179104] ; [1.64179104 8.35820896],0
a4,1,0.777291,0.080005,[ 7 51] ; [ 1 10],[ 6.72463768 51.27536232] ; [1.27536232 9.72463768],0
n4,1,0.782192,0.076432,[29 29] ; [5 6],[28.57971014 29.42028986] ; [5.42028986 5.57971014],0
n6,1,0.86364,0.029496,[30 28] ; [6 5],[30.26086957 27.73913043] ; [5.73913043 5.26086957],0
d5,1,0.88533,0.020798,[25 33] ; [5 6],[25.2173913 32.7826087] ; [4.7826087 6.2173913],0
u2,1,0.904537,0.014384,[18 20] ; [3 3],[18.13636364 19.86363636] ; [2.86363636 3.13636364],0
v3,1,0.931298,0.007432,[11 46] ; [2 9],[10.89705882 46.10294118] ; [2.10294118 8.89705882],0
n3,1,0.93869,0.005916,[15 14] ; [3 3],[14.91428571 14.08571429] ; [3.08571429 2.91428571],0
b5,1,0.94666,0.004476,[31 27] ; [6 5],[31.10144928 26.89855072] ; [5.89855072 5.10144928],0
n5,1,0.969427,0.001469,[32 26] ; [6 5],[31.94202899 26.05797101] ; [6.05797101 4.94202899],0
