Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,8.8e-05,15.382467,[ 4 24] ; [20 11],[11.38983051 16.61016949] ; [12.61016949 18.38983051],1
a5,1,0.008175,6.994743,[14 16] ; [26  7],[19.04761905 10.95238095] ; [20.95238095 12.04761905],0
r4,1,0.008554,6.913636,[19 11] ; [30  3],[23.33333333  6.66666667] ; [25.66666667  7.33333333],0
r1,1,0.015275,5.88444,[16 14] ; [27  6],[20.47619048  9.52380952] ; [22.52380952 10.47619048],0
b5,1,0.01627,5.77346,[20 10] ; [12 21],[15.23809524 14.76190476] ; [16.76190476 16.23809524],0
a3,1,0.016673,5.730447,[15 15] ; [26  7],[19.52380952 10.47619048] ; [21.47619048 11.52380952],0
p11,1,0.022342,5.218977,[19 11] ; [29  4],[22.85714286  7.14285714] ; [25.14285714  7.85714286],0
s5,1,0.027402,4.86532,[ 2 25] ; [10 23],[ 5.4 21.6] ; [ 6.6 26.4],0
a2,1,0.033285,4.531054,[ 1 29] ; [ 7 26],[ 3.80952381 26.19047619] ; [ 4.19047619 28.80952381],0
p10,1,0.033571,4.516444,[20  9] ; [29  3],[23.29508197  5.70491803] ; [25.70491803  6.29508197],0
b4,1,0.033931,4.498174,[12 18] ; [22 11],[16.19047619 13.80952381] ; [17.80952381 15.19047619],0
b2,1,0.042891,4.099685,[ 5 12] ; [12  7],[8.02777778 8.97222222] ; [ 8.97222222 10.02777778],0
b3,1,0.042891,4.099685,[ 5 12] ; [12  7],[8.02777778 8.97222222] ; [ 8.97222222 10.02777778],0
n6,1,0.04466,4.031443,[17 12] ; [27  6],[20.58064516  8.41935484] ; [23.41935484  9.58064516],0
v1,1,0.055259,3.674249,[11 18] ; [20 12],[14.73770492 14.26229508] ; [16.26229508 15.73770492],0
d1,1,0.057668,3.603217,[11 19] ; [20 13],[14.76190476 15.23809524] ; [16.23809524 16.76190476],0
v4,1,0.058963,3.566303,[24  5] ; [32  1],[26.19354839  2.80645161] ; [29.80645161  3.19354839],0
n5,1,0.059585,3.548911,[17 13] ; [26  7],[20.47619048  9.52380952] ; [22.52380952 10.47619048],0
a4,1,0.065846,3.383663,[ 7 23] ; [15 18],[10.47619048 19.52380952] ; [11.52380952 21.47619048],0
p2,1,0.077508,3.116407,[20  9] ; [28  4],[22.81967213  6.18032787] ; [25.18032787  6.81967213],0
p7,1,0.082096,3.022914,[14 14] ; [23  9],[17.26666667 10.73333333] ; [19.73333333 12.26666667],0
d5,1,0.087478,2.920176,[16 13] ; [25  8],[19.17741935  9.82258065] ; [21.82258065 11.17741935],0
s8,1,0.121879,2.393004,[ 8 22] ; [15 18],[10.95238095 19.04761905] ; [12.04761905 20.95238095],0
u1,1,0.136958,2.211809,[ 3 27] ; [ 8 25],[ 5.23809524 24.76190476] ; [ 5.76190476 27.23809524],0
p6,1,0.145516,2.118641,[ 7 23] ; [13 19],[ 9.67741935 20.32258065] ; [10.32258065 21.67741935],0
n4,1,0.175058,1.839091,[19 11] ; [26  7],[21.42857143  8.57142857] ; [23.57142857  9.42857143],0
r3,1,0.180954,1.789773,[25  5] ; [31  2],[26.66666667  3.33333333] ; [29.33333333  3.66666667],0
n2,1,0.184708,1.759334,[4 3] ; [7 1],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
d2,1,0.222469,1.488376,[10 20] ; [16 17],[12.38095238 17.61904762] ; [13.61904762 19.38095238],0
r2,1,0.242101,1.368321,[26  3] ; [32  1],[27.12903226  1.87096774] ; [30.87096774  2.12903226],0
s1,1,0.257197,1.283783,[ 3 27] ; [ 1 32],[ 1.9047619 28.0952381] ; [ 2.0952381 30.9047619],0
d4,1,0.259329,1.272336,[22  8] ; [28  5],[23.80952381  6.19047619] ; [26.19047619  6.80952381],0
u3,1,0.29008,1.119251,[10  5] ; [3 4],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
d3,1,0.363084,0.827197,[17 12] ; [23 10],[18.70967742 10.29032258] ; [21.29032258 11.70967742],0
n3,1,0.377026,0.780375,[4 3] ; [7 2],[4.8125 2.1875] ; [6.1875 2.8125],0
a8,1,0.383446,0.759626,[ 6 22] ; [ 4 27],[ 4.74576271 23.25423729] ; [ 5.25423729 25.74576271],0
s4,1,0.392722,0.730497,[ 6 24] ; [ 4 29],[ 4.76190476 25.23809524] ; [ 5.23809524 27.76190476],0
u2,1,0.451967,0.565714,[9 6] ; [3 4],[8.18181818 6.81818182] ; [3.81818182 3.18181818],0
p1,1,0.479025,0.501083,[ 2 27] ; [ 1 32],[ 1.40322581 27.59677419] ; [ 1.59677419 31.40322581],0
p3,1,0.499833,0.455292,[12 17] ; [16 16],[13.31147541 15.68852459] ; [14.68852459 17.31147541],0
s3,1,0.564731,0.331579,[22  8] ; [22 11],[20.95238095  9.04761905] ; [23.04761905  9.95238095],0
p8,1,0.569902,0.322847,[11 19] ; [14 18],[12.09677419 17.90322581] ; [12.90322581 19.09677419],0
n1,1,0.576999,0.311111,[3 4] ; [2 5],[2.5 4.5] ; [2.5 4.5],0
s7,1,0.58558,0.2973,[12 17] ; [15 16],[13.05 15.95] ; [13.95 17.05],0
p9,1,0.659738,0.193842,[22  8] ; [25  7],[22.74193548  7.25806452] ; [24.25806452  7.74193548],0
b1,1,0.662161,0.190909,[12 18] ; [15 18],[12.85714286 17.14285714] ; [14.14285714 18.85714286],0
a1,1,0.7222,0.126395,[ 2 28] ; [ 3 30],[ 2.38095238 27.61904762] ; [ 2.61904762 30.38095238],0
a7,1,0.74473,0.106013,[20  9] ; [24  9],[20.58064516  8.41935484] ; [23.41935484  9.58064516],0
a6,1,0.766591,0.088112,[18 12] ; [21 12],[18.57142857 11.42857143] ; [20.42857143 12.57142857],0
p4,1,0.779447,0.078423,[13 17] ; [15 17],[13.5483871 16.4516129] ; [14.4516129 17.5483871],0
p5,1,0.902603,0.014975,[ 1 26] ; [ 1 31],[ 0.91525424 26.08474576] ; [ 1.08474576 30.91525424],0
