Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.033807,4.504456,[10  2] ; [7 9],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
a7,1,0.033807,4.504456,[ 2 10] ; [9 7],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
u2,1,0.063716,3.437921,[1 7] ; [5 4],[2.82352941 5.17647059] ; [3.17647059 5.82352941],0
a4,1,0.07776,3.111111,[ 1 11] ; [ 6 10],[3. 9.] ; [ 4. 12.],0
p3,1,0.095045,2.786786,[5 7] ; [ 2 13],[3.11111111 8.88888889] ; [ 3.88888889 11.11111111],0
p10,1,0.120507,2.410714,[ 1 11] ; [ 5 10],[2.66666667 9.33333333] ; [ 3.33333333 11.66666667],0
v4,1,0.12663,2.333333,[8 4] ; [ 6 10],[6. 6.] ; [8. 8.],0
p4,1,0.171857,1.866667,[6 6] ; [ 4 12],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
p8,1,0.182698,1.775543,[3 9] ; [ 1 14],[ 1.77777778 10.22222222] ; [ 2.22222222 12.77777778],0
s6,1,0.18367,1.767677,[4 8] ; [ 2 14],[2.57142857 9.42857143] ; [ 3.42857143 12.57142857],0
s7,1,0.199674,1.644755,[3 8] ; [ 1 12],[1.83333333 9.16666667] ; [ 2.16666667 10.83333333],0
v2,1,0.222994,1.485,[ 1 11] ; [ 4 11],[2.22222222 9.77777778] ; [ 2.77777778 12.22222222],0
a5,1,0.227195,1.458333,[ 2 10] ; [ 6 10],[3.42857143 8.57142857] ; [ 4.57142857 11.42857143],0
v1,1,0.254478,1.298551,[ 1 11] ; [ 4 12],[2.14285714 9.85714286] ; [ 2.85714286 13.14285714],0
d2,1,0.254478,1.298551,[ 1 11] ; [ 4 12],[2.14285714 9.85714286] ; [ 2.85714286 13.14285714],0
n5,1,0.274006,1.196581,[7 5] ; [ 6 10],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
a6,1,0.305507,1.05,[3 9] ; [7 9],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
d3,1,0.314736,1.010695,[6 6] ; [ 5 11],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
d4,1,0.314736,1.010695,[6 6] ; [11  5],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
p2,1,0.314736,1.010695,[6 6] ; [ 5 11],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
n3,1,0.360387,0.836543,[1 4] ; [4 5],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
s2,1,0.392742,0.730435,[3 9] ; [ 2 14],[2.14285714 9.85714286] ; [ 2.85714286 13.14285714],0
d5,1,0.445009,0.583333,[5 7] ; [9 7],[6. 6.] ; [8. 8.],0
n4,1,0.445009,0.583333,[7 5] ; [7 9],[6. 6.] ; [8. 8.],0
p7,1,0.48338,0.491228,[3 9] ; [ 6 10],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
a3,1,0.483522,0.490909,[4 8] ; [7 8],[4.88888889 7.11111111] ; [6.11111111 8.88888889],0
d1,1,0.594853,0.282828,[ 2 10] ; [ 4 12],[2.57142857 9.42857143] ; [ 3.42857143 12.57142857],0
a8,1,0.606089,0.265909,[2 8] ; [ 2 14],[1.53846154 8.46153846] ; [ 2.46153846 13.53846154],0
b2,1,0.635848,0.224213,[3 5] ; [3 8],[2.52631579 5.47368421] ; [3.47368421 7.52631579],0
b3,1,0.635848,0.224213,[3 5] ; [3 8],[2.52631579 5.47368421] ; [3.47368421 7.52631579],0
s3,1,0.63749,0.222039,[3 9] ; [ 5 10],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
u3,1,0.70663,0.141667,[2 6] ; [3 6],[2.35294118 5.64705882] ; [2.64705882 6.35294118],0
b1,1,0.71714,0.13125,[9 3] ; [11  5],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
s1,1,0.724263,0.124444,[ 1 11] ; [ 2 14],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
s8,1,0.724263,0.124444,[ 1 11] ; [ 2 14],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
a1,1,0.724263,0.124444,[ 1 11] ; [ 2 14],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
s4,1,0.755189,0.097222,[ 2 10] ; [ 2 14],[ 1.71428571 10.28571429] ; [ 2.28571429 13.71428571],0
v3,1,0.755189,0.097222,[ 2 10] ; [ 2 14],[ 1.71428571 10.28571429] ; [ 2.28571429 13.71428571],0
n2,1,0.803017,0.062222,[2 3] ; [3 6],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
r3,1,0.823218,0.049911,[5 7] ; [ 6 10],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
r4,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
p1,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
r1,1,0.907008,0.013645,[4 8] ; [ 5 11],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
b4,1,0.912219,0.012153,[7 5] ; [9 7],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
p9,1,0.972542,0.001185,[3 8] ; [ 4 11],[2.96153846 8.03846154] ; [ 4.03846154 10.96153846],0
