Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000696,11.500045,[ 3 13] ; [8 1],[7.04 8.96] ; [3.96 5.04],1
p9,1,0.051842,3.780864,[8 8] ; [8 1],[10.24  5.76] ; [5.76 3.24],0
v1,1,0.072073,3.235165,[ 4 10] ; [6 3],[6.08695652 7.91304348] ; [3.91304348 5.08695652],0
b1,1,0.086828,2.932224,[ 5 11] ; [6 3],[7.04 8.96] ; [3.96 5.04],0
p8,1,0.088376,2.903704,[ 2 13] ; [4 5],[ 3.75 11.25] ; [2.25 6.75],0
s2,1,0.099924,2.706755,[7 9] ; [7 2],[8.96 7.04] ; [5.04 3.96],0
d3,1,0.173568,1.851852,[8 8] ; [7 2],[9.6 6.4] ; [5.4 3.6],0
u3,1,0.220671,1.5,[3 5] ; [3 1],[4. 4.] ; [2. 2.],0
p10,1,0.231101,1.434074,[8 7] ; [7 2],[9.375 5.625] ; [5.625 3.375],0
a6,1,0.270948,1.211939,[7 9] ; [6 3],[8.32 7.68] ; [4.68 4.32],0
d2,1,0.285049,1.142857,[10  5] ; [4 5],[8.75 6.25] ; [5.25 3.75],0
u2,1,0.303052,1.060714,[3 4] ; [3 1],[3.81818182 3.18181818] ; [2.18181818 1.81818182],0
p2,1,0.363646,0.825263,[11  4] ; [8 1],[11.875  3.125] ; [7.125 1.875],0
s6,1,0.371093,0.8,[9 6] ; [7 2],[10.  5.] ; [6. 3.],0
b5,1,0.382677,0.762085,[ 6 10] ; [5 4],[7.04 8.96] ; [3.96 5.04],0
a5,1,0.420345,0.649351,[8 8] ; [6 3],[8.96 7.04] ; [5.04 3.96],0
n6,1,0.431333,0.619231,[7 7] ; [6 3],[7.91304348 6.08695652] ; [5.08695652 3.91304348],0
a7,1,0.459033,0.548252,[9 6] ; [4 5],[8.125 6.875] ; [4.875 4.125],0
r3,1,0.492519,0.471018,[9 5] ; [7 2],[9.73913043 4.26086957] ; [6.26086957 2.73913043],0
r1,1,0.521245,0.411429,[7 8] ; [3 6],[6.25 8.75] ; [3.75 5.25],0
v2,1,0.570632,0.321626,[9 7] ; [4 5],[8.32 7.68] ; [4.68 4.32],0
v3,1,0.571608,0.32,[ 3 12] ; [1 8],[ 2.5 12.5] ; [1.5 7.5],0
r2,1,0.59536,0.282051,[10  3] ; [6 3],[9.45454545 3.54545455] ; [6.54545455 2.45454545],0
b4,1,0.629412,0.232859,[11  5] ; [7 2],[11.52  4.48] ; [6.48 2.52],0
s8,1,0.656005,0.198413,[ 4 12] ; [3 6],[ 4.48 11.52] ; [2.52 6.48],0
s3,1,0.675447,0.175296,[9 5] ; [5 4],[8.52173913 5.47826087] ; [5.47826087 3.52173913],0
v4,1,0.697161,0.151442,[7 5] ; [6 3],[7.42857143 4.57142857] ; [5.57142857 3.42857143],0
d1,1,0.789561,0.071225,[8 8] ; [5 4],[8.32 7.68] ; [4.68 4.32],0
n4,1,0.789561,0.071225,[8 8] ; [5 4],[8.32 7.68] ; [4.68 4.32],0
n5,1,0.794625,0.067761,[7 7] ; [5 4],[7.30434783 6.69565217] ; [4.69565217 4.30434783],0
b2,1,0.80725,0.059524,[ 3 11] ; [1 5],[ 2.8 11.2] ; [1.2 4.8],0
b3,1,0.80725,0.059524,[ 3 11] ; [1 5],[ 2.8 11.2] ; [1.2 4.8],0
s4,1,0.834969,0.043403,[ 3 13] ; [2 7],[ 3.2 12.8] ; [1.8 7.2],0
p1,1,0.873382,0.025397,[ 2 13] ; [1 8],[ 1.875 13.125] ; [1.125 7.875],0
d4,1,0.896743,0.016842,[12  3] ; [7 2],[11.875  3.125] ; [7.125 1.875],0
p11,1,0.914641,0.011489,[11  5] ; [6 3],[10.88  5.12] ; [6.12 2.88],0
p7,1,0.915759,0.011189,[7 8] ; [4 5],[6.875 8.125] ; [4.125 4.875],0
a3,1,0.915759,0.011189,[8 7] ; [5 4],[8.125 6.875] ; [4.875 4.125],0
a4,1,0.973215,0.001127,[7 9] ; [4 5],[7.04 8.96] ; [3.96 5.04],0
s7,1,1.0,0.0,[8 8] ; [4 4],[8. 8.] ; [4. 4.],0
n1,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
