Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.697363,[42 15] ; [ 9 31],[29.96907216 27.03092784] ; [21.03092784 18.96907216],1
n1,1,0.015344,5.876538,[13 11] ; [ 4 17],[ 9.06666667 14.93333333] ; [ 7.93333333 13.06666667],0
u3,1,0.023879,5.103397,[ 6 17] ; [11  7],[ 9.53658537 13.46341463] ; [ 7.46341463 10.53658537],0
s7,1,0.050374,3.828954,[14 36] ; [ 4 33],[10.34482759 39.65517241] ; [ 7.65517241 29.34482759],0
v1,1,0.051095,3.805157,[22 35] ; [ 8 32],[17.62886598 39.37113402] ; [12.37113402 27.62886598],0
b3,1,0.075507,3.159052,[15 22] ; [ 4 18],[11.91525424 25.08474576] ; [ 7.08474576 14.91525424],0
b2,1,0.075507,3.159052,[15 22] ; [ 4 18],[11.91525424 25.08474576] ; [ 7.08474576 14.91525424],0
v3,1,0.086496,2.938405,[20 34] ; [ 8 31],[16.25806452 37.74193548] ; [11.74193548 27.25806452],0
s1,1,0.10372,2.647388,[ 3 54] ; [ 6 34],[ 5.28865979 51.71134021] ; [ 3.71134021 36.28865979],0
p4,1,0.12104,2.403809,[15 40] ; [17 23],[18.52631579 36.47368421] ; [13.47368421 26.52631579],0
d4,1,0.122821,2.380975,[37 20] ; [31  8],[40.375 16.625] ; [27.625 11.375],0
a1,1,0.149714,2.075162,[ 8 49] ; [ 2 38],[ 5.87628866 51.12371134] ; [ 4.12371134 35.87628866],0
v4,1,0.170014,1.882819,[38 19] ; [31  8],[40.96875 16.03125] ; [28.03125 10.96875],0
s8,1,0.217114,1.523342,[11 45] ; [ 4 35],[ 8.84210526 47.15789474] ; [ 6.15789474 32.84210526],0
n6,1,0.236756,1.399806,[34 23] ; [19 21],[31.1443299 25.8556701] ; [21.8556701 18.1443299],0
u2,1,0.242908,1.363636,[ 7 15] ; [9 9],[ 8.8 13.2] ; [ 7.2 10.8],0
b1,1,0.244239,1.355961,[38 19] ; [22 18],[35.25773196 21.74226804] ; [24.74226804 15.25773196],0
r3,1,0.289986,1.119687,[37 20] ; [30 10],[39.37113402 17.62886598] ; [27.62886598 12.37113402],0
p7,1,0.298599,1.080442,[18 38] ; [17 23],[20.41666667 35.58333333] ; [14.58333333 25.41666667],0
p1,1,0.330068,0.948632,[ 6 51] ; [ 2 38],[ 4.70103093 52.29896907] ; [ 3.29896907 36.70103093],0
s4,1,0.426269,0.632967,[ 9 47] ; [ 9 31],[10.5 45.5] ; [ 7.5 32.5],0
a2,1,0.450352,0.569765,[12 45] ; [ 6 34],[10.57731959 46.42268041] ; [ 7.42268041 32.57731959],0
p8,1,0.501446,0.451875,[14 43] ; [12 27],[15.4375 41.5625] ; [10.5625 28.4375],0
b5,1,0.51967,0.414548,[29 28] ; [23 17],[30.55670103 26.44329897] ; [21.44329897 18.55670103],0
b4,1,0.51967,0.414548,[29 28] ; [23 17],[30.55670103 26.44329897] ; [21.44329897 18.55670103],0
a7,1,0.531084,0.392318,[32 25] ; [25 15],[33.49484536 23.50515464] ; [23.50515464 16.49484536],0
d5,1,0.540612,0.374407,[38 19] ; [29 11],[39.37113402 17.62886598] ; [27.62886598 12.37113402],0
a3,1,0.575559,0.313469,[34 22] ; [22 18],[32.66666667 23.33333333] ; [23.33333333 16.66666667],0
p2,1,0.582788,0.301748,[26 31] ; [16 24],[24.68041237 32.31958763] ; [17.31958763 22.68041237],0
r4,1,0.582788,0.301748,[31 26] ; [24 16],[32.31958763 24.68041237] ; [22.68041237 17.31958763],0
n2,1,0.603602,0.269597,[15 10] ; [11 10],[14.13043478 10.86956522] ; [11.86956522  9.13043478],0
s5,1,0.630052,0.23199,[ 8 48] ; [ 7 32],[ 8.84210526 47.15789474] ; [ 6.15789474 32.84210526],0
a4,1,0.668929,0.182857,[22 34] ; [14 26],[21. 35.] ; [15. 25.],0
r1,1,0.672017,0.179252,[38 19] ; [25 15],[37.02061856 19.97938144] ; [25.97938144 14.02061856],0
a6,1,0.688938,0.160238,[29 28] ; [22 18],[29.96907216 27.03092784] ; [21.03092784 18.96907216],0
d3,1,0.722954,0.12568,[32 25] ; [21 19],[31.1443299 25.8556701] ; [21.8556701 18.1443299],0
a5,1,0.722954,0.12568,[32 25] ; [21 19],[31.1443299 25.8556701] ; [21.8556701 18.1443299],0
u1,1,0.7273,0.121605,[ 7 50] ; [ 4 36],[ 6.46391753 50.53608247] ; [ 4.53608247 35.46391753],0
d1,1,0.776992,0.080226,[24 33] ; [18 22],[24.68041237 32.31958763] ; [17.31958763 22.68041237],0
p3,1,0.791874,0.069632,[19 38] ; [12 27],[18.40625 38.59375] ; [12.59375 26.40625],0
s6,1,0.806797,0.05981,[23 33] ; [17 22],[23.57894737 32.42105263] ; [16.42105263 22.57894737],0
s2,1,0.84418,0.038632,[15 41] ; [10 30],[14.58333333 41.41666667] ; [10.41666667 29.58333333],0
d2,1,0.863002,0.029775,[27 29] ; [20 20],[27.41666667 28.58333333] ; [19.58333333 20.41666667],0
n3,1,0.875931,0.024376,[11 11] ; [11 10],[11.25581395 10.74418605] ; [10.74418605 10.25581395],0
p6,1,0.898382,0.016309,[ 9 46] ; [ 6 33],[ 8.77659574 46.22340426] ; [ 6.22340426 32.77659574],0
p10,1,0.922123,0.009557,[ 8 48] ; [ 6 34],[ 8.16666667 47.83333333] ; [ 5.83333333 34.16666667],0
