Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.019126,5.489977,[2 9] ; [8 4],[4.7826087 6.2173913] ; [5.2173913 6.7826087],0
b2,1,0.028666,4.787537,[10 18] ; [ 2 20],[ 6.72 21.28] ; [ 5.28 16.72],0
b3,1,0.028666,4.787537,[10 18] ; [ 2 20],[ 6.72 21.28] ; [ 5.28 16.72],0
v2,1,0.03627,4.384366,[25 20] ; [12 25],[20.30487805 24.69512195] ; [16.69512195 20.30487805],0
n5,1,0.049929,3.843834,[37  8] ; [24 14],[33.07228916 11.92771084] ; [27.92771084 10.07228916],0
p10,1,0.072885,3.216833,[40  5] ; [28 10],[36.86746988  8.13253012] ; [31.13253012  6.86746988],0
p11,1,0.086217,2.943633,[37  8] ; [25 13],[33.61445783 11.38554217] ; [28.38554217  9.61445783],0
s8,1,0.104047,2.642387,[27 18] ; [16 22],[23.31325301 21.68674699] ; [19.68674699 18.31325301],0
n1,1,0.124656,2.357825,[5 3] ; [3 8],[3.36842105 4.63157895] ; [4.63157895 6.36842105],0
p9,1,0.127504,2.322639,[40  5] ; [29  9],[37.40963855  7.59036145] ; [31.59036145  6.40963855],0
v4,1,0.137217,2.2089,[40  5] ; [37  1],[41.74698795  3.25301205] ; [35.25301205  2.74698795],0
n3,1,0.140711,2.170163,[4 4] ; [9 2],[5.47368421 2.52631579] ; [7.52631579 3.47368421],0
b4,1,0.161715,1.958112,[24 21] ; [26 12],[27.10843373 17.89156627] ; [22.89156627 15.10843373],0
p5,1,0.18583,1.750371,[ 8 37] ; [ 3 35],[ 5.96385542 39.03614458] ; [ 5.03614458 32.96385542],0
s6,1,0.187404,1.737911,[36  8] ; [34  3],[38.02469136  5.97530864] ; [31.97530864  5.02469136],0
d5,1,0.214397,1.541482,[40  5] ; [30  8],[37.95180723  7.04819277] ; [32.04819277  5.95180723],0
v3,1,0.217666,1.519691,[18 27] ; [10 27],[15.36585366 29.63414634] ; [12.63414634 24.36585366],0
n6,1,0.222088,1.490831,[39  6] ; [29  9],[36.86746988  8.13253012] ; [31.13253012  6.86746988],0
n4,1,0.22669,1.461509,[36  9] ; [26 12],[33.61445783 11.38554217] ; [28.38554217  9.61445783],0
s3,1,0.242104,1.368301,[31 13] ; [31  7],[33.26829268 10.73170732] ; [28.73170732  9.26829268],0
u1,1,0.266574,1.234291,[13 32] ; [ 7 31],[10.84337349 34.15662651] ; [ 9.15662651 28.84337349],0
a7,1,0.28758,1.130918,[30 15] ; [21 17],[27.65060241 17.34939759] ; [23.34939759 14.65060241],0
a6,1,0.317946,0.997378,[26 19] ; [26 12],[28.19277108 16.80722892] ; [23.80722892 14.19277108],0
p1,1,0.335953,0.925813,[ 4 41] ; [ 6 32],[ 5.42168675 39.57831325] ; [ 4.57831325 33.42168675],0
n2,1,0.345099,0.891396,[5 3] ; [9 2],[5.89473684 2.10526316] ; [8.10526316 2.89473684],0
a1,1,0.392463,0.731296,[ 3 42] ; [ 1 37],[ 2.1686747 42.8313253] ; [ 1.8313253 36.1686747],0
r3,1,0.406984,0.687595,[42  3] ; [36  1],[42.80487805  2.19512195] ; [35.19512195  1.80487805],0
p8,1,0.44097,0.593756,[32 13] ; [24 14],[30.36144578 14.63855422] ; [25.63855422 12.36144578],0
a3,1,0.469349,0.523507,[34 11] ; [26 12],[32.53012048 12.46987952] ; [27.46987952 10.53012048],0
s2,1,0.496177,0.463104,[32 12] ; [25 13],[30.58536585 13.41463415] ; [26.41463415 11.58536585],0
d4,1,0.525175,0.403719,[39  6] ; [31  7],[37.95180723  7.04819277] ; [32.04819277  5.95180723],0
s5,1,0.534482,0.385864,[24 18] ; [17 17],[22.65789474 19.34210526] ; [18.34210526 15.65789474],0
p4,1,0.563965,0.332885,[37  8] ; [33  5],[37.95180723  7.04819277] ; [32.04819277  5.95180723],0
d1,1,0.582194,0.302701,[31 14] ; [24 14],[29.81927711 15.18072289] ; [25.18072289 12.81927711],0
p7,1,0.706309,0.141992,[37  8] ; [30  8],[36.3253012  8.6746988] ; [30.6746988  7.3253012],0
a4,1,0.734018,0.115454,[22 23] ; [20 18],[22.77108434 22.22891566] ; [19.22891566 18.77108434],0
