Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,3e-06,21.907268,[51 39] ; [116  21],[66.21145374 23.78854626] ; [100.78854626  36.21145374],1
d2,1,8e-06,19.905358,[19 71] ; [68 66],[34.95535714 55.04464286] ; [52.04464286 81.95535714],1
a4,1,9e-06,19.766972,[18 72] ; [67 69],[33.84955752 56.15044248] ; [51.15044248 84.84955752],1
d1,1,1.2e-05,19.163177,[25 66] ; [78 59],[41.10964912 49.89035088] ; [61.89035088 75.10964912],1
a3,1,5.4e-05,16.315056,[35 55] ; [90 46],[49.77876106 40.22123894] ; [75.22123894 60.77876106],1
d5,1,0.000144,14.450136,[51 40] ; [109  28],[63.85964912 27.14035088] ; [96.14035088 40.85964912],1
r1,1,0.001276,10.377642,[48 43] ; [100  36],[59.33039648 31.66960352] ; [88.66960352 47.33039648],0
a6,1,0.001948,9.598196,[49 42] ; [101  36],[59.86842105 31.13157895] ; [90.13157895 46.86842105],0
n4,1,0.003322,8.621836,[47 44] ; [97 40],[57.47368421 33.52631579] ; [86.52631579 50.47368421],0
a7,1,0.003942,8.310429,[52 38] ; [104  33],[61.85022026 28.14977974] ; [94.14977974 42.85022026],0
r2,1,0.005264,7.786587,[73 18] ; [126  10],[79.7753304 11.2246696] ; [119.2246696  16.7753304],0
r4,1,0.00599,7.553327,[59 32] ; [111  26],[67.85087719 23.14912281] ; [102.14912281  34.85087719],0
u1,1,0.006297,7.463281,[ 2 89] ; [ 17 120],[ 7.58333333 83.41666667] ; [ 11.41666667 125.58333333],0
s2,1,0.008466,6.932102,[14 75] ; [42 92],[22.34977578 66.65022422] ; [ 33.65022422 100.34977578],0
d3,1,0.012717,6.208088,[44 47] ; [89 48],[53.08333333 37.91666667] ; [79.91666667 57.08333333],0
v2,1,0.0159,5.813935,[27 56] ; [65 67],[35.51627907 47.48372093] ; [56.48372093 75.51627907],0
p10,1,0.020983,5.328171,[48 41] ; [94 42],[56.16888889 32.83111111] ; [85.83111111 50.16888889],0
v4,1,0.036746,4.362136,[71 20] ; [121  16],[76.63157895 14.36842105] ; [115.36842105  21.63157895],0
v1,1,0.038729,4.272731,[27 64] ; [58 76],[34.37777778 56.62222222] ; [50.62222222 83.37777778],0
