Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.003012,8.8,[42 24] ; [ 6 16],[36. 30.] ; [12. 10.],0
s8,1,0.007003,7.272105,[41 26] ; [ 7 17],[35.34065934 31.65934066] ; [12.65934066 11.34065934],0
d3,1,0.014241,6.007989,[36 31] ; [19  4],[40.94444444 26.05555556] ; [14.05555556  8.94444444],0
n4,1,0.047345,3.933088,[46 21] ; [11 13],[41.96703297 25.03296703] ; [15.03296703  8.96703297],0
n1,1,0.04854,3.891176,[8 9] ; [1 9],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
n5,1,0.076085,3.146613,[47 20] ; [12 12],[43.43956044 23.56043956] ; [15.56043956  8.43956044],0
p8,1,0.122827,2.380901,[26 39] ; [14 10],[29.21348315 35.78651685] ; [10.78651685 13.21348315],0
p11,1,0.149419,2.078174,[52 15] ; [15  9],[49.32967033 17.67032967] ; [17.67032967  6.32967033],0
r2,1,0.15335,2.03861,[56  8] ; [18  6],[53.81818182 10.18181818] ; [20.18181818  3.81818182],0
s6,1,0.156946,2.003412,[51 12] ; [16  8],[48.51724138 14.48275862] ; [18.48275862  5.51724138],0
n3,1,0.171857,1.866667,[12  6] ; [4 6],[10.28571429  7.71428571] ; [5.71428571 4.28571429],0
u1,1,0.174183,1.846565,[ 3 64] ; [ 3 21],[ 4.41758242 62.58241758] ; [ 1.58241758 22.41758242],0
a4,1,0.177643,1.817233,[18 49] ; [10 14],[20.61538462 46.38461538] ; [ 7.38461538 16.61538462],0
d4,1,0.191286,1.707685,[50 17] ; [21  3],[52.27472527 14.72527473] ; [18.72527473  5.27472527],0
d1,1,0.205091,1.605744,[29 38] ; [14 10],[31.65934066 35.34065934] ; [11.34065934 12.65934066],0
n6,1,0.239185,1.385388,[51 16] ; [21  3],[53.01098901 13.98901099] ; [18.98901099  5.01098901],0
a1,1,0.299983,1.074271,[ 6 61] ; [ 4 20],[ 7.36263736 59.63736264] ; [ 2.63736264 21.36263736],0
p1,1,0.313125,1.017446,[ 4 62] ; [ 3 21],[ 5.13333333 60.86666667] ; [ 1.86666667 22.13333333],0
a8,1,0.326053,0.964511,[ 8 57] ; [ 1 20],[ 6.80232558 58.19767442] ; [ 2.19767442 18.80232558],0
a5,1,0.333402,0.935638,[40 27] ; [17  7],[41.96703297 25.03296703] ; [15.03296703  8.96703297],0
p2,1,0.33928,0.913149,[53 13] ; [17  7],[51.33333333 14.66666667] ; [18.66666667  5.33333333],0
p3,1,0.374069,0.790101,[35 32] ; [10 14],[33.13186813 33.86813187] ; [11.86813187 12.13186813],0
u2,1,0.400501,0.706823,[15 12] ; [4 6],[13.86486486 13.13513514] ; [5.13513514 4.86486486],0
p9,1,0.404809,0.693994,[57  9] ; [19  5],[55.73333333 10.26666667] ; [20.26666667  3.73333333],0
v2,1,0.416819,0.659266,[28 35] ; [13 11],[29.68965517 33.31034483] ; [11.31034483 12.68965517],0
b3,1,0.435061,0.609274,[13 34] ; [ 2 10],[11.94915254 35.05084746] ; [3.05084746 8.94915254],0
b2,1,0.435061,0.609274,[13 34] ; [ 2 10],[11.94915254 35.05084746] ; [3.05084746 8.94915254],0
s5,1,0.451335,0.567297,[29 31] ; [ 9 14],[27.46987952 32.53012048] ; [10.53012048 12.46987952],0
d5,1,0.453627,0.561573,[47 20] ; [18  5],[48.38888889 18.61111111] ; [16.61111111  6.38888889],0
a6,1,0.457696,0.551523,[36 31] ; [15  9],[37.54945055 29.45054945] ; [13.45054945 10.54945055],0
v1,1,0.585096,0.298069,[33 30] ; [11 13],[31.86206897 31.13793103] ; [12.13793103 11.86206897],0
v4,1,0.598278,0.277601,[57  8] ; [22  2],[57.69662921  7.30337079] ; [21.30337079  2.69662921],0
b1,1,0.622025,0.243031,[29 38] ; [ 9 15],[27.97802198 39.02197802] ; [10.02197802 13.97802198],0
p5,1,0.649843,0.206098,[ 6 59] ; [ 3 21],[ 6.57303371 58.42696629] ; [ 2.42696629 21.57303371],0
p12,1,0.739367,0.110684,[ 4 63] ; [ 1 23],[ 3.68131868 63.31868132] ; [ 1.31868132 22.68131868],0
s4,1,0.740641,0.109564,[22 45] ; [ 7 17],[21.35164835 45.64835165] ; [ 7.64835165 16.35164835],0
p6,1,0.744446,0.106257,[25 41] ; [10 14],[25.66666667 40.33333333] ; [ 9.33333333 14.66666667],0
a2,1,0.765906,0.088646,[ 7 60] ; [ 2 22],[ 6.62637363 60.37362637] ; [ 2.37362637 21.62637363],0
p10,1,0.776266,0.080763,[54 12] ; [19  5],[53.53333333 12.46666667] ; [19.46666667  4.53333333],0
d2,1,0.780076,0.077964,[23 44] ; [ 9 15],[23.56043956 43.43956044] ; [ 8.43956044 15.56043956],0
a7,1,0.789154,0.071508,[40 27] ; [13 10],[39.45555556 27.54444444] ; [13.54444444  9.45555556],0
b4,1,0.80574,0.060479,[41 26] ; [14 10],[40.49450549 26.50549451] ; [14.50549451  9.49450549],0
u3,1,0.808514,0.05873,[15 12] ; [6 4],[15.32432432 11.67567568] ; [5.67567568 4.32432432],0
n2,1,0.825349,0.048696,[15  3] ; [8 2],[14.78571429  3.21428571] ; [8.21428571 1.78571429],0
