Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.219638,1.506736,[11 28] ; [10 13],[13.20967742 25.79032258] ; [ 7.79032258 15.20967742],0
p10,1,0.408723,0.682514,[13 27] ; [ 6 20],[11.51515152 28.48484848] ; [ 7.48484848 18.51515152],0
p2,1,0.630009,0.232048,[27 13] ; [19  7],[27.87878788 12.12121212] ; [18.12121212  7.87878788],0
p11,1,0.842599,0.03943,[21 19] ; [13 13],[20.60606061 19.39393939] ; [13.39393939 12.60606061],0
b1,1,0.852196,0.034714,[24 16] ; [15 11],[23.63636364 16.36363636] ; [15.36363636 10.63636364],0
