Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.035365,4.427471,[ 15 102] ; [2 2],[ 16.43801653 100.56198347] ; [0.56198347 3.43801653],0
a4,1,0.077263,3.121561,[38 79] ; [3 1],[39.6446281 77.3553719] ; [1.3553719 2.6446281],0
v1,1,0.10304,2.657848,[40 74] ; [3 1],[41.54237288 72.45762712] ; [1.45762712 2.54237288],0
r4,1,0.141868,2.157584,[72 45] ; [1 3],[70.58677686 46.41322314] ; [2.41322314 1.58677686],0
s8,1,0.176224,1.829184,[25 92] ; [2 2],[26.10743802 90.89256198] ; [0.89256198 3.10743802],0
r3,1,0.199656,1.644892,[90 26] ; [2 2],[88.93333333 27.06666667] ; [3.06666667 0.93333333],0
n5,1,0.293192,1.104905,[56 60] ; [3 1],[57.03333333 58.96666667] ; [1.96666667 2.03333333],0
p8,1,0.311523,1.024209,[31 84] ; [2 2],[31.8907563 83.1092437] ; [1.1092437 2.8907563],0
p7,1,0.322049,0.980608,[43 69] ; [2 1],[43.82608696 68.17391304] ; [1.17391304 1.82608696],0
a5,1,0.333634,0.934741,[59 58] ; [3 1],[59.95041322 57.04958678] ; [2.04958678 1.95041322],0
p4,1,0.351146,0.869313,[33 83] ; [2 2],[33.83333333 82.16666667] ; [1.16666667 2.83333333],0
p6,1,0.37766,0.778306,[17 98] ; [1 2],[17.54237288 97.45762712] ; [0.45762712 2.54237288],0
s3,1,0.396436,0.71911,[53 61] ; [1 3],[52.16949153 61.83050847] ; [1.83050847 2.16949153],0
a3,1,0.512296,0.429374,[68 48] ; [3 1],[68.63333333 47.36666667] ; [2.36666667 1.63333333],0
s6,1,0.512296,0.429374,[48 68] ; [1 3],[47.36666667 68.63333333] ; [1.63333333 2.36666667],0
d2,1,0.522352,0.409246,[40 76] ; [2 2],[40.6 75.4] ; [1.4 2.6],0
r1,1,0.538825,0.377722,[76 41] ; [2 2],[75.4214876 41.5785124] ; [2.5785124 1.4214876],0
d3,1,0.546314,0.363963,[69 46] ; [3 1],[69.57983193 45.42016807] ; [2.42016807 1.57983193],0
a6,1,0.57355,0.316779,[74 42] ; [2 2],[73.46666667 42.53333333] ; [2.53333333 1.46666667],0
a7,1,0.589836,0.290601,[74 43] ; [2 2],[73.48760331 43.51239669] ; [2.51239669 1.48760331],0
v2,1,0.661048,0.192253,[43 67] ; [2 2],[43.42105263 66.57894737] ; [1.57894737 2.42105263],0
d1,1,0.667563,0.184466,[46 71] ; [2 2],[46.41322314 70.58677686] ; [1.58677686 2.41322314],0
p2,1,0.766848,0.087912,[68 49] ; [2 1],[68.25 48.75] ; [1.75 1.25],0
n3,1,0.768278,0.086806,[29 19] ; [1 1],[28.8 19.2] ; [1.2 0.8],0
b2,1,0.772028,0.083939,[16 46] ; [1 2],[16.21538462 45.78461538] ; [0.78461538 2.21538462],0
b3,1,0.772028,0.083939,[16 46] ; [1 2],[16.21538462 45.78461538] ; [0.78461538 2.21538462],0
d4,1,0.843837,0.038804,[81 34] ; [3 1],[81.17647059 33.82352941] ; [2.82352941 1.17647059],0
s7,1,0.88077,0.022498,[31 78] ; [1 3],[30.86725664 78.13274336] ; [1.13274336 2.86725664],0
v3,1,0.907353,0.013544,[25 86] ; [1 3],[25.09565217 85.90434783] ; [0.90434783 3.09565217],0
v4,1,0.91826,0.010532,[88 26] ; [3 1],[87.91525424 26.08474576] ; [3.08474576 0.91525424],0
n4,1,0.986588,0.000283,[58 59] ; [2 2],[58.01652893 58.98347107] ; [1.98347107 2.01652893],0
