Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.002034,9.519022,[2 1] ; [ 11 102],[0.3362069 2.6637931] ; [ 12.6637931 100.3362069],0
p5,1,0.016989,5.697542,[1 2] ; [  5 121],[0.13953488 2.86046512] ; [  5.86046512 120.13953488],0
p6,1,0.069079,3.304778,[2 1] ; [27 96],[0.69047619 2.30952381] ; [28.30952381 94.69047619],0
p10,1,0.103933,2.644127,[2 1] ; [31 93],[0.77952756 2.22047244] ; [32.22047244 91.77952756],0
n6,1,0.152563,2.046435,[1 2] ; [90 36],[2.11627907 0.88372093] ; [88.88372093 37.11627907],0
a7,1,0.215257,1.535714,[1 2] ; [85 41],[2. 1.] ; [84. 42.],0
p8,1,0.228743,1.448663,[2 1] ; [42 84],[1.02325581 1.97674419] ; [42.97674419 83.02325581],0
v3,1,0.248041,1.334305,[2 1] ; [42 80],[1.056 1.944] ; [42.944 79.056],0
b4,1,0.256576,1.287136,[1 2] ; [82 44],[1.93023256 1.06976744] ; [81.06976744 44.93023256],0
p3,1,0.261651,1.260001,[2 1] ; [44 81],[1.078125 1.921875] ; [44.921875 80.078125],0
p2,1,0.270906,1.212154,[1 2] ; [81 45],[1.90697674 1.09302326] ; [80.09302326 45.90697674],0
s2,1,0.272149,1.205885,[2 1] ; [44 79],[1.0952381 1.9047619] ; [44.9047619 78.0952381],0
s4,1,0.277279,1.180377,[1 2] ; [ 15 108],[0.38095238 2.61904762] ; [ 15.61904762 107.38095238],0
a6,1,0.285499,1.140726,[1 2] ; [80 46],[1.88372093 1.11627907] ; [79.11627907 46.88372093],0
a3,1,0.362162,0.830384,[1 2] ; [75 51],[1.76744186 1.23255814] ; [74.23255814 51.76744186],0
p11,1,0.394437,0.725219,[1 2] ; [73 53],[1.72093023 1.27906977] ; [72.27906977 53.72093023],0
v2,1,0.406222,0.68983,[2 1] ; [52 70],[1.296 1.704] ; [52.704 69.296],0
p4,1,0.469447,0.523277,[2 1] ; [57 68],[1.3828125 1.6171875] ; [57.6171875 67.3828125],0
d2,1,0.568261,0.325601,[1 2] ; [63 63],[1.48837209 1.51162791] ; [62.51162791 63.48837209],0
d1,1,0.643335,0.214406,[1 2] ; [59 67],[1.39534884 1.60465116] ; [58.60465116 67.39534884],0
n5,1,0.72159,0.126974,[2 1] ; [71 55],[1.69767442 1.30232558] ; [71.30232558 54.69767442],0
b5,1,0.741664,0.10867,[2 1] ; [72 54],[1.72093023 1.27906977] ; [72.27906977 53.72093023],0
d5,1,0.755519,0.096952,[2 1] ; [94 32],[2.23255814 0.76744186] ; [93.76744186 32.23255814],0
d4,1,0.762195,0.091567,[2 1] ; [93 32],[2.2265625 0.7734375] ; [92.7734375 32.2265625],0
s8,1,0.820789,0.051316,[1 2] ; [34 90],[0.82677165 2.17322835] ; [34.17322835 89.82677165],0
d3,1,0.824085,0.049415,[2 1] ; [76 50],[1.81395349 1.18604651] ; [76.18604651 49.81395349],0
n4,1,0.929783,0.007765,[2 1] ; [87 39],[2.06976744 0.93023256] ; [86.93023256 39.06976744],0
u2,1,0.955731,0.003081,[1 1] ; [26 24],[1.03846154 0.96153846] ; [25.96153846 24.03846154],0
