Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,32.282779,[287  47] ; [23 22],[273.19261214  60.80738786] ; [36.80738786  8.19261214],1
p9,1,0.0,27.81952,[307  25] ; [30 15],[296.77453581  35.22546419] ; [40.22546419  4.77453581],1
p8,1,1e-06,24.230582,[233  98] ; [15 30],[218.31914894 112.68085106] ; [29.68085106 15.31914894],1
p7,1,7e-06,20.17699,[263  68] ; [22 23],[250.89095745  80.10904255] ; [34.10904255 10.89095745],1
p10,1,0.000194,13.891512,[299  32] ; [32 13],[291.3856383  39.6143617] ; [39.6143617  5.3856383],1
p6,1,0.000688,11.522192,[177 153] ; [12 33],[166.32 163.68] ; [22.68 22.32],1
d5,1,0.001043,10.749236,[291  42] ; [31 14],[283.66666667  49.33333333] ; [38.33333333  6.66666667],0
a3,1,0.004878,7.924184,[262  70] ; [27 18],[254.50397878  77.49602122] ; [34.49602122 10.50397878],0
s1,1,0.005165,7.820662,[  9 323] ; [ 5 40],[ 12.32891247 319.67108753] ; [ 1.67108753 43.32891247],0
d3,1,0.005318,7.768161,[239  95] ; [23 22],[230.89182058 103.10817942] ; [31.10817942 13.89182058],0
v4,1,0.009096,6.803959,[322  10] ; [40  5],[318.79045093  13.20954907] ; [43.20954907  1.79045093],0
d4,1,0.013237,6.137126,[285  48] ; [32 13],[279.26190476  53.73809524] ; [37.73809524  7.26190476],0
s7,1,0.013855,6.056558,[192 120] ; [18 25],[184.56338028 127.43661972] ; [25.43661972 17.56338028],0
v1,1,0.021255,5.305785,[208 119] ; [19 23],[201.16260163 125.83739837] ; [25.83739837 16.16260163],0
r4,1,0.025661,4.978716,[313  21] ; [38  7],[309.32453826  24.67546174] ; [41.67546174  3.32453826],0
a2,1,0.040506,4.196545,[101 233] ; [ 7 38],[ 95.176781 238.823219] ; [12.823219 32.176781],0
p11,1,0.04645,3.965218,[284  50] ; [33 12],[279.36147757  54.63852243] ; [37.63852243  7.36147757],0
s6,1,0.078968,3.086005,[234  88] ; [27 18],[228.9972752  93.0027248] ; [32.0027248 12.9972752],0
n6,1,0.08812,2.908379,[307  27] ; [37  7],[303.95767196  30.04232804] ; [40.04232804  3.95767196],0
v3,1,0.106382,2.607159,[163 161] ; [16 27],[158.02724796 165.97275204] ; [20.97275204 22.02724796],0
r3,1,0.13285,2.258878,[318  13] ; [41  4],[316.03457447  14.96542553] ; [42.96542553  2.03457447],0
p5,1,0.146893,2.104224,[ 70 263] ; [ 5 38],[ 66.42287234 266.57712766] ; [ 8.57712766 34.42287234],0
s5,1,0.148144,2.091254,[130 187] ; [12 29],[125.73743017 191.26256983] ; [16.26256983 24.73743017],0
u2,1,0.151681,2.055267,[41 30] ; [ 7 11],[38.29213483 32.70786517] ; [9.70786517 8.29213483],0
d1,1,0.174328,1.845324,[220 114] ; [25 20],[215.91029024 118.08970976] ; [29.08970976 15.91029024],0
n3,1,0.184544,1.760643,[33 10] ; [13  1],[34.70175439  8.29824561] ; [11.29824561  2.70175439],0
v2,1,0.201627,1.630547,[206 120] ; [24 21],[202.10242588 123.89757412] ; [27.89757412 17.10242588],0
n5,1,0.220169,1.503266,[295  38] ; [37  8],[292.47619048  40.52380952] ; [39.52380952  5.47619048],0
b1,1,0.223156,1.483958,[146 188] ; [24 21],[149.81530343 184.18469657] ; [20.18469657 24.81530343],0
s2,1,0.226363,1.463569,[185 144] ; [21 24],[181.21390374 147.78609626] ; [24.78609626 20.21390374],0
n2,1,0.239235,1.385097,[30 13] ; [12  2],[31.68421053 11.31578947] ; [10.31578947  3.68421053],0
s8,1,0.246719,1.341788,[177 153] ; [20 25],[173.36 156.64] ; [23.64 21.36],0
a7,1,0.250137,1.322538,[242  91] ; [29 16],[238.73809524  94.26190476] ; [32.26190476 12.73809524],0
a5,1,0.282044,1.157214,[268  66] ; [33 12],[265.26121372  68.73878628] ; [35.73878628  9.26121372],0
p12,1,0.286549,1.135764,[ 40 292] ; [ 3 42],[ 37.86737401 294.13262599] ; [ 5.13262599 39.86737401],0
r1,1,0.290959,1.115177,[279  53] ; [35 10],[276.5198939  55.4801061] ; [37.4801061  7.5198939],0
a4,1,0.364046,0.823888,[172 161] ; [20 25],[169.14285714 163.85714286] ; [22.85714286 22.14285714],0
