Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.106139,[ 13 120] ; [14 16],[ 22.03067485 110.96932515] ; [ 4.96932515 25.03067485],1
p6,1,0.000323,12.929369,[ 25 106] ; [14 13],[32.33544304 98.66455696] ; [ 6.66455696 20.33544304],1
b5,1,0.002155,9.412432,[85 48] ; [10 20],[77.51533742 55.48466258] ; [17.48466258 12.51533742],0
s6,1,0.003586,8.48258,[41 89] ; [18 12],[47.9375 82.0625] ; [11.0625 18.9375],0
a3,1,0.004344,8.134038,[48 83] ; [19 10],[54.85625 76.14375] ; [12.14375 16.85625],0
p4,1,0.004742,7.975385,[42 88] ; [18 12],[48.75 81.25] ; [11.25 18.75],0
p7,1,0.005419,7.73395,[54 75] ; [21  9],[60.8490566 68.1509434] ; [14.1509434 15.8490566],0
p3,1,0.009244,6.774985,[38 95] ; [16 14],[44.06134969 88.93865031] ; [ 9.93865031 20.06134969],0
v3,1,0.010644,6.523824,[34 96] ; [15 15],[39.8125 90.1875] ; [ 9.1875 20.8125],0
d4,1,0.015473,5.861793,[74 58] ; [24  6],[79.85185185 52.14814815] ; [18.14814815 11.85185185],0
v1,1,0.033234,4.533659,[42 87] ; [16 14],[47.05660377 81.94339623] ; [10.94339623 19.05660377],0
p8,1,0.049584,3.855481,[45 87] ; [16 14],[49.7037037 82.2962963] ; [11.2962963 18.7037037],0
n6,1,0.052862,3.748271,[92 41] ; [26  4],[96.28220859 36.71779141] ; [21.71779141  8.28220859],0
p10,1,0.07923,3.08062,[71 59] ; [21  8],[75.22012579 54.77987421] ; [16.77987421 12.22012579],0
r4,1,0.103372,2.652728,[91 42] ; [25  5],[94.65030675 38.34969325] ; [21.34969325  8.65030675],0
b3,1,0.109046,2.567995,[19 49] ; [ 9 10],[21.88505747 46.11494253] ; [ 6.11494253 12.88505747],0
b2,1,0.109046,2.567995,[19 49] ; [ 9 10],[21.88505747 46.11494253] ; [ 6.11494253 12.88505747],0
d5,1,0.112808,2.514439,[72 61] ; [21  9],[75.88343558 57.11656442] ; [17.11656442 12.88343558],0
n4,1,0.140923,2.167849,[73 59] ; [21  9],[76.59259259 55.40740741] ; [17.40740741 12.59259259],0
p5,1,0.152944,2.042639,[  5 128] ; [ 3 27],[  6.52760736 126.47239264] ; [ 1.47239264 28.52760736],0
d2,1,0.169433,1.887957,[33 99] ; [ 4 26],[ 30.14814815 101.85185185] ; [ 6.85185185 23.14814815],0
d3,1,0.172631,1.859944,[61 71] ; [18 12],[64.37037037 67.62962963] ; [14.62962963 15.37037037],0
s3,1,0.18773,1.735342,[32 97] ; [11 19],[34.88679245 94.11320755] ; [ 8.11320755 21.88679245],0
s5,1,0.200026,1.642185,[ 15 113] ; [ 6 23],[ 17.12101911 110.87898089] ; [ 3.87898089 25.12101911],0
p2,1,0.208812,1.579645,[91 42] ; [24  6],[93.83435583 39.16564417] ; [21.16564417  8.83435583],0
a7,1,0.21012,1.570598,[76 56] ; [21  9],[79.03703704 52.96296296] ; [17.96296296 12.03703704],0
a6,1,0.23978,1.381887,[64 69] ; [18 12],[66.90797546 66.09202454] ; [15.09202454 14.90797546],0
r3,1,0.277726,1.178182,[108  24] ; [27  3],[110.  22.] ; [25.  5.],0
u2,1,0.282887,1.153166,[39 45] ; [7 4],[40.67368421 43.32631579] ; [5.32631579 5.67368421],0
v4,1,0.369117,0.806634,[111  22] ; [27  3],[112.60122699  20.39877301] ; [25.39877301  4.60122699],0
n3,1,0.401066,0.705128,[33 12] ; [6 4],[31.90909091 13.09090909] ; [7.09090909 2.90909091],0
p1,1,0.4091,0.681415,[ 10 123] ; [ 1 29],[  8.97546012 124.02453988] ; [ 2.02453988 27.97546012],0
a4,1,0.417964,0.656033,[ 26 106] ; [ 4 26],[ 24.44444444 107.55555556] ; [ 5.55555556 24.44444444],0
r1,1,0.422852,0.642374,[73 59] ; [19 11],[74.96296296 57.03703704] ; [17.03703704 12.96296296],0
a8,1,0.446628,0.579194,[ 13 114] ; [ 4 22],[ 14.11111111 112.88888889] ; [ 2.88888889 23.11111111],0
p11,1,0.449005,0.573163,[88 45] ; [22  8],[89.75460123 43.24539877] ; [20.24539877  9.75460123],0
u3,1,0.537699,0.379821,[38 47] ; [6 5],[38.95833333 46.04166667] ; [5.04166667 5.95833333],0
d1,1,0.557274,0.344446,[ 33 100] ; [ 9 21],[34.26993865 98.73006135] ; [ 7.73006135 22.26993865],0
r2,1,0.635555,0.224603,[109  23] ; [25  4],[109.86335404  22.13664596] ; [24.13664596  4.86335404],0
n1,1,0.688404,0.160819,[15 30] ; [4 6],[15.54545455 29.45454545] ; [3.45454545 6.54545455],0
v2,1,0.691733,0.157216,[51 74] ; [13 16],[51.94805195 73.05194805] ; [12.05194805 16.94805195],0
s1,1,0.768194,0.086871,[  6 126] ; [ 1 29],[  5.7037037 126.2962963] ; [ 1.2962963 28.7037037],0
s4,1,0.830134,0.046023,[ 15 117] ; [ 3 27],[ 14.66666667 117.33333333] ; [ 3.33333333 26.66666667],0
b4,1,0.832702,0.044621,[77 56] ; [18 12],[77.51533742 55.48466258] ; [17.48466258 12.51533742],0
b1,1,0.835213,0.043273,[47 86] ; [10 20],[46.50920245 86.49079755] ; [10.49079755 19.50920245],0
p12,1,0.930968,0.007504,[  4 128] ; [ 1 29],[  4.07407407 127.92592593] ; [ 0.92592593 29.07407407],0
n2,1,0.936359,0.006375,[27 17] ; [6 4],[26.88888889 17.11111111] ; [6.11111111 3.88888889],0
n5,1,0.953407,0.003414,[75 56] ; [17 13],[74.85714286 56.14285714] ; [17.14285714 12.85714286],0
p9,1,0.957299,0.002867,[86 44] ; [20 10],[86.125 43.875] ; [19.875 10.125],0
