Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000211,13.731154,[ 8 42] ; [13  9],[14.58333333 35.41666667] ; [ 6.41666667 15.58333333],1
s6,1,0.000235,13.53104,[16 36] ; [17  5],[23.18918919 28.81081081] ; [ 9.81081081 12.18918919],1
p6,1,0.000307,13.024425,[ 6 48] ; [10 10],[11.67567568 42.32432432] ; [ 4.32432432 15.67567568],1
a5,1,0.000684,11.531112,[21 33] ; [18  4],[27.71052632 26.28947368] ; [11.28947368 10.71052632],1
p4,1,0.001329,10.302316,[15 38] ; [15  7],[21.2 31.8] ; [ 8.8 13.2],0
p8,1,0.001919,9.625764,[12 42] ; [13  9],[17.76315789 36.23684211] ; [ 7.23684211 14.76315789],0
s4,1,0.002051,9.503221,[ 7 47] ; [10 12],[12.07894737 41.92105263] ; [ 4.92105263 17.07894737],0
p1,1,0.002208,9.368094,[ 1 53] ; [ 5 17],[ 4.26315789 49.73684211] ; [ 1.73684211 20.26315789],0
p7,1,0.002341,9.260959,[23 30] ; [18  4],[28.97333333 24.02666667] ; [12.02666667  9.97333333],0
s7,1,0.007906,7.054588,[ 7 43] ; [ 9 12],[11.26760563 38.73239437] ; [ 4.73239437 16.26760563],0
d1,1,0.009793,6.672154,[11 43] ; [11 11],[15.63157895 38.36842105] ; [ 6.36842105 15.63157895],0
d4,1,0.019734,5.435249,[31 22] ; [19  3],[35.33333333 17.66666667] ; [14.66666667  7.33333333],0
n5,1,0.035013,4.444522,[26 27] ; [ 5 17],[21.90666667 31.09333333] ; [ 9.09333333 12.90666667],0
s2,1,0.047088,3.942244,[16 37] ; [12 10],[19.78666667 33.21333333] ; [ 8.21333333 13.78666667],0
d3,1,0.086204,2.943874,[18 36] ; [12 10],[21.31578947 32.68421053] ; [ 8.68421053 13.31578947],0
p2,1,0.112039,2.52522,[26 28] ; [15  7],[29.13157895 24.86842105] ; [11.86842105 10.13157895],0
u2,1,0.128822,2.306645,[12 15] ; [6 2],[13.88571429 13.11428571] ; [4.11428571 3.88571429],0
d5,1,0.148252,2.090145,[27 27] ; [15  7],[29.84210526 24.15789474] ; [12.15789474  9.84210526],0
r3,1,0.180488,1.793604,[42 12] ; [20  2],[44.05263158  9.94736842] ; [17.94736842  4.05263158],0
a4,1,0.18723,1.73928,[16 38] ; [10 12],[18.47368421 35.52631579] ; [ 7.52631579 14.47368421],0
n1,1,0.19765,1.659652,[ 7 20] ; [4 4],[ 8.48571429 18.51428571] ; [2.51428571 5.48571429],0
s3,1,0.211709,1.559698,[21 33] ; [12 10],[23.44736842 30.55263158] ; [ 9.55263158 12.44736842],0
b1,1,0.24664,1.342237,[24 30] ; [13  9],[26.28947368 27.71052632] ; [10.71052632 11.28947368],0
r4,1,0.289314,1.122809,[35 19] ; [17  5],[36.94736842 17.05263158] ; [15.05263158  6.94736842],0
v4,1,0.305898,1.048303,[46  7] ; [17  5],[44.52  8.48] ; [18.48  3.52],0
s8,1,0.307063,1.043265,[11 42] ; [ 7 15],[12.72 40.28] ; [ 5.28 16.72],0
a3,1,0.314735,1.010703,[27 26] ; [14  8],[28.97333333 24.02666667] ; [12.02666667  9.97333333],0
a1,1,0.394413,0.725293,[ 4 50] ; [ 3 19],[ 4.97368421 49.02631579] ; [ 2.02631579 19.97368421],0
n2,1,0.453255,0.5625,[21  7] ; [7 1],[21.77777778  6.22222222] ; [6.22222222 1.77777778],0
r2,1,0.49221,0.471691,[43 11] ; [19  3],[44.05263158  9.94736842] ; [17.94736842  4.05263158],0
v1,1,0.534444,0.385935,[20 33] ; [10 12],[21.2 31.8] ; [ 8.8 13.2],0
v3,1,0.545889,0.364733,[ 7 45] ; [ 4 17],[ 7.83561644 44.16438356] ; [ 3.16438356 17.83561644],0
a8,1,0.608769,0.261972,[ 4 47] ; [ 1 21],[ 3.49315068 47.50684932] ; [ 1.50684932 20.49315068],0
p9,1,0.63406,0.226595,[30 22] ; [14  8],[30.91891892 21.08108108] ; [13.08108108  8.91891892],0
d2,1,0.638965,0.220098,[19 35] ; [ 9 13],[19.89473684 34.10526316] ; [ 8.10526316 13.89473684],0
p11,1,0.638965,0.220098,[35 19] ; [13  9],[34.10526316 19.89473684] ; [13.89473684  8.10526316],0
r1,1,0.65945,0.194193,[30 24] ; [11 11],[29.13157895 24.86842105] ; [11.86842105 10.13157895],0
b4,1,0.668385,0.183497,[29 25] ; [13  9],[29.84210526 24.15789474] ; [12.15789474  9.84210526],0
n6,1,0.705823,0.142485,[32 22] ; [12 10],[31.26315789 22.73684211] ; [12.73684211  9.26315789],0
b2,1,0.747972,0.103243,[ 7 20] ; [4 9],[ 7.425 19.575] ; [3.575 9.425],0
b3,1,0.747972,0.103243,[ 7 20] ; [4 9],[ 7.425 19.575] ; [3.575 9.425],0
b5,1,0.769315,0.086008,[29 25] ; [11 11],[28.42105263 25.57894737] ; [11.57894737 10.42105263],0
v2,1,0.773982,0.082467,[18 33] ; [ 7 15],[17.46575342 33.53424658] ; [ 7.53424658 14.46575342],0
p10,1,0.776195,0.080815,[27 26] ; [12 10],[27.56 25.44] ; [11.44 10.56],0
u3,1,0.781745,0.076754,[15 12] ; [4 4],[14.65714286 12.34285714] ; [4.34285714 3.65714286],0
a6,1,0.837159,0.042242,[21 33] ; [ 8 14],[20.60526316 33.39473684] ; [ 8.39473684 13.60526316],0
a2,1,0.858057,0.031987,[ 3 51] ; [ 1 21],[ 2.84210526 51.15789474] ; [ 1.15789474 20.84210526],0
s1,1,0.858057,0.031987,[ 3 51] ; [ 1 21],[ 2.84210526 51.15789474] ; [ 1.15789474 20.84210526],0
n3,1,0.98101,0.000567,[17 10] ; [5 3],[16.97142857 10.02857143] ; [5.02857143 2.97142857],0
