Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,22.07562,[10 48] ; [52 41],[23.81456954 34.18543046] ; [38.18543046 54.81456954],1
r4,1,0.001914,9.630547,[42 16] ; [85  8],[48.78145695  9.21854305] ; [78.21854305 14.78145695],0
p10,1,0.005556,7.688887,[37 20] ; [77 14],[43.90540541 13.09459459] ; [70.09459459 20.90540541],0
a6,1,0.0079,7.055896,[28 30] ; [65 28],[35.7218543 22.2781457] ; [57.2781457 35.7218543],0
p6,1,0.009975,6.639443,[11 46] ; [36 55],[18.10135135 38.89864865] ; [28.89864865 62.10135135],0
v3,1,0.013518,6.100059,[11 45] ; [36 56],[17.78378378 38.21621622] ; [29.21621622 62.78378378],0
v2,1,0.014648,5.958333,[17 35] ; [49 42],[24. 28.] ; [42. 49.],0
n6,1,0.023945,5.098627,[42 16] ; [81 12],[47.24503311 10.75496689] ; [75.75496689 17.24503311],0
b5,1,0.024911,5.03003,[26 32] ; [59 34],[32.64900662 25.35099338] ; [52.35099338 40.64900662],0
a2,1,0.025568,4.984975,[ 1 57] ; [11 82],[ 4.60927152 53.39072848] ; [ 7.39072848 85.60927152],0
d4,1,0.027736,4.844423,[23 35] ; [54 39],[29.57615894 28.42384106] ; [47.42384106 45.57615894],0
r1,1,0.028457,4.800182,[36 22] ; [73 20],[41.86754967 16.13245033] ; [67.13245033 25.86754967],0
p2,1,0.035912,4.401279,[37 21] ; [73 19],[42.53333333 15.46666667] ; [67.46666667 24.53333333],0
p4,1,0.035921,4.40086,[20 37] ; [48 43],[26.18918919 30.81081081] ; [41.81081081 49.18918919],0
s2,1,0.052117,3.772018,[18 39] ; [43 47],[23.65306122 33.34693878] ; [37.34693878 52.65306122],0
s7,1,0.054952,3.683556,[17 39] ; [40 46],[22.47887324 33.52112676] ; [34.52112676 51.47887324],0
r2,1,0.055905,3.654893,[46 11] ; [85  8],[49.78  7.22] ; [81.22 11.78],0
d1,1,0.055937,3.653941,[ 1 57] ; [ 9 84],[ 3.8410596 54.1589404] ; [ 6.1589404 86.8410596],0
v4,1,0.067631,3.339595,[51  6] ; [90  3],[53.58  3.42] ; [87.42  5.58],0
u3,1,0.071378,3.251046,[12 19] ; [23 15],[15.72463768 15.27536232] ; [19.27536232 18.72463768],0
a5,1,0.073405,3.205188,[25 33] ; [54 39],[30.34437086 27.65562914] ; [48.65562914 44.34437086],0
a3,1,0.13096,2.281091,[27 31] ; [55 38],[31.49668874 26.50331126] ; [50.50331126 42.49668874],0
p5,1,0.135529,2.228008,[ 4 53] ; [14 78],[ 6.88590604 50.11409396] ; [11.11409396 80.88590604],0
p9,1,0.136057,2.221995,[44 14] ; [77 13],[47.41891892 10.58108108] ; [73.58108108 16.41891892],0
r3,1,0.144699,2.127265,[51  7] ; [87  5],[53.36  4.64] ; [84.64  7.36],0
p7,1,0.166131,1.917514,[29 28] ; [55 33],[33.02068966 23.97931034] ; [50.97931034 37.02068966],0
n3,1,0.166485,1.914312,[13  4] ; [15  1],[14.42424242  2.57575758] ; [13.57575758  2.42424242],0
b1,1,0.223556,1.481396,[27 31] ; [34 59],[23.43046358 34.56953642] ; [37.56953642 55.43046358],0
u1,1,0.263789,1.248761,[ 1 57] ; [ 5 88],[ 2.30463576 55.69536424] ; [ 3.69536424 89.30463576],0
p8,1,0.284469,1.145613,[27 31] ; [50 40],[30.17567568 27.82432432] ; [46.82432432 43.17567568],0
s1,1,0.294811,1.097519,[ 4 52] ; [ 3 87],[ 2.68493151 53.31506849] ; [ 4.31506849 85.68493151],0
a4,1,0.302337,1.063858,[10 47] ; [23 70],[12.54 44.46] ; [20.46 72.54],0
s6,1,0.337503,0.919893,[30 27] ; [54 35],[32.79452055 24.20547945] ; [51.20547945 37.79452055],0
p1,1,0.363661,0.82521,[10 48] ; [11 81],[ 8.12 49.88] ; [12.88 79.12],0
s5,1,0.383082,0.760789,[13 42] ; [27 62],[15.27777778 39.72222222] ; [24.72222222 64.27777778],0
n1,1,0.392147,0.732274,[ 5 12] ; [7 9],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
n4,1,0.41968,0.651212,[36 22] ; [63 29],[38.28 19.72] ; [60.72 31.28],0
b4,1,0.422752,0.642652,[33 25] ; [59 34],[35.33774834 22.66225166] ; [56.66225166 36.33774834],0
s3,1,0.463732,0.536871,[27 29] ; [49 41],[29.15068493 26.84931507] ; [46.84931507 43.15068493],0
n2,1,0.475067,0.510165,[12  5] ; [13  3],[12.87878788  4.12121212] ; [12.12121212  3.87878788],0
v1,1,0.527569,0.399072,[24 34] ; [42 48],[25.86486486 32.13513514] ; [40.13513514 49.86486486],0
d2,1,0.537185,0.380781,[15 43] ; [20 73],[13.44370861 44.55629139] ; [21.55629139 71.44370861],0
n5,1,0.608783,0.261952,[38 19] ; [65 27],[39.40268456 17.59731544] ; [63.59731544 28.40268456],0
p12,1,0.624077,0.240179,[ 5 53] ; [10 80],[ 5.87837838 52.12162162] ; [ 9.12162162 80.87837838],0
