Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,53.041792,[157   8] ; [5 9],[149.32960894  15.67039106] ; [12.67039106  1.32960894],1
n6,1,0.002769,8.954009,[147  15] ; [9 5],[143.59090909  18.40909091] ; [12.40909091  1.59090909],0
s1,1,0.00745,7.161125,[  3 158] ; [ 2 12],[  4.6 156.4] ; [ 0.4 13.6],0
a5,1,0.008162,6.99767,[141  25] ; [8 6],[137.41111111  28.58888889] ; [11.58888889  2.41111111],0
b1,1,0.010778,6.501621,[ 61 105] ; [10  4],[ 65.47777778 100.52222222] ; [5.52222222 8.47777778],0
p8,1,0.01369,6.077649,[112  52] ; [5 9],[107.79775281  56.20224719] ; [9.20224719 4.79775281],0
p11,1,0.021172,5.312566,[137  29] ; [8 6],[133.72222222  32.27777778] ; [11.27777778  2.72222222],0
n5,1,0.040354,4.202953,[140  24] ; [9 5],[137.28089888  26.71910112] ; [11.71910112  2.28089888],0
d4,1,0.049523,3.857533,[153  11] ; [11  3],[151.1011236  12.8988764] ; [12.8988764  1.1011236],0
s6,1,0.08506,2.965458,[144  20] ; [10  4],[141.88764045  22.11235955] ; [12.11235955  1.88764045],0
d1,1,0.089044,2.891566,[119  47] ; [7 7],[116.2  49.8] ; [9.8 4.2],0
v4,1,0.0984,2.731283,[162   2] ; [13  1],[161.23595506   2.76404494] ; [13.76404494  0.23595506],0
p6,1,0.102419,2.667468,[89 75] ; [4 9],[86.16949153 77.83050847] ; [6.83050847 6.16949153],0
b3,1,0.10368,2.648007,[52 51] ; [2 7],[49.66071429 53.33928571] ; [4.33928571 4.66071429],0
b2,1,0.10368,2.648007,[52 51] ; [2 7],[49.66071429 53.33928571] ; [4.33928571 4.66071429],0
p3,1,0.124058,2.365329,[105  60] ; [6 8],[102.31843575  62.68156425] ; [8.68156425 5.31843575],0
a7,1,0.124643,2.357981,[116  50] ; [7 7],[113.43333333  52.56666667] ; [9.56666667 4.43333333],0
r4,1,0.137553,2.205123,[158   8] ; [12  2],[156.77777778   9.22222222] ; [13.22222222  0.77777778],0
p7,1,0.159524,1.978736,[128  35] ; [8 5],[125.95454545  37.04545455] ; [10.04545455  2.95454545],0
a3,1,0.217793,1.518857,[139  26] ; [10  4],[137.34636872  27.65363128] ; [11.65363128  2.34636872],0
p4,1,0.242185,1.36783,[118  46] ; [8 6],[116.08988764  47.91011236] ; [9.91011236 4.08988764],0
s3,1,0.28758,1.130918,[117  44] ; [12  2],[118.68  42.32] ; [10.32  3.68],0
v3,1,0.304702,1.053502,[82 82] ; [9 5],[83.84269663 80.15730337] ; [7.15730337 6.84269663],0
u2,1,0.315905,1.005826,[13 14] ; [3 1],[13.93548387 13.06451613] ; [2.06451613 1.93548387],0
u3,1,0.322203,0.979985,[20  7] ; [2 2],[19.16129032  7.83870968] ; [2.83870968 1.16129032],0
p2,1,0.353482,0.860916,[145  21] ; [11  3],[143.86666667  22.13333333] ; [12.13333333  1.86666667],0
s8,1,0.392885,0.729993,[112  52] ; [8 6],[110.56179775  53.43820225] ; [9.43820225 4.56179775],0
d3,1,0.402259,0.701562,[123  42] ; [9 5],[121.67597765  43.32402235] ; [10.32402235  3.67597765],0
s7,1,0.41061,0.677034,[108  51] ; [8 6],[106.61271676  52.38728324] ; [9.38728324 4.61271676],0
s4,1,0.411919,0.673256,[ 39 124] ; [ 2 12],[ 37.75706215 125.24293785] ; [ 3.24293785 10.75706215],0
a4,1,0.413257,0.669412,[90 76] ; [6 8],[88.53333333 77.46666667] ; [7.46666667 6.53333333],0
p1,1,0.442986,0.588535,[ 24 141] ; [ 1 13],[ 23.04469274 141.95530726] ; [ 1.95530726 12.04469274],0
b4,1,0.459392,0.547376,[102  64] ; [10  4],[103.28888889  62.71111111] ; [8.71111111 5.28888889],0
a6,1,0.465585,0.532436,[101  63] ; [10  4],[102.26966292  61.73033708] ; [8.73033708 5.26966292],0
r2,1,0.515809,0.422265,[159   6] ; [13  1],[158.54748603   6.45251397] ; [13.45251397  0.54748603],0
b5,1,0.578036,0.30942,[94 72] ; [9 5],[94.98888889 71.01111111] ; [8.01111111 5.98888889],0
d5,1,0.648446,0.207865,[147  17] ; [12  2],[146.49438202  17.50561798] ; [12.50561798  1.49438202],0
v2,1,0.695082,0.153639,[109  54] ; [8 5],[108.35795455  54.64204545] ; [8.64204545 4.35795455],0
u1,1,0.708286,0.139995,[ 40 126] ; [ 4 10],[ 40.57777778 125.42222222] ; [ 3.42222222 10.57777778],0
n4,1,0.747664,0.103504,[135  29] ; [12  2],[135.43820225  28.56179775] ; [11.56179775  2.43820225],0
p5,1,0.74794,0.10327,[ 42 124] ; [ 3 11],[ 41.5 124.5] ; [ 3.5 10.5],0
n1,1,0.774207,0.082298,[17 15] ; [3 2],[17.2972973 14.7027027] ; [2.7027027 2.2972973],0
d2,1,0.851297,0.035142,[90 75] ; [8 6],[90.33519553 74.66480447] ; [7.66480447 6.33519553],0
n3,1,0.919549,0.010201,[20 11] ; [4 2],[20.10810811 10.89189189] ; [3.89189189 2.10810811],0
a2,1,0.940511,0.005569,[ 49 117] ; [ 4 10],[ 48.87777778 117.12222222] ; [4.12222222 9.87777778],0
s2,1,0.950819,0.003804,[130  34] ; [11  3],[129.91011236  34.08988764] ; [11.08988764  2.91011236],0
a8,1,0.972829,0.00116,[ 23 130] ; [ 2 11],[ 23.04216867 129.95783133] ; [ 1.95783133 11.04216867],0
r1,1,0.97845,0.00073,[141  23] ; [12  2],[140.96629213  23.03370787] ; [12.03370787  1.96629213],0
