Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.239484,[ 8 55] ; [26 23],[19.125 43.875] ; [14.875 34.125],1
u1,1,0.001881,9.661836,[ 5 58] ; [15 34],[11.25 51.75] ; [ 8.75 40.25],0
v1,1,0.004582,8.037297,[28 33] ; [35 13],[35.25688073 25.74311927] ; [27.74311927 20.25688073],0
d2,1,0.00516,7.82246,[26 36] ; [33 15],[33.25454545 28.74545455] ; [25.74545455 22.25454545],0
p12,1,0.006496,7.407407,[ 4 59] ; [12 37],[ 9. 54.] ; [ 7. 42.],0
r4,1,0.007015,7.269069,[47 16] ; [46  3],[52.3125 10.6875] ; [40.6875  8.3125],0
s6,1,0.007789,7.081427,[34 28] ; [38 10],[40.58181818 21.41818182] ; [31.41818182 16.58181818],0
d1,1,0.011311,6.415712,[30 33] ; [35 14],[36.5625 26.4375] ; [28.4375 20.5625],0
p2,1,0.01889,5.511661,[34 29] ; [37 12],[39.9375 23.0625] ; [31.0625 17.9375],0
p8,1,0.020618,5.358821,[12 51] ; [19 30],[17.4375 45.5625] ; [13.5625 35.4375],0
s5,1,0.021157,5.313813,[10 50] ; [17 30],[15.14018692 44.85981308] ; [11.85981308 35.14018692],0
r1,1,0.023909,5.101201,[44 19] ; [43  6],[48.9375 14.0625] ; [38.0625 10.9375],0
s2,1,0.024735,5.04232,[26 37] ; [29 17],[31.78899083 31.21100917] ; [23.21100917 22.78899083],0
d3,1,0.035658,4.413373,[37 26] ; [38 11],[42.1875 20.8125] ; [32.8125 16.1875],0
d5,1,0.036714,4.363636,[45 18] ; [43  6],[49.5 13.5] ; [38.5 10.5],0
n6,1,0.036714,4.363636,[45 18] ; [43  6],[49.5 13.5] ; [38.5 10.5],0
a1,1,0.039567,4.236366,[ 8 55] ; [ 1 48],[ 5.0625 57.9375] ; [ 3.9375 45.0625],0
p10,1,0.050631,3.820433,[39 24] ; [38 10],[43.7027027 19.2972973] ; [33.2972973 14.7027027],0
r3,1,0.067705,3.337806,[53  9] ; [47  2],[55.85585586  6.14414414] ; [44.14414414  4.85585586],0
n5,1,0.09169,2.844444,[41 22] ; [39 10],[45. 18.] ; [35. 14.],0
v2,1,0.093383,2.815063,[40 22] ; [38 10],[43.96363636 18.03636364] ; [34.03636364 13.96363636],0
a8,1,0.106612,2.603735,[ 7 52] ; [ 1 37],[ 4.86597938 54.13402062] ; [ 3.13402062 34.86597938],0
s7,1,0.129346,2.300336,[22 37] ; [23 21],[25.77669903 33.22330097] ; [19.22330097 24.77669903],0
s8,1,0.174869,1.840703,[24 39] ; [24 23],[27.49090909 35.50909091] ; [20.50909091 26.49090909],0
d4,1,0.193514,1.690657,[47 15] ; [42  7],[49.71171171 12.28828829] ; [39.28828829  9.71171171],0
n1,1,0.21918,1.509733,[ 5 11] ; [7 6],[6.62068966 9.37931034] ; [5.37931034 7.62068966],0
a2,1,0.226399,1.463341,[13 50] ; [15 34],[15.75 47.25] ; [12.25 36.75],0
p6,1,0.35452,0.857214,[ 8 55] ; [ 9 38],[ 9.73636364 53.26363636] ; [ 7.26363636 39.73636364],0
p1,1,0.358377,0.843573,[ 7 56] ; [ 3 46],[ 5.625 57.375] ; [ 4.375 44.625],0
p9,1,0.358715,0.842385,[44 18] ; [37 10],[46.0733945 15.9266055] ; [34.9266055 12.0733945],0
