Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.001295,10.349302,[16  6] ; [14 31],[ 9.85074627 12.14925373] ; [20.14925373 24.85074627],0
a2,1,0.018847,5.515624,[ 8 15] ; [ 5 40],[ 4.39705882 18.60294118] ; [ 8.60294118 36.39705882],0
a5,1,0.040598,4.192706,[19  4] ; [26 19],[15.22058824  7.77941176] ; [29.77941176 15.22058824],0
p2,1,0.081011,3.044503,[12 11] ; [33 12],[15.22058824  7.77941176] ; [29.77941176 15.22058824],0
a4,1,0.098145,2.735429,[13 10] ; [16 29],[ 9.80882353 13.19117647] ; [19.19117647 25.80882353],0
r1,1,0.103555,2.649919,[20  3] ; [31 14],[17.25  5.75] ; [33.75 11.25],0
u2,1,0.116613,2.462227,[5 2] ; [ 7 12],[3.23076923 3.76923077] ; [ 8.76923077 10.23076923],0
s8,1,0.140814,2.169038,[13 10] ; [17 28],[10.14705882 12.85294118] ; [19.85294118 25.14705882],0
a6,1,0.147067,2.102415,[15  8] ; [21 24],[12.17647059 10.82352941] ; [23.82352941 21.17647059],0
s4,1,0.149892,2.073351,[ 4 19] ; [15 29],[ 6.52238806 16.47761194] ; [12.47761194 31.52238806],0
u1,1,0.151106,2.061048,[ 7 16] ; [ 7 38],[ 4.73529412 18.26470588] ; [ 9.26470588 35.73529412],0
n4,1,0.161999,1.955471,[18  5] ; [27 17],[15.44776119  7.55223881] ; [29.55223881 14.44776119],0
s5,1,0.17769,1.816839,[11 12] ; [13 29],[ 8.49230769 14.50769231] ; [15.50769231 26.49230769],0
p6,1,0.181051,1.788975,[ 5 18] ; [17 28],[ 7.44117647 15.55882353] ; [14.55882353 30.44117647],0
b4,1,0.198191,1.655652,[16  7] ; [24 21],[13.52941176  9.47058824] ; [26.47058824 18.52941176],0
r4,1,0.199913,1.643008,[20  3] ; [33 12],[17.92647059  5.07352941] ; [35.07352941  9.92647059],0
s7,1,0.257516,1.282062,[15  6] ; [25 19],[12.92307692  8.07692308] ; [27.07692308 16.92307692],0
v2,1,0.260107,1.268185,[13  9] ; [20 25],[10.8358209 11.1641791] ; [22.1641791 22.8358209],0
p3,1,0.267702,1.228484,[ 8 15] ; [22 23],[10.14705882 12.85294118] ; [19.85294118 25.14705882],0
v4,1,0.303223,1.059968,[19  4] ; [41  4],[20.29411765  2.70588235] ; [39.70588235  5.29411765],0
n3,1,0.310557,1.028307,[6 2] ; [8 7],[4.86956522 3.13043478] ; [9.13043478 5.86956522],0
r2,1,0.33962,0.911864,[22  1] ; [39  5],[20.94029851  2.05970149] ; [40.05970149  3.94029851],0
a3,1,0.343991,0.8955,[16  7] ; [26 19],[14.20588235  8.79411765] ; [27.79411765 17.20588235],0
p5,1,0.380424,0.769331,[ 3 20] ; [ 3 42],[ 2.02941176 20.97058824] ; [ 3.97058824 41.02941176],0
b5,1,0.411726,0.673812,[13 10] ; [30 15],[14.54411765  8.45588235] ; [28.45588235 16.54411765],0
b1,1,0.441915,0.591304,[10 13] ; [24 21],[11.5 11.5] ; [22.5 22.5],0
d4,1,0.476513,0.506832,[20  3] ; [36  9],[18.94117647  4.05882353] ; [37.05882353  7.94117647],0
s6,1,0.476513,0.506832,[20  3] ; [36  9],[18.94117647  4.05882353] ; [37.05882353  7.94117647],0
u3,1,0.529233,0.395865,[5 2] ; [11  8],[4.30769231 2.69230769] ; [11.69230769  7.30769231],0
p7,1,0.532012,0.390546,[ 9 12] ; [23 22],[10.18181818 10.81818182] ; [21.81818182 23.18181818],0
b2,1,0.533712,0.387319,[ 5 11] ; [11 16],[ 5.95348837 10.04651163] ; [10.04651163 16.95348837],0
b3,1,0.533712,0.387319,[ 5 11] ; [11 16],[ 5.95348837 10.04651163] ; [10.04651163 16.95348837],0
p11,1,0.551291,0.35501,[13 10] ; [22 23],[11.83823529 11.16176471] ; [23.16176471 21.83823529],0
p9,1,0.557131,0.344697,[ 7 14] ; [18 26],[ 8.07692308 12.92307692] ; [16.92307692 27.07692308],0
n2,1,0.590726,0.289211,[5 3] ; [11  4],[5.56521739 2.43478261] ; [10.43478261  4.56521739],0
r3,1,0.593769,0.284497,[20  3] ; [41  4],[20.63235294  2.36764706] ; [40.36764706  4.63235294],0
a8,1,0.598197,0.277724,[ 4 17] ; [ 6 37],[ 3.28125 17.71875] ; [ 6.71875 36.28125],0
d3,1,0.67532,0.175442,[15  8] ; [27 18],[14.20588235  8.79411765] ; [27.79411765 17.20588235],0
a1,1,0.700622,0.147826,[ 1 22] ; [ 3 42],[ 1.35294118 21.64705882] ; [ 2.64705882 42.35294118],0
n5,1,0.756802,0.095903,[15  8] ; [27 17],[14.41791045  8.58208955] ; [27.58208955 16.41791045],0
s3,1,0.78522,0.074269,[18  4] ; [38  7],[18.3880597  3.6119403] ; [37.6119403  7.3880597],0
p4,1,0.802776,0.062378,[13 10] ; [24 21],[12.51470588 10.48529412] ; [24.48529412 20.51470588],0
p8,1,0.804906,0.061011,[ 9 13] ; [17 28],[ 8.53731343 13.46268657] ; [17.46268657 27.53731343],0
a7,1,0.806387,0.060069,[14  9] ; [26 19],[13.52941176  9.47058824] ; [26.47058824 18.52941176],0
n1,1,0.906855,0.01369,[3 5] ; [6 9],[3.13043478 4.86956522] ; [5.86956522 9.13043478],0
n6,1,0.917196,0.010809,[17  6] ; [32 12],[16.82089552  6.17910448] ; [32.17910448 11.82089552],0
d2,1,0.933881,0.006883,[12 11] ; [23 22],[11.83823529 11.16176471] ; [23.16176471 21.83823529],0
d1,1,0.933881,0.006883,[12 11] ; [23 22],[11.83823529 11.16176471] ; [23.16176471 21.83823529],0
d5,1,0.959115,0.002628,[17  6] ; [33 12],[16.91176471  6.08823529] ; [33.08823529 11.91176471],0
s1,1,0.978795,0.000706,[ 2 21] ; [ 4 41],[ 2.02941176 20.97058824] ; [ 3.97058824 41.02941176],0
u4,1,0.985355,0.000337,[ 1 22] ; [ 2 43],[ 1.01470588 21.98529412] ; [ 1.98529412 43.01470588],0
