Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.598147,[2 6] ; [68  7],[6.74698795 1.25301205] ; [63.25301205 11.74698795],1
r2,1,1.5e-05,18.676572,[3 5] ; [69  6],[6.93975904 1.06024096] ; [65.06024096  9.93975904],1
p11,1,0.001078,10.687745,[2 6] ; [59 16],[5.87951807 2.12048193] ; [55.12048193 19.87951807],0
s1,1,0.002028,9.524453,[3 5] ; [ 4 70],[0.68292683 7.31707317] ; [ 6.31707317 67.68292683],0
p9,1,0.002157,9.410896,[3 5] ; [62 12],[6.34146341 1.65853659] ; [58.65853659 15.34146341],0
p10,1,0.003537,8.507519,[3 5] ; [61 13],[6.24390244 1.75609756] ; [57.75609756 16.24390244],0
a7,1,0.007686,7.105324,[2 6] ; [53 21],[5.36585366 2.63414634] ; [49.63414634 24.36585366],0
r3,1,0.010743,6.507275,[5 3] ; [69  6],[7.13253012 0.86746988] ; [66.86746988  8.13253012],0
n2,1,0.052261,3.767399,[1 2] ; [12  2],[2.29411765 0.70588235] ; [10.70588235  3.29411765],0
s8,1,0.054823,3.687453,[1 7] ; [36 39],[3.56626506 4.43373494] ; [33.43373494 41.56626506],0
p2,1,0.075799,3.152746,[4 4] ; [58 16],[6.04878049 1.95121951] ; [55.95121951 18.04878049],0
s5,1,0.09421,2.800926,[1 7] ; [31 41],[3.2 4.8] ; [28.8 43.2],0
n5,1,0.11323,2.508554,[4 4] ; [57 18],[5.87951807 2.12048193] ; [55.12048193 19.87951807],0
n6,1,0.131067,2.279816,[4 3] ; [61 14],[5.54878049 1.45121951] ; [59.45121951 15.54878049],0
s7,1,0.170904,1.875,[3 5] ; [45 27],[4.8 3.2] ; [43.2 28.8],0
p3,1,0.232906,1.423026,[5 3] ; [30 44],[3.41463415 4.58536585] ; [31.58536585 42.41463415],0
s3,1,0.251756,1.313535,[6 2] ; [65  8],[7.01234568 0.98765432] ; [63.98765432  9.01234568],0
n4,1,0.267194,1.231093,[4 4] ; [52 23],[5.39759036 2.60240964] ; [50.60240964 24.39759036],0
v2,1,0.273416,1.199528,[2 6] ; [33 40],[3.45679012 4.54320988] ; [31.54320988 41.45679012],0
a1,1,0.285943,1.138623,[1 7] ; [ 3 72],[0.38554217 7.61445783] ; [ 3.61445783 71.38554217],0
b4,1,0.318104,0.996728,[3 5] ; [42 33],[4.3373494 3.6626506] ; [40.6626506 34.3373494],0
s6,1,0.403765,0.697085,[5 3] ; [57 18],[5.97590361 2.02409639] ; [56.02409639 18.97590361],0
d3,1,0.413808,0.667833,[3 5] ; [39 35],[4.09756098 3.90243902] ; [37.90243902 36.09756098],0
b3,1,0.419207,0.652537,[1 4] ; [18 29],[1.82692308 3.17307692] ; [17.17307692 29.82692308],0
b2,1,0.419207,0.652537,[1 4] ; [18 29],[1.82692308 3.17307692] ; [17.17307692 29.82692308],0
v3,1,0.447483,0.577018,[2 6] ; [29 46],[2.98795181 5.01204819] ; [28.01204819 46.98795181],0
u2,1,0.484034,0.489762,[3 1] ; [17 13],[2.35294118 1.64705882] ; [17.64705882 12.35294118],0
v1,1,0.548624,0.359788,[3 5] ; [36 38],[3.80487805 4.19512195] ; [35.19512195 38.80487805],0
r1,1,0.573172,0.317405,[5 3] ; [54 21],[5.68674699 2.31325301] ; [53.31325301 21.68674699],0
a3,1,0.605917,0.266163,[4 4] ; [44 30],[4.68292683 3.31707317] ; [43.31707317 30.68292683],0
p4,1,0.648357,0.207978,[5 3] ; [40 34],[4.3902439 3.6097561] ; [40.6097561 33.3902439],0
a8,1,0.659822,0.19374,[1 7] ; [13 56],[1.45454545 6.54545455] ; [12.54545455 56.45454545],0
b1,1,0.690743,0.158282,[4 4] ; [32 43],[3.46987952 4.53012048] ; [32.53012048 42.46987952],0
p8,1,0.700891,0.147547,[5 3] ; [41 33],[4.48780488 3.51219512] ; [41.51219512 32.48780488],0
a6,1,0.755047,0.097338,[5 3] ; [42 32],[4.58536585 3.41463415] ; [42.41463415 31.58536585],0
a5,1,0.755047,0.097338,[5 3] ; [42 32],[4.58536585 3.41463415] ; [42.41463415 31.58536585],0
d1,1,0.772966,0.083231,[1 7] ; [ 7 68],[0.77108434 7.22891566] ; [ 7.22891566 67.77108434],0
d4,1,0.833224,0.044339,[5 3] ; [49 25],[5.26829268 2.73170732] ; [48.73170732 25.26829268],0
p1,1,0.857328,0.03232,[1 7] ; [11 63],[1.17073171 6.82926829] ; [10.82926829 63.17073171],0
s4,1,0.881299,0.022297,[2 6] ; [17 58],[1.8313253 6.1686747] ; [17.1686747 57.8313253],0
p6,1,0.925869,0.008657,[3 5] ; [29 45],[3.12195122 4.87804878] ; [28.87804878 45.12195122],0
b5,1,0.933098,0.007047,[5 3] ; [48 27],[5.10843373 2.89156627] ; [47.89156627 27.10843373],0
p7,1,0.938206,0.00601,[5 3] ; [46 26],[5.1 2.9] ; [45.9 26.1],0
d2,1,0.983553,0.000425,[2 6] ; [19 56],[2.02409639 5.97590361] ; [18.97590361 56.02409639],0
