Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.574085,[28 36] ; [41  5],[40.14545455 23.85454545] ; [28.85454545 17.14545455],1
p8,1,4e-06,21.306043,[18 44] ; [34 12],[29.85185185 32.14814815] ; [22.14814815 23.85185185],1
p7,1,5.6e-05,16.224601,[27 35] ; [37  8],[37.08411215 24.91588785] ; [26.91588785 18.08411215],1
p3,1,0.000775,11.301327,[21 43] ; [30 16],[29.67272727 34.32727273] ; [21.32727273 24.67272727],1
a4,1,0.001297,10.34699,[18 46] ; [27 19],[26.18181818 37.81818182] ; [18.81818182 27.18181818],0
d1,1,0.002114,9.447696,[30 34] ; [35 11],[37.81818182 26.18181818] ; [27.18181818 18.81818182],0
u1,1,0.002535,9.11509,[ 8 56] ; [17 29],[14.54545455 49.45454545] ; [10.45454545 35.54545455],0
a2,1,0.002583,9.080834,[ 9 55] ; [18 28],[15.70909091 48.29090909] ; [11.29090909 34.70909091],0
s8,1,0.004127,8.227226,[24 40] ; [30 16],[31.41818182 32.58181818] ; [22.58181818 23.41818182],0
s7,1,0.005968,7.56,[28 35] ; [32 13],[35. 28.] ; [25. 20.],0
d4,1,0.011443,6.395252,[48 16] ; [43  3],[52.94545455 11.05454545] ; [38.05454545  7.94545455],0
p9,1,0.014777,5.942826,[50 13] ; [44  2],[54.33027523  8.66972477] ; [39.66972477  6.33027523],0
s5,1,0.017801,5.615652,[23 37] ; [25 15],[28.8 31.2] ; [19.2 20.8],0
p5,1,0.022465,5.209439,[ 2 62] ; [ 7 39],[ 5.23636364 58.76363636] ; [ 3.76363636 42.23636364],0
d2,1,0.032147,4.59065,[23 41] ; [26 20],[28.50909091 35.49090909] ; [20.49090909 25.50909091],0
v1,1,0.053855,3.717178,[25 39] ; [26 19],[29.94495413 34.05504587] ; [21.05504587 23.94495413],0
a5,1,0.062197,3.477798,[41 23] ; [37  9],[45.38181818 18.61818182] ; [32.61818182 13.38181818],0
a6,1,0.062197,3.477798,[41 23] ; [37  9],[45.38181818 18.61818182] ; [32.61818182 13.38181818],0
p2,1,0.062884,3.459651,[48 16] ; [41  5],[51.78181818 12.21818182] ; [37.21818182  8.78181818],0
b2,1,0.076179,3.144587,[ 5 27] ; [ 9 16],[ 7.85964912 24.14035088] ; [ 6.14035088 18.85964912],0
b3,1,0.076179,3.144587,[ 5 27] ; [ 9 16],[ 7.85964912 24.14035088] ; [ 6.14035088 18.85964912],0
p11,1,0.077663,3.113138,[40 24] ; [36 10],[44.21818182 19.78181818] ; [31.78181818 14.21818182],0
d3,1,0.091844,2.84175,[49 15] ; [41  5],[52.36363636 11.63636364] ; [37.63636364  8.36363636],0
p10,1,0.091844,2.84175,[49 15] ; [41  5],[52.36363636 11.63636364] ; [37.63636364  8.36363636],0
r3,1,0.094024,2.804087,[62  2] ; [40  5],[59.88990826  4.11009174] ; [42.11009174  2.88990826],0
n4,1,0.097478,2.746323,[36 28] ; [33 13],[40.14545455 23.85454545] ; [28.85454545 17.14545455],0
p1,1,0.10073,2.693949,[ 2 62] ; [ 5 41],[ 4.07272727 59.92727273] ; [ 2.92727273 43.07272727],0
s2,1,0.100734,2.693883,[41 21] ; [37  9],[44.77777778 17.22222222] ; [33.22222222 12.77777778],0
n6,1,0.112884,2.513378,[58  6] ; [36  9],[55.19266055  8.80733945] ; [38.80733945  6.19266055],0
n5,1,0.131269,2.277433,[40 24] ; [35 11],[43.63636364 20.36363636] ; [31.36363636 14.63636364],0
a3,1,0.273907,1.197076,[41 23] ; [34 12],[43.63636364 20.36363636] ; [31.36363636 14.63636364],0
r1,1,0.303489,1.0588,[46 18] ; [37  9],[48.29090909 15.70909091] ; [34.70909091 11.29090909],0
b5,1,0.303489,1.0588,[46 18] ; [37  9],[48.29090909 15.70909091] ; [34.70909091 11.29090909],0
r2,1,0.322354,0.97937,[60  4] ; [44  1],[61.06422018  2.93577982] ; [42.93577982  2.06422018],0
b1,1,0.353416,0.861154,[17 47] ; [16 30],[19.2 44.8] ; [13.8 32.2],0
s1,1,0.376326,0.782668,[ 1 63] ; [ 2 44],[ 1.74545455 62.25454545] ; [ 1.25454545 44.74545455],0
n1,1,0.504036,0.446429,[ 3 15] ; [2 5],[ 3.6 14.4] ; [1.4 5.6],0
u2,1,0.560891,0.338164,[10 13] ; [4 8],[ 9.2 13.8] ; [4.8 7.2],0
b4,1,0.647016,0.209683,[39 25] ; [30 16],[40.14545455 23.85454545] ; [28.85454545 17.14545455],0
n3,1,0.656005,0.198413,[14  4] ; [6 1],[14.4  3.6] ; [5.6 1.4],0
u3,1,0.689095,0.160066,[15  8] ; [7 5],[14.45714286  8.54285714] ; [7.54285714 4.45714286],0
d5,1,0.699055,0.149457,[52 12] ; [36 10],[51.2 12.8] ; [36.8  9.2],0
a8,1,0.720926,0.127607,[ 3 54] ; [ 3 40],[ 3.42 53.58] ; [ 2.58 40.42],0
v2,1,0.733437,0.115979,[31 31] ; [24 21],[31.86915888 30.13084112] ; [23.13084112 21.86915888],0
n2,1,0.738568,0.11139,[14  4] ; [5 2],[13.68  4.32] ; [5.32 1.68],0
v4,1,0.762585,0.091257,[62  2] ; [45  1],[62.25454545  1.74545455] ; [44.74545455  1.25454545],0
a1,1,0.812858,0.056046,[ 1 63] ; [ 1 45],[ 1.16363636 62.83636364] ; [ 0.83636364 45.16363636],0
s6,1,0.821925,0.050656,[52 10] ; [37  8],[51.57009346 10.42990654] ; [37.42990654  7.57009346],0
v3,1,0.827521,0.047473,[17 46] ; [13 32],[17.5 45.5] ; [12.5 32.5],0
s3,1,0.829857,0.046176,[44 19] ; [33 13],[44.50458716 18.49541284] ; [32.49541284 13.50458716],0
r4,1,0.932768,0.007117,[56  8] ; [40  6],[55.85454545  8.14545455] ; [40.14545455  5.85454545],0
