Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,25.893674,[117 161] ; [160  89],[146.12144213 131.87855787] ; [130.87855787 118.12144213],1
v3,1,1e-06,25.046642,[ 78 202] ; [122 127],[105.86011342 174.13988658] ; [ 94.13988658 154.86011342],1
n5,1,9.2e-05,15.290978,[182 107] ; [202  56],[202.88117002  86.11882998] ; [181.11882998  76.88117002],1
p3,1,0.000119,14.803119,[ 92 199] ; [123 135],[113.96174863 177.03825137] ; [101.03825137 156.96174863],1
p9,1,0.000411,12.480206,[208  76] ; [220  37],[224.68022181  59.31977819] ; [203.31977819  53.68022181],1
p2,1,0.002331,9.26863,[213  79] ; [216  42],[227.76  64.24] ; [201.24  56.76],0
s6,1,0.002441,9.184602,[160 128] ; [174  81],[177.14917127 110.85082873] ; [156.85082873  98.14917127],0
p4,1,0.002632,9.046516,[117 171] ; [138 120],[134.50549451 153.49450549] ; [120.49450549 137.50549451],0
b3,1,0.002808,8.928266,[ 37 122] ; [62 98],[ 49.34482759 109.65517241] ; [ 49.65517241 110.34482759],0
b2,1,0.002808,8.928266,[ 37 122] ; [62 98],[ 49.34482759 109.65517241] ; [ 49.65517241 110.34482759],0
p5,1,0.002819,8.921117,[ 11 281] ; [ 26 229],[ 19.75137112 272.24862888] ; [ 17.24862888 237.75137112],0
s2,1,0.006433,7.424925,[113 177] ; [129 126],[128.7706422 161.2293578] ; [113.2293578 141.7706422],0
s8,1,0.00697,7.280615,[ 90 201] ; [108 149],[105.14233577 185.85766423] ; [ 92.85766423 164.14233577],0
a5,1,0.010867,6.486872,[192 100] ; [196  63],[205.61887477  86.38112523] ; [182.38112523  76.61887477],0
n4,1,0.011147,6.441669,[192  99] ; [195  62],[205.50547445  85.49452555] ; [181.49452555  75.50547445],0
r4,1,0.011675,6.359507,[251  41] ; [240  19],[260.20326679  31.79673321] ; [230.79673321  28.20326679],0
r2,1,0.013297,6.129116,[266  25] ; [249   9],[272.97814208  18.02185792] ; [242.02185792  15.97814208],0
a3,1,0.016329,5.767078,[186 106] ; [189  69],[199.09090909  92.90909091] ; [175.90909091  82.09090909],0
s5,1,0.022104,5.237619,[ 67 219] ; [ 81 170],[ 78.82309125 207.17690875] ; [ 69.17690875 181.82309125],0
a4,1,0.027533,4.857053,[107 185] ; [118 139],[119.67213115 172.32786885] ; [105.32786885 151.67213115],0
p10,1,0.030488,4.681586,[210  79] ; [207  50],[220.71978022  68.28021978] ; [196.28021978  60.71978022],0
r1,1,0.034461,4.471696,[221  70] ; [214  43],[230.99452555  60.00547445] ; [204.00547445  52.99452555],0
u4,1,0.038911,4.264731,[  1 291] ; [  6 253],[  3.70961887 288.29038113] ; [  3.29038113 255.70961887],0
p12,1,0.038959,4.262644,[ 10 281] ; [ 19 238],[ 15.39963504 275.60036496] ; [ 13.60036496 243.39963504],0
b5,1,0.04378,4.06504,[166 126] ; [169  90],[177.53176044 114.46823956] ; [157.46823956 101.53176044],0
a8,1,0.049445,3.860173,[ 26 243] ; [ 36 197],[ 33.22310757 235.77689243] ; [ 28.77689243 204.22310757],0
r3,1,0.055063,3.680182,[267  24] ; [248  11],[272.48181818  18.51818182] ; [242.51818182  16.48181818],0
p11,1,0.066488,3.367656,[209  83] ; [203  56],[218.33756806  73.66243194] ; [193.66243194  65.33756806],0
n6,1,0.072722,3.220494,[228  64] ; [217  41],[236.25454545  55.74545455] ; [208.74545455  49.25454545],0
n2,1,0.08014,3.062069,[63 27] ; [48 10],[67.5 22.5] ; [43.5 14.5],0
s7,1,0.084091,2.983998,[101 177] ; [108 139],[110.67047619 167.32952381] ; [ 98.32952381 148.67047619],0
p7,1,0.088822,2.895593,[135 151] ; [138 115],[144.85714286 141.14285714] ; [128.14285714 124.85714286],0
s3,1,0.099586,2.712163,[140 148] ; [142 113],[149.56906077 138.43093923] ; [132.43093923 122.56906077],0
p8,1,0.102732,2.66261,[111 178] ; [116 140],[120.37247706 168.62752294] ; [106.62752294 149.37247706],0
s1,1,0.144847,2.125694,[ 12 277] ; [  5 249],[  9.04788214 279.95211786] ; [  7.95211786 246.04788214],0
p1,1,0.14788,2.093986,[ 12 278] ; [ 18 241],[ 15.84699454 274.15300546] ; [ 14.15300546 244.84699454],0
d1,1,0.150629,2.065867,[149 143] ; [148 111],[157.3938294 134.6061706] ; [139.6061706 119.3938294],0
d4,1,0.152909,2.042991,[223  67] ; [212  47],[229.78142077  60.21857923] ; [205.21857923  53.78142077],0
u1,1,0.153199,2.040105,[ 37 255] ; [ 44 215],[ 42.92558984 249.07441016] ; [ 38.07441016 220.92558984],0
u3,1,0.173392,1.853369,[53 51] ; [43 27],[57.37931034 46.62068966] ; [38.62068966 31.37931034],0
a2,1,0.206747,1.594062,[ 58 234] ; [ 63 196],[ 64.12341198 227.87658802] ; [ 56.87658802 202.12341198],0
d2,1,0.211801,1.559076,[123 166] ; [124 135],[130.26094891 158.73905109] ; [116.73905109 142.26094891],0
s4,1,0.269109,1.221284,[ 51 240] ; [ 36 220],[ 46.2833638 244.7166362] ; [ 40.7166362 215.2833638],0
n1,1,0.331086,0.944644,[28 60] ; [23 35],[30.73972603 57.26027397] ; [20.26027397 37.73972603],0
b1,1,0.337433,0.920162,[113 179] ; [ 90 169],[107.57894737 184.42105263] ; [ 95.42105263 163.57894737],0
b4,1,0.339249,0.913268,[173 119] ; [143 116],[167.46279492 124.53720508] ; [148.53720508 110.46279492],0
d5,1,0.402164,0.701848,[224  67] ; [207  52],[228.03818182  62.96181818] ; [202.96181818  56.03818182],0
u2,1,0.41127,0.675127,[53 51] ; [39 29],[55.62790698 48.37209302] ; [36.37209302 31.62790698],0
n3,1,0.489109,0.478486,[61 27] ; [44 15],[62.85714286 25.14285714] ; [42.14285714 16.85714286],0
a7,1,0.497168,0.460977,[211  80] ; [181  78],[207.40363636  83.59636364] ; [184.59636364  74.40363636],0
a1,1,0.7846,0.074709,[ 10 282] ; [ 10 249],[ 10.59891107 281.40108893] ; [  9.40108893 249.59891107],0
d3,1,0.848406,0.036539,[191 100] ; [172  87],[192.06  98.94] ; [170.94  88.06],0
a6,1,0.853282,0.0342,[201  90] ; [177  82],[199.99636364  91.00363636] ; [178.00363636  80.99636364],0
