Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.002362,9.244669,[111  31] ; [26 21],[102.93121693  39.06878307] ; [34.06878307 12.93121693],0
a7,1,0.003577,8.486877,[89 54] ; [40  7],[97.08947368 45.91052632] ; [31.91052632 15.08947368],0
s3,1,0.011441,6.39552,[108  32] ; [26 19],[101.40540541  38.59459459] ; [32.59459459 12.40540541],0
s5,1,0.016177,5.783585,[75 63] ; [16 31],[67.88108108 70.11891892] ; [23.11891892 23.88108108],0
n4,1,0.041297,4.163804,[131  12] ; [38  9],[127.19473684  15.80526316] ; [41.80526316  5.19473684],0
b4,1,0.05867,3.574591,[78 65] ; [33 14],[83.54210526 59.45789474] ; [27.45789474 19.54210526],0
n5,1,0.06023,3.53105,[127  15] ; [37 10],[123.21693122  18.78306878] ; [40.78306878  6.21693122],0
p9,1,0.077701,3.112338,[130  12] ; [37  8],[126.81283422  15.18716578] ; [40.18716578  4.81283422],0
d5,1,0.114079,2.496779,[125  17] ; [37 10],[121.71428571  20.28571429] ; [40.28571429  6.71428571],0
s6,1,0.127286,2.325292,[122  18] ; [35 10],[118.81081081  21.18918919] ; [38.18918919  6.81081081],0
a5,1,0.130224,2.289838,[118  25] ; [34 13],[114.4  28.6] ; [37.6  9.4],0
v1,1,0.13203,2.268477,[106  35] ; [30 17],[102.  39.] ; [34. 13.],0
u2,1,0.13244,2.263673,[15  7] ; [4 6],[13.0625  8.9375] ; [5.9375 4.0625],0
d1,1,0.138103,2.198971,[99 44] ; [27 20],[94.83157895 48.16842105] ; [31.16842105 15.83157895],0
b1,1,0.16571,1.921336,[62 81] ; [15 32],[57.95263158 85.04736842] ; [19.04736842 27.95263158],0
a6,1,0.220536,1.500877,[92 50] ; [35 12],[95.41798942 46.58201058] ; [31.58201058 15.41798942],0
a4,1,0.239216,1.385211,[75 68] ; [20 27],[71.5 71.5] ; [23.5 23.5],0
n6,1,0.245323,1.349744,[133   8] ; [42  5],[131.25   9.75] ; [43.75  3.25],0
