Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,58.749956,[95 19] ; [ 3 27],[77.58333333 36.41666667] ; [20.41666667  9.58333333],1
v4,1,0.0,33.201545,[101  13] ; [12 18],[89.45833333 24.54166667] ; [23.54166667  6.45833333],1
p2,1,2e-06,22.323579,[74 40] ; [ 5 25],[62.54166667 51.45833333] ; [16.45833333 13.54166667],1
r1,1,6e-06,20.439094,[81 32] ; [ 8 22],[70.32867133 42.67132867] ; [18.67132867 11.32867133],1
a1,1,1e-05,19.446242,[  3 111] ; [ 8 22],[  8.70833333 105.29166667] ; [ 2.29166667 27.70833333],1
p11,1,2e-05,18.160476,[65 49] ; [ 4 26],[54.625 59.375] ; [14.375 15.625],1
r2,1,0.000148,14.399867,[101  13] ; [17 12],[94.06993007 19.93006993] ; [23.93006993  5.06993007],1
n3,1,0.00084,11.150034,[34 10] ; [ 4 10],[28.82758621 15.17241379] ; [9.17241379 4.82758621],1
v2,1,0.00259,9.07612,[48 63] ; [ 4 26],[40.93617021 70.06382979] ; [11.06382979 18.93617021],0
n5,1,0.005311,7.770212,[51 63] ; [22  8],[57.79166667 56.20833333] ; [15.20833333 14.79166667],0
n6,1,0.010787,6.500152,[73 41] ; [11 18],[66.96503497 47.03496503] ; [17.03496503 11.96503497],0
p7,1,0.01421,6.011876,[55 59] ; [ 7 23],[49.08333333 64.91666667] ; [12.91666667 17.08333333],0
v1,1,0.01612,5.789712,[41 72] ; [ 4 26],[35.55944056 77.44055944] ; [ 9.44055944 20.55944056],0
p8,1,0.020586,5.361525,[36 77] ; [ 3 26],[31.03521127 81.96478873] ; [ 7.96478873 21.03521127],0
b5,1,0.03152,4.624396,[74 40] ; [13 17],[68.875 45.125] ; [18.125 11.875],0
p4,1,0.033583,4.515822,[42 71] ; [ 5 25],[37.13986014 75.86013986] ; [ 9.86013986 20.13986014],0
d3,1,0.040174,4.210526,[62 52] ; [10 20],[57. 57.] ; [15. 15.],0
d4,1,0.048219,3.902352,[79 35] ; [15 15],[74.41666667 39.58333333] ; [19.58333333 10.41666667],0
s6,1,0.053157,3.738983,[44 69] ; [ 6 24],[39.51048951 73.48951049] ; [10.48951049 19.51048951],0
n2,1,0.05328,3.735112,[30 14] ; [6 9],[26.84745763 17.15254237] ; [9.15254237 5.84745763],0
d5,1,0.060507,3.52342,[78 36] ; [15 15],[73.625 40.375] ; [19.375 10.625],0
s2,1,0.063355,3.447316,[24 88] ; [ 2 28],[20.50704225 91.49295775] ; [ 5.49295775 24.50704225],0
u3,1,0.092032,2.838473,[25 29] ; [ 3 11],[22.23529412 31.76470588] ; [5.76470588 8.23529412],0
s3,1,0.099174,2.718772,[38 74] ; [ 5 23],[34.4 77.6] ; [ 8.6 19.4],0
p3,1,0.120688,2.408367,[35 78] ; [ 5 25],[31.60839161 81.39160839] ; [ 8.39160839 21.60839161],0
a7,1,0.121791,2.394131,[71 43] ; [14 16],[67.29166667 46.70833333] ; [17.70833333 12.29166667],0
d1,1,0.122744,2.381955,[48 66] ; [ 8 22],[44.33333333 69.66666667] ; [11.66666667 18.33333333],0
s8,1,0.124673,2.357613,[15 98] ; [ 1 29],[ 12.64335664 100.35664336] ; [ 3.35664336 26.64335664],0
b1,1,0.160703,1.9676,[52 62] ; [18 12],[55.41666667 58.58333333] ; [14.58333333 15.41666667],0
n4,1,0.168669,1.894737,[60 54] ; [20 10],[63.33333333 50.66666667] ; [16.66666667 13.33333333],0
n1,1,0.182552,1.776727,[12 31] ; [7 8],[14.0862069 28.9137931] ; [ 4.9137931 10.0862069],0
s4,1,0.220719,1.499688,[ 10 102] ; [ 5 25],[ 11.83098592 100.16901408] ; [ 3.16901408 26.83098592],0
p9,1,0.227211,1.458235,[35 77] ; [ 6 24],[32.33802817 79.66197183] ; [ 8.66197183 21.33802817],0
p1,1,0.237529,1.395199,[  5 108] ; [ 3 27],[  6.32167832 106.67832168] ; [ 1.67832168 28.32167832],0
s1,1,0.242864,1.363893,[  5 107] ; [ 3 27],[  6.30985915 105.69014085] ; [ 1.69014085 28.30985915],0
