Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,63.879938,[ 60 106] ; [108  23],[93.8989899 72.1010101] ; [74.1010101 56.8989899],1
p8,1,0.0,26.720174,[ 60 107] ; [86 44],[82.09427609 84.90572391] ; [63.90572391 66.09427609],1
p6,1,2e-06,22.668683,[ 41 127] ; [66 63],[ 60.52525253 107.47474747] ; [46.47474747 82.52525253],1
p7,1,0.000103,15.084841,[80 83] ; [93 37],[96.24232082 66.75767918] ; [76.75767918 53.24232082],1
p5,1,0.000445,12.331133,[ 10 157] ; [ 25 105],[ 19.68013468 147.31986532] ; [ 15.31986532 114.68013468],1
s7,1,0.000534,11.991754,[ 61 100] ; [71 50],[75.36170213 85.63829787] ; [56.63829787 64.36170213],1
p9,1,0.000636,11.667202,[114  53] ; [111  19],[126.51515152  40.48484848] ; [98.48484848 31.51515152],1
s6,1,0.002137,9.428246,[100  65] ; [97 28],[112.0862069  52.9137931] ; [84.9137931 40.0862069],0
p10,1,0.002948,8.839656,[110  56] ; [107  24],[121.28619529  44.71380471] ; [95.71380471 35.28619529],0
s5,1,0.003586,8.482589,[ 44 120] ; [54 71],[ 55.61245675 108.38754325] ; [42.38754325 82.61245675],0
s2,1,0.00609,7.523444,[68 97] ; [75 56],[79.71283784 85.28716216] ; [63.28716216 67.71283784],0
n4,1,0.006468,7.415012,[120  48] ; [111  20],[129.79264214  38.20735786] ; [101.20735786  29.79264214],0
u1,1,0.00722,7.217311,[ 19 149] ; [ 30 101],[ 27.53177258 140.46822742] ; [ 21.46822742 109.53177258],0
d1,1,0.007431,7.165629,[83 85] ; [85 46],[94.39464883 73.60535117] ; [73.60535117 57.39464883],0
d5,1,0.007505,7.147927,[121  46] ; [111  19],[130.45117845  36.54882155] ; [101.54882155  28.45117845],0
p2,1,0.011607,6.369891,[125  43] ; [113  18],[133.72575251  34.27424749] ; [104.27424749  26.72575251],0
s4,1,0.012423,6.249447,[ 24 140] ; [34 95],[ 32.46416382 131.53583618] ; [ 25.53583618 103.46416382],0
v3,1,0.015542,5.853959,[ 24 140] ; [33 94],[ 32.12371134 131.87628866] ; [ 24.87628866 102.12371134],0
n6,1,0.020101,5.403073,[126  41] ; [113  18],[133.93624161  33.06375839] ; [105.06375839  25.93624161],0
s3,1,0.02722,4.876787,[86 79] ; [85 46],[95.32094595 69.67905405] ; [75.67905405 55.32094595],0
s8,1,0.038537,4.281182,[ 61 106] ; [63 67],[69.72390572 97.27609428] ; [54.27609428 75.72390572],0
r4,1,0.055361,3.671181,[152  16] ; [126   5],[156.2006689  11.7993311] ; [121.7993311   9.2006689],0
r2,1,0.058325,3.584378,[156  12] ; [127   3],[159.54362416   8.45637584] ; [123.45637584   6.54362416],0
r3,1,0.077488,3.116822,[151  17] ; [124   6],[155.03355705  12.96644295] ; [119.96644295  10.03355705],0
p11,1,0.080474,3.055302,[117  51] ; [103  28],[123.61204013  44.38795987] ; [96.38795987 34.61204013],0
